paragraph,paragraphIndex,section
"Daniel Kretschmer (born 19 September 1971), better known by his stage-name D-Flame, is a German hip hop and reggae musician. He was also previously part of the hip hop formation Asiatic Warriors.
",0,N/A
"== Discography ==
",1,== Discography ==
"=== Albums ===
",2,== Discography == | === Albums ===
"2000 - Basstard
",3,== Discography == | === Albums ===
"2002 - Daniel X – eine schwarze deutsche Geschichte (""Daniel X – A Black German Story"")
",4,== Discography == | === Albums ===
"2003 - Unaufhaltsam (""Unstoppable"")
",5,== Discography == | === Albums ===
"2006 - F.F.M. (Flame F.M.)
",6,== Discography == | === Albums ===
"2008 - ...Stress
",7,== Discography == | === Albums ===
"=== Singles ===
",8,== Discography == | === Singles ===
"1999 - ""Heisser"" (""Hotter"")
",9,== Discography == | === Singles ===
"2000 - ""Sorry"" (feat. Eißfeldt)
",10,== Discography == | === Singles ===
"2001 - ""Sie macht mich glücklich"" (""She makes me happy"")
",11,== Discography == | === Singles ===
"2002 - ""Mehr als Musik"" (""More than just music"" feat. Tone)
",12,== Discography == | === Singles ===
"2002 - ""Heimatlos"" (""Homeless"")
",13,== Discography == | === Singles ===
"2002 - ""Stopp""
",14,== Discography == | === Singles ===
"2003 - ""Kopf hoch"" (""Chin up"")
",15,== Discography == | === Singles ===
"2003 - ""Du kennst mich nicht"" (""You don't know me"")
",16,== Discography == | === Singles ===
"2006 - ""Burnin' Nonstop"" (feat. Wayne Marshall)
",17,== Discography == | === Singles ===
"2007 - ""Mom Song""
",18,== Discography == | === Singles ===
