paragraph,paragraphIndex,section
"Ryoko Shiraishi (白石 涼子, Shiraishi Ryōko, born September 7, 1982) is a Japanese voice actress and singer from Kashiba, Nara. She is affiliated with Aoni Production. Possessing a husky voice, Shiraishi voices young to teenage men as well as young girls and teenage women. However, in a break from tradition, one of her most famous roles is the brash and hot-headed Asuka Kazama, who is noted for speaking with a strong Osaka accent, which is one of Shiraishi's specialist skills. She was also formerly a member of the voice acting unit Drops, along with Ai Nonaka, Akemi Kanda, Tomoko Kaneda, and Mariko Kōda. Shiraishi married on September 6, 2012, but divorced in 2013.
",0,N/A
"== Filmography ==
",1,== Filmography ==
"=== Television animation ===
",2,== Filmography == | === Television animation ===
"GetBackers (2002), Ginji Amano (young)
",3,== Filmography == | === Television animation ===
"Air Master (2003), Waitress
",4,== Filmography == | === Television animation ===
"Bobobo-bo Bo-bobo (2003), Remu
",5,== Filmography == | === Television animation ===
"D.C.: Da Capo (2003), Mikkun
",6,== Filmography == | === Television animation ===
"Mugen Senki Potorisu (2003), Yūma
",7,== Filmography == | === Television animation ===
"One Piece (2003), Akibi
",8,== Filmography == | === Television animation ===
"Pocket Monsters Advanced Generation (2003), Haruka's Wurmple/Silcoon/Beautifly; others
",9,== Filmography == | === Television animation ===
"Fafner of the Azure (2004), Rina Nishio
",10,== Filmography == | === Television animation ===
"Magical Girl Lyrical Nanoha (2004), Miyuki Takamachi
",11,== Filmography == | === Television animation ===
"Tenjho Tenge (2004), Chiaki Kōnoike
",12,== Filmography == | === Television animation ===
"Tweeny Witches (2004), Iga
",13,== Filmography == | === Television animation ===
"Aria (2005), Ayumi K. Jasmine
",14,== Filmography == | === Television animation ===
"Mahoraba ~Heartful Days (2005), Ryūshi Shiratori
",15,== Filmography == | === Television animation ===
"Negima! Magister Negi Magi (2005), Kaede Nagase
",16,== Filmography == | === Television animation ===
"Noein (2005), Tobi
",17,== Filmography == | === Television animation ===
"Shakugan no Shana (2005), Sorath/Aizenji
",18,== Filmography == | === Television animation ===
"Xenosaga: The Animation (2005), Mary Godwin
",19,== Filmography == | === Television animation ===
"Gintama (2006), Jugem [The Monkey] - eps 221-222; Lord Morimori - ep 222; Onizuka ""Himeko"" Hime - ep 227
",20,== Filmography == | === Television animation ===
"Glass Fleet (2006), Novy
",21,== Filmography == | === Television animation ===
"Kekkaishi (2006), Young Yoshimori, (Aoi Shinagawa)
",22,== Filmography == | === Television animation ===
"Negima!? (2006), Kaede Nagase
",23,== Filmography == | === Television animation ===
"Pocket Monsters Diamond & Pearl (2006), Haruka's Beautifly, child
",24,== Filmography == | === Television animation ===
"Hayate the Combat Butler (2007), Hayate Ayasaki; Britney
",25,== Filmography == | === Television animation ===
"Hidamari Sketch (2007), Riri
",26,== Filmography == | === Television animation ===
"Himawari! (2007), Azami
",27,== Filmography == | === Television animation ===
"Kemeko Deluxe! (2007), Ryōko Kurosaki
",28,== Filmography == | === Television animation ===
"Mushi-Uta (2007), Kyoko Kazama
",29,== Filmography == | === Television animation ===
"Nagasarete Airantō (2007), Rin, Shizuku, Inuinu, Hatsu, others
",30,== Filmography == | === Television animation ===
"Sky Girls (2007), Takumi Hayami
",31,== Filmography == | === Television animation ===
"Mobile Suit Gundam 00 Second Season (2008), Anew Returner
",32,== Filmography == | === Television animation ===
"Naruto Shippuden (2008), Fū, Matatabi
",33,== Filmography == | === Television animation ===
"Net Ghost PiPoPa (2008), Pit
",34,== Filmography == | === Television animation ===
"Zettai Karen Children (2008), Aoi Nogami
",35,== Filmography == | === Television animation ===
"Hatsukoi Limited (2009), Meguru Watase
",36,== Filmography == | === Television animation ===
"Hayate the Combat Butler 2nd Season (2009), Hayate Ayasaki
",37,== Filmography == | === Television animation ===
"Kaidan Restaurant (2009), Ako Ōzora
",38,== Filmography == | === Television animation ===
"Natsu no Arashi! (2009), Sayōko Arashiyama
",39,== Filmography == | === Television animation ===
"Nyan Koi (2009), Kanako Sumiyoshi
",40,== Filmography == | === Television animation ===
"Saki (2009), Mako Someya
",41,== Filmography == | === Television animation ===
"Bleach (2010), Kyōko Haida
",42,== Filmography == | === Television animation ===
"Cobra the Animation (2010), Bonnie
",43,== Filmography == | === Television animation ===
"HeartCatch PreCure! (2010), Aya Mizushima
",44,== Filmography == | === Television animation ===
"Digimon Xros Wars (2010), Hinomoto Akari; Mervamon; Opossumon
",45,== Filmography == | === Television animation ===
"Soredemo Machi wa Mawatteiru (2010), Harue Haribara
",46,== Filmography == | === Television animation ===
"Working!! (2010), Kazue Takanashi
",47,== Filmography == | === Television animation ===
"Astarotte no Omocha! (2011), Porhelga Svarthaed
",48,== Filmography == | === Television animation ===
"Beelzebub (2011), Nāga
",49,== Filmography == | === Television animation ===
"Horizon in the Middle of Nowhere (2011), Makiko Oriotorai
",50,== Filmography == | === Television animation ===
"Oniichan no Koto Nanka Zenzen Suki Janain Dakara ne!! (2011), Hirono Kusuhara
",51,== Filmography == | === Television animation ===
"Sket Dance (2011), Hime ""Himeko"" Onizuka
",52,== Filmography == | === Television animation ===
"YuruYuri (2011), Nana Nishigaki
",53,== Filmography == | === Television animation ===
"AKB0048 (2012), Takahashi Minami The 5th / Takamina / Arisawa Shiori
",54,== Filmography == | === Television animation ===
"Boku-no-imoutowa""Osaka-okan"" (2012), Kyōsuke Ishihara
",55,== Filmography == | === Television animation ===
"Danball Senki W (2012), Kojo Asuka
",56,== Filmography == | === Television animation ===
"Hayate the Combat Butler: Can't Take My Eyes Off You (2012), Hayate Ayasaki
",57,== Filmography == | === Television animation ===
"Ixion Saga DT (2012), Yodogawa Alan
",58,== Filmography == | === Television animation ===
"Nisemonogatari (2012), Yozuru Kagenui
",59,== Filmography == | === Television animation ===
"Sword Art Online (2012), Yulier
",60,== Filmography == | === Television animation ===
"Smile PreCure! (2012), Genki Hino
",61,== Filmography == | === Television animation ===
"Yu-Gi-Oh! Zexal II (2012), Ponta
",62,== Filmography == | === Television animation ===
"Gundam Build Fighters (2013), Misaki
",63,== Filmography == | === Television animation ===
"Kyōsōgiga (2013), Un; Kurama (young)
",64,== Filmography == | === Television animation ===
"Senran Kagura (2013), Hikage
",65,== Filmography == | === Television animation ===
"Battle Spirits: Saikyou Ginga Ultimate Zero (2014), Garbo, Ian
",66,== Filmography == | === Television animation ===
"Blade & Soul (2014), Ron
",67,== Filmography == | === Television animation ===
"Broken Blade (2014), Nike
",68,== Filmography == | === Television animation ===
"D-Frag! (2014), Sakuragaoka
",69,== Filmography == | === Television animation ===
"Saki: The Nationals (2014), Mako Someya
",70,== Filmography == | === Television animation ===
"Yowamushi Pedal (2014), Shōkichi Naruko (young)
",71,== Filmography == | === Television animation ===
"Amagi Brilliant Park (2014), Macaron
",72,== Filmography == | === Television animation ===
"Gugure! Kokkuri-san (2014), Kokkuri-san (female)
",73,== Filmography == | === Television animation ===
"Girl Friend Beta (2014), Noriko Kiryu
",74,== Filmography == | === Television animation ===
"Death Parade (2015), Quin
",75,== Filmography == | === Television animation ===
"My Wife is the Student Council President (2015), Kei Misumi
",76,== Filmography == | === Television animation ===
"Nanatsu no Taizai (2015), Goddess Clan
",77,== Filmography == | === Television animation ===
"Triage X (2015), Sayo Hitsugi
",78,== Filmography == | === Television animation ===
"Aquarion Logos (2015), Sakurako Soda
",79,== Filmography == | === Television animation ===
"Chaos Dragon (2015), Setsuren
",80,== Filmography == | === Television animation ===
"Tai-Madō Gakuen 35 Shiken Shōtai (2015), Ikaruga Suginami
",81,== Filmography == | === Television animation ===
"Sore ga Seiyuu! (2015), Herself
",82,== Filmography == | === Television animation ===
"Fafner in the Azure: Exodus (2015), Rina Nishio
",83,== Filmography == | === Television animation ===
"Lupin the Third Part 4 (2015), Belladonna
",84,== Filmography == | === Television animation ===
"Super Lovers (2016), Kiri Kondō
",85,== Filmography == | === Television animation ===
"Fate/kaleid liner Prisma Illya 3rei! (2016), Angelica
",86,== Filmography == | === Television animation ===
"ReLIFE (2016), Sumire Inukai
",87,== Filmography == | === Television animation ===
"Cheer Boys!! (2016), Kirari Suzuki
",88,== Filmography == | === Television animation ===
"Beyblade Burst Evolution (2017), Free De La Hoya
",89,== Filmography == | === Television animation ===
"Boruto: Naruto Next Generations (2017), Chocho Akimichi, Eho Norimaki
",90,== Filmography == | === Television animation ===
"Kado: The Right Answer (2017), Shimako Yuri
",91,== Filmography == | === Television animation ===
"Altair: A Record of Battles (2017), Niki Al-Bahram
",92,== Filmography == | === Television animation ===
