paragraph,paragraphIndex,section
"DJ Dan (born Daniel Wherrett) is a house music DJ and producer from the United States.
",0,N/A
"== Career ==
",1,== Career ==
"Wherrett grew up in Lacey, Washington. He moved to Seattle from 1988–1990 to study fashion, where he discovered electronic dance music at clubs such as The Underground, where he heard Randy Schlager and Donald Glaude, and started experimenting with this music himself.
",2,== Career ==
"In 1991, he moved to Los Angeles. After playing a few events with LA-based DJ Ron D Core, with whom he released a series of mixtapes and live mixes, he made his way to San Francisco in 1993 where he joined Funky Tekno Tribe. In 1996 he partnered with Jim Hopkins, releasing Loose Caboose under the name Electroliners. This track was picked up by DJs such as Carl Cox, Sasha, John Digweed, and Lee Burridge. Pete Tong played Wherrett's first Essential Mix in 1988, with a follow-up in 1999, and again in 2007 with Frankie Knuckles at the Winter Music Conference.
",3,== Career ==
"In 2000, Carl Cox invited Wherrett on his tour. In the same year, Wherrett's track ""That Zipper Track"" was released on four labels worldwide, and went on to sell over 100,000 copies on vinyl. In 2001, he created his own label, InStereo Recordings. DJ Mag named DJ Dan the #1 House DJ in 2006. URB magazine named him ""America's Favorite DJ"" and ""America's Hardest Working DJ"". In 2014 he was rated the #9 DJ in the US according to the DJ Times' ""America's Best DJ"" Poll
",4,== Career ==
"== Discography ==
",5,== Discography ==
"=== Singles ===
",6,== Discography == | === Singles ===
"DJ Dan & Hatiras - Baked From Scratch (Blow Media)
",7,== Discography == | === Singles ===
"DJ Dan - Bam (InStereo)
",8,== Discography == | === Singles ===
"DJ Dan and Grandadbob - Disco Hertz EP (Faith and Hope Recordings)
",9,== Discography == | === Singles ===
"DJ Dan - Transformers Cartoon Theme (Hasbro)
",10,== Discography == | === Singles ===
"DJ Dan - Get Up (Kinetic)
",11,== Discography == | === Singles ===
"DJ Dan & Bryan Cox - It's Getting Closer (Ammo)
",12,== Discography == | === Singles ===
"DJ Dan & Hatiras - Love for the Weekend (Blow Media)
",13,== Discography == | === Singles ===
"DJ Dan Presents Needle Damage – That Zipper Track (Moonshine) - UK #53
",14,== Discography == | === Singles ===
"DJ Dan - Needle Damage Remixes (Audacious)
",15,== Discography == | === Singles ===
"DJ Dan - Put That Record Back On (Kinetic)
",16,== Discography == | === Singles ===
"DJ Dan - Put That Record Back On (Part 1) (Honchos)
",17,== Discography == | === Singles ===
"DJ Dan - Put That Record Back On (Part 2) (Honchos)
",18,== Discography == | === Singles ===
"DJ Dan - Rock to the Rhythm (Audacious)
",19,== Discography == | === Singles ===
"DJ Dan - That Phone Track (Subliminal)
",20,== Discography == | === Singles ===
"DJ Dan & Dano - That Arrival (Red Melon Records)
",21,== Discography == | === Singles ===
"DJ Dan Presents Future Retro - Evolution 1 (Nettwerk)
",22,== Discography == | === Singles ===
"DJ Dan Presents Future Retro - Evolution 2 (Nettwerk)
",23,== Discography == | === Singles ===
"DJ Dan Presents Future Retro - Evolution 3 (Nettwerk)
",24,== Discography == | === Singles ===
"DJ Dan Presents Future Retro - Fascinated (Nettwerk)
",25,== Discography == | === Singles ===
"DJ Dan - In Your Area (Nettwerk)
",26,== Discography == | === Singles ===
"DJ Dan - Work That Sucka/Whores Play (Rising)
",27,== Discography == | === Singles ===
"DJ Dan - Stereo Damage (Hotfingers)
",28,== Discography == | === Singles ===
"DJ Dan - Nasty Night Out EP (Guesthouse)
",29,== Discography == | === Singles ===
"DJ Dan & Bartouze - Jukebox (InStereo Recordings)
",30,== Discography == | === Singles ===
"DJ Dan - House All Night (PornoStar Records)
",31,== Discography == | === Singles ===
"DJ Dan - Baby Boomer (Guesthouse)
",32,== Discography == | === Singles ===
"DJ Dan & DJ Mes - Don't Hold Back (Guesthouse)
",33,== Discography == | === Singles ===
"DJ Dan - Just A Fool (Dub Mix) (Guesthouse)
",34,== Discography == | === Singles ===
"DJ Dan - Reckless Gurl (Guesthouse)
",35,== Discography == | === Singles ===
"DJ Dan - In Your Area 2012 Edit (Nettwerk)
",36,== Discography == | === Singles ===
"DJ Dan & Brian Matrix - More Damage (Heartfelt Sounds)
",37,== Discography == | === Singles ===
"DJ Dan - Fist Pump Broken (Guesthouse)
",38,== Discography == | === Singles ===
"DJ Dan - Disco Dancing (Guesthouse)
",39,== Discography == | === Singles ===
"DJ Dan & DJ Mes - Where You Come From (Guesthouse)
",40,== Discography == | === Singles ===
"DJ Dan & Brian Matrix - Africa (Hotfingers)
",41,== Discography == | === Singles ===
"DJ Dan - Out Of Nowhere (Guesthouse)
",42,== Discography == | === Singles ===
"DJ Dan - American Girls	American Girls (Guesthouse)
",43,== Discography == | === Singles ===
"DJ Dan - Ghost (Guesthouse)
",44,== Discography == | === Singles ===
