paragraph,paragraphIndex,section
"Jean-Baptiste de Laubier (born 2 April 1979), known professionally as Para One, is a French electronic music producer and film director.
",0,N/A
"== Music career ==
",1,== Music career ==
"Laubier first came to prominence as one of the main producers of French rap group TTC, and was responsible for producing their 2004 signature tune Dans Le Club. With fellow TTC producer Tacteel he made up the now defunct live/improvised electro outfit Fuck-A-Loop (whose only recorded material prior to 2007's nine-hour digital album The Early Aughties was a 2006 remix of Ellen Allien's Down). In 2006, he remixed The Prime Time of Your Life by French house duo Daft Punk. In 2008, Laubier's remix of Ayumi Hamasaki's Greatful Days was released on the album Ayu-mi-x 6: Gold.
",2,== Music career ==
"Laubier has produced original music for the director Celine Sciamma's films Water Lilies (2007), Tomboy (2011), Girlhood (2014), and Portrait of a Lady on Fire (2019). Tomboy featured the song ""Always"" from Para One and Tacteel's Fair Enough EP.
",3,== Music career ==
"== Film career ==
",4,== Film career ==
"Apart from his musical career, Laubier has also worked as a film director. In 2009, he directed the short movie It Was On Earth That I Knew Joy for French brand Sixpack France.
",5,== Film career ==
"The movie was presented on February 20, 2010 at SCION Installation, Los Angeles.
",6,== Film career ==
"== Discography ==
",7,== Discography ==
"=== Albums ===
",8,== Discography == | === Albums ===
"Epiphanie (2006)
",9,== Discography == | === Albums ===
"Passion (2012)
",10,== Discography == | === Albums ===
"Club (2014)
",11,== Discography == | === Albums ===
"Spectre - Machines of Loving Grace (2021)
",12,== Discography == | === Albums ===
"=== Soundtracks ===
",13,== Discography == | === Soundtracks ===
"Naissance des Pieuvres (2007), soundtrack for the movie Water Lilies, directed by Céline Sciamma
",14,== Discography == | === Soundtracks ===
"Girlhood, la bande originale de Bande de Filles (2014), soundtrack for the movie Girlhood, directed by Céline Sciamma
",15,== Discography == | === Soundtracks ===
"Portrait of a Lady on Fire (2019), soundtrack for the movie directed by Céline Sciamma
",16,== Discography == | === Soundtracks ===
"=== Singles ===
",17,== Discography == | === Singles ===
"Para One – Beat Down EP (2003)
",18,== Discography == | === Singles ===
"Paraone / Iris / Sept / Flynt / Lyricson (2003)
",19,== Discography == | === Singles ===
"Para One – Clubhoppn EP (2005)
",20,== Discography == | === Singles ===
"Para One – Dundun-Dun Single (2006)
",21,== Discography == | === Singles ===
"Para One – Dundun-Dun - Remixes  (2006)
",22,== Discography == | === Singles ===
"Para One – Epiphanie (2006)
",23,== Discography == | === Singles ===
"Para One – Midnight Swim (2007)
",24,== Discography == | === Singles ===
"Para One – Water Lilies (film) OST (2007)
",25,== Discography == | === Singles ===
"Para One – Kiwi / Toadstool (2010)
",26,== Discography == | === Singles ===
"Para One – Animal Style / Nevrosis (2010)
",27,== Discography == | === Singles ===
"Das Glow & Para One – Pulsar / Freeze (2011)
",28,== Discography == | === Singles ===
"Para One & Tacteel – Fair Enough EP (2011)
",29,== Discography == | === Singles ===
"Para One & San Serac pres. Slice & Soda – Year of the Dragon (2011)
",30,== Discography == | === Singles ===
"Para One & Teki Latex – 5th Dimension (2011)
",31,== Discography == | === Singles ===
"Para One – Passion (2012)
",32,== Discography == | === Singles ===
"Para One - You Too (2014)
",33,== Discography == | === Singles ===
"== Filmography ==
",34,== Filmography ==
"Les Premières Communions (2004), short movie
",35,== Filmography ==
"Cache Ta Joie (2005), short movie
",36,== Filmography ==
"It Was On Earth That I Knew Joy (2009), short movie
",37,== Filmography ==
"== Remixes ==
",38,== Remixes ==
"2003 : Animal Machine - Persona
",39,== Remixes ==
"2003 : Agoria - Spinach Girl
",40,== Remixes ==
"2004 : Krazy Baldhead - Revolution
",41,== Remixes ==
"2005 : Stacs Of Stamina - Mistake, Rewind, Repeat
",42,== Remixes ==
"2005 : Billy Crawford - 3 Wishes (Remix paru en 2011, non trouvable dans le commerce)
",43,== Remixes ==
"2006 : Ellen Allien - Down (Fuckaloop remix)
",44,== Remixes ==
"2006 : Bloc Party - The Prayer
",45,== Remixes ==
"2006 : Daft Punk - The Prime Time Of Your Life
",46,== Remixes ==
"2006 : MSTRKRFT - Work On You
",47,== Remixes ==
"2006 : Trabant - The One
",48,== Remixes ==
"2006 : Vegastar - Elle Blesse
",49,== Remixes ==
"2007 : Teki Latex - Disco Dance With You
",50,== Remixes ==
"2007 : Datarock - I Used To Dance With My Daddy
",51,== Remixes ==
"2007 : Boys Noize - My Head
",52,== Remixes ==
"2007 : Plaid - Kiddie Castle
",53,== Remixes ==
"2008 : Ayumi Hamasaki - Greatful Days
",54,== Remixes ==
"2008 : Guns 'n' Bombs - Riddle Of Steel
",55,== Remixes ==
"2009 : Tahiti Boy and the Palmtree Family - 1973
",56,== Remixes ==
"2009 : Boys Noize - Jeffer
",57,== Remixes ==
"2009 : Beethoven - 7e Symphonie : Allegretto
",58,== Remixes ==
"2009 : J.S. Bach - Ouverture de la Passion selon St Jean
",59,== Remixes ==
"2009 : W.A. Mozart - Offertoire du Requiem K626
",60,== Remixes ==
"2010 : Bart B More - Romane
",61,== Remixes ==
"2010 : Bot'Ox - Blue Steel (with Tacteel)
",62,== Remixes ==
"2010 : Depressed Buttons - Ow
",63,== Remixes ==
"2010 : Canblaster - Clockworks (avec Teki Latex)
",64,== Remixes ==
"2011 : Drop The Lime - Hot As Hell
",65,== Remixes ==
"2011 : Arnaud Fleurent-Didier - France Culture
",66,== Remixes ==
"2011 : Hey Today! - Minor
",67,== Remixes ==
"2011 : Jupiter - Saké (avec Tacteel)
",68,== Remixes ==
"2011 : Shake Aletti - Work (with Tacteel)
",69,== Remixes ==
"2011 : Noob - Powder (with Teki Latex)
",70,== Remixes ==
"2011 : Justice - Audio Video Disco
",71,== Remixes ==
"2012 : Surkin - Silver Island
",72,== Remixes ==
"2013 : LOGO - Cardiocleptomania
",73,== Remixes ==
"2015 : Dua Lipa - ""New Love""
",74,== Remixes ==
"== Sources ==
",75,== Sources ==
"== External links ==
",76,== External links ==
"""It Was On Earth That I Knew Joy"" Official trailer",77,== External links ==
