time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
14 October 1948,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Marcia Barrett (born 14 October 1948) is a Jamaican-British singer and one of the original singers with the vocal group Boney M.,0,0,,3961946,1948-10-14,1948-10-14,ML
1963,CD,YEAR_REGEX_1,TIME,time_reference,"Barrett was born in Saint Catherine Parish, British Jamaica; her parents brought her to Croydon, England in 1963.",0,2,== Early years ==,3961946,1963-01-01,1963-12-31,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,"In 1971 she signed to Metronome Records and made her first record, ""Could Be Love"", written by Drafi Deutscher.",2,2,== Early years ==,3961946,1971-01-01,1971-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"In 1975 she joined Boney M., a group of models and dancers, to make discothèque and television performances of ""Baby Do You Wanna Bump"", a song recorded by record producer Frank Farian.",0,4,== Boney M. era ==,3961946,1975-01-01,1975-12-31,ML
early 1976,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"When singer Claudja Barry left in early 1976, Barrett suggested a fellow Jamaican, Liz Mitchell, as replacement.",2,4,== Boney M. era ==,3961946,1976-01-01,1976-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"They recorded Boney M.'s first album, Take the Heat Off Me, in 1976.",4,4,== Boney M. era ==,3961946,1976-01-01,1976-12-31,ML
1982–85,CD,YEAR_REGEX_1,TIME,time_reference,"Frank Farian (and, from 1982–85, Reggie Tsiboe) provided male vocals that Bobby Farrell mimed to on stage.",7,4,== Boney M. era ==,3961946,1982-01-01,1985-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"She also led on a couple of tracks on each of the group's studio albums up to Christmas Album (1981), including the title of the first album Take the Heat off Me and ""Lovin' or Leavin'"".",9,4,== Boney M. era ==,3961946,1981-01-01,1981-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,These were released as a Barrett solo single in 1977.,10,4,== Boney M. era ==,3961946,1977-01-01,1977-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,"Oh My Lord"", and ""Ribbons of Blue"", was lead singer of ""No Time to Lose"" on the group's 1979 album Oceans of Fantasy and had a solo on the opening track ""Let It All Be Music""After an unsuccessful solo single ""You"" in the late 1980s, written by Kelvin James, she abandoned her solo project.",14,4,== Boney M. era ==,3961946,1979-01-01,1979-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"Barrett, however, sang lead on the single ""We Kill the World (Don't Kill the World)"" in 1981.",16,4,== Boney M. era ==,3961946,1981-01-01,1981-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"The group became less popular from 1982 onwards, when Bobby Farrell was replaced by Reggie Tsiboe.",18,4,== Boney M. era ==,3961946,1982-01-01,1982-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,"In 1983, Barrett was introduced to Eddy Grant who produced demos with her for CBS.",19,4,== Boney M. era ==,3961946,1983-01-01,1983-12-31,ML
the 1989,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"After Liz Mitchell's departure during the 1989 tour, Madeleine Davis joined the group.",23,4,== Boney M. era ==,3961946,1989-01-01,1989-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"She did all lead and backing vocals on the A-side, but Farian withdrew the single, angry that the group used the name Boney M. After a court case in 1990, the group members went their separate ways.",25,4,== Boney M. era ==,3961946,1990-01-01,1990-12-31,ML
November 2001,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"""Life after Boney M. – my dear, I've been through hell and back"", Barrett said in a radio interview in November 2001.",0,6,== Life after Boney M. ==,3961946,2001-11-01,2001-11-30,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"After the group split in 1990, Barrett was recording rock tracks in Munich when she was diagnosed with ovarian cancer.",1,6,== Life after Boney M. ==,3961946,1990-01-01,1990-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"By 1997, she began working with producer Scott Christina on dance tracks.",3,6,== Life after Boney M. ==,3961946,1997-01-01,1997-12-31,ML
November 1999,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The resulting album, Survival, appeared in November 1999.",4,6,== Life after Boney M. ==,3961946,1999-11-01,1999-11-30,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"In 2003, a benefit EP No War!",6,6,== Life after Boney M. ==,3961946,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Barrett made her second album, Come into My Life, in 2005.",0,8,== Present day ==,3961946,2005-01-01,2005-12-31,ML
October 2007,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In October 2007, she turned down a song for the album Disco 2008, a project by UK music producer Ian Levine.",1,9,== Present day ==,3961946,2007-10-01,2007-10-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"In October 2007, she turned down a song for the album Disco 2008, a project by UK music producer Ian Levine.",1,9,== Present day ==,3961946,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, she started Xoah Records.",3,9,== Present day ==,3961946,2009-01-01,2009-12-31,ML
6 March 2009,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"The first release on the label was a remix of her Survival track ""Seeing Is Believing"", released on 6 March 2009, followed by ""I Don't Know Why"".",4,9,== Present day ==,3961946,2009-03-06,2009-03-06,ML
June 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"June 2018 saw Barretts biography ""Forward - My life with and without Boney M."" being published.",0,10,== Present day ==,3961946,2018-06-01,2018-06-30,ML
'88,CD,YEAR_REGEX_2,TIME,time_reference,"On their final album Eye Dance, she can barely be heard, and on the group's reunion remix album, Greatest Hits of All Times - Remix '88, her vocals were toned down on most tracks.",22,4,== Boney M. era ==,3961946,1988-01-01,1988-12-31,LLM
