time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
24 July 1989,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Hiroya Ozaki (尾崎 裕哉, Ozaki Hiroya, born 24 July 1989) is a Japanese singer-songwriter.",0,0,,51711212,1989-07-24,1989-07-24,ML
24 July 1989,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Ozaki was born on 24 July 1989 in Tokyo, Japan, to Japanese singer songwriter Yutaka Ozaki and Shigemi Ozaki.",0,2,== Early life and family ==,51711212,1989-07-24,1989-07-24,ML
2004–2015,CD,YEAR_REGEX_1,TIME,time_reference,2004–2015:,1,4,== Career == | === 2004–2015: Pre-debut period ===,51711212,2004-01-01,2015-12-31,ML
March 2004,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In March 2004, Ozaki covered his father's song ""The Night"" (15の夜, lit.",0,5,== Career == | === 2004–2015: Pre-debut period ===,51711212,2004-03-01,2004-03-31,ML
June 2008,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Ozaki graduated from American School in Japan in June 2008 and attended Keio University Faculty of Environment and Information Studies in 2008.,0,6,== Career == | === 2004–2015: Pre-debut period ===,51711212,2008-06-01,2008-06-30,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Ozaki graduated from American School in Japan in June 2008 and attended Keio University Faculty of Environment and Information Studies in 2008.,0,6,== Career == | === 2004–2015: Pre-debut period ===,51711212,2008-01-01,2008-12-31,ML
July 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In July 2012, Ozaki first played in public at Fuji Rock Festival 2012.",2,6,== Career == | === 2004–2015: Pre-debut period ===,51711212,2012-07-01,2012-07-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In July 2012, Ozaki first played in public at Fuji Rock Festival 2012.",2,6,== Career == | === 2004–2015: Pre-debut period ===,51711212,2012-01-01,2012-12-31,ML
April 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"His second show on InterFM, titled Between The Lines started in April 2013.",3,6,== Career == | === 2004–2015: Pre-debut period ===,51711212,2013-04-01,2013-04-30,ML
2016–present,CD,YEAR_REGEX_1,TIME,time_reference,2016–present: Let Freedom Ring and Seize the Day =,1,7,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212,2016-01-01,,ML
July 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In July 2016, he appeared on the television music show Ongaku no Hi, and played his father's song ""I Love You"" and his first original song, ""Hajimari no Machi"".",1,8,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212,2016-07-01,2016-07-31,ML
September 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2016, Ozaki embarked his first live concert as a solo singer, entitled Billboard Classics Hiroya Ozaki Premium Concert: Hajimari no Machi, at Yomiuri Otemachi Hall.",2,8,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212,2016-09-01,2016-09-30,ML
September 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Ozaki's debut single ""Hajimari no Machi"" was released in September 2016, through Toy's Factory.",0,9,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212,2016-09-01,2016-09-30,ML
