time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1992,CD,YEAR_REGEX_1,TIME,time_reference,His commercial album debut was Fear Factory's Soul of a New Machine in 1992.,0,2,== Career ==,2140795,1992-01-01,1992-12-31,ML
a nearly two decade,DT RB CD NN,INARTICLE_REGEX PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,The band soon began a nearly two decade long recording and touring schedule including more than twelve commercial album releases and numerous world tours.,1,2,== Career ==,2140795,,,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"In 1996, Herrera started to secure music licensing of Fear Factory's music for dozens of video games.",0,3,== Career ==,2140795,1996-01-01,1996-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,He started Herrera Productions (renamed 3volution Productions in 2003) and worked as composer-producer on numerous video games.,1,3,== Career ==,2140795,2003-01-01,2003-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"In 2006, Herrera started the recording studio Temple Studios LLC and co-created the beverage company Redux Beverages LLC.",0,4,== Career ==,2140795,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"In 2008, he played drums with Arkaea, including former Fear Factory band member Christian Olde Wolbers, and Jon Howard and Pat Kavanagh from Threat Signal.",1,4,== Career ==,2140795,2008-01-01,2008-12-31,ML
Years,NNS,TIME_UNIT_REGEX,TIME,time_reference,The band released the album Years in the Darkness.,2,4,== Career ==,2140795,,,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, he started Alt-Strum Productions (ASP).",3,4,== Career ==,2140795,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"In 2010, he co-created Freedom To Rock, a 501c3 non-profit organization, and is on the board of directors.",4,4,== Career ==,2140795,2010-01-01,2010-12-31,ML
2011–2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011–2012, Herrera worked with Power A to help develop the FUS1ON Gaming controller.",5,4,== Career ==,2140795,2011-01-01,2012-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2013 Raymond joined Capital Source Network (CSN), a company Raymond helped create.",6,4,== Career ==,2140795,2013-01-01,2013-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,In 2015 Raymond started 3volution Organics with his wife Paula Herrera.,0,5,== Career ==,2140795,2015-01-01,2015-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,The company became a national broker in 2017 and has expanded into E-Commerce and international Brick and Mortar and international E-commerce in early 2021.,3,5,== Career ==,2140795,2017-01-01,2017-12-31,ML
early 2021,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,The company became a national broker in 2017 and has expanded into E-Commerce and international Brick and Mortar and international E-commerce in early 2021.,3,5,== Career ==,2140795,2021-01-01,2021-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Concrete (recorded in 1991 and released on July 30, 2002)",0,10,== Discography == | === With Fear Factory ===,2140795,1991-01-01,1991-12-31,ML
"July 30 , 2002","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Concrete (recorded in 1991 and released on July 30, 2002)",0,10,== Discography == | === With Fear Factory ===,2140795,2002-07-30,2002-07-30,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,Soul of a New Machine (1992),0,11,== Discography == | === With Fear Factory ===,2140795,1992-01-01,1992-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,Demanufacture (1995),0,12,== Discography == | === With Fear Factory ===,2140795,1995-01-01,1995-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,Obsolete (1998),0,13,== Discography == | === With Fear Factory ===,2140795,1998-01-01,1998-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,Digimortal (2001),0,14,== Discography == | === With Fear Factory ===,2140795,2001-01-01,2001-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Archetype (2004),0,15,== Discography == | === With Fear Factory ===,2140795,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,Transgression (2005),0,16,== Discography == | === With Fear Factory ===,2140795,2005-01-01,2005-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,Matando Güeros (1993),0,18,== Discography == | === With Brujeria ===,2140795,1993-01-01,1993-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,Raza Odiada (1995),0,19,== Discography == | === With Brujeria ===,2140795,1995-01-01,1995-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,Brujerizmo (2000),0,20,== Discography == | === With Brujeria ===,2140795,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,Corridos de Muerte (2002),0,22,== Discography == | === With Asesino ===,2140795,2002-01-01,2002-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,Return to Desolation (1994),0,24,== Discography == | === With Phobia ===,2140795,1994-01-01,1994-12-31,ML
Years,NNS,TIME_UNIT_REGEX,TIME,time_reference,Years in the Darkness (2009),0,26,== Discography == | === With Arkaea ===,2140795,,,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Years in the Darkness (2009),0,26,== Discography == | === With Arkaea ===,2140795,2009-01-01,2009-12-31,ML
