time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 26 , 1982","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Nathaniel Joseph Ruess (born February 26, 1982) is an American singer-songwriter.",0,0,,19340143,1982-02-26,1982-02-26,ML
of 2015,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"As of 2015, he also performs as a solo musician.",2,0,,19340143,2015-01-01,2015-12-31,ML
"February 26 , 1982","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Ruess was born on February 26, 1982, in Iowa City, Iowa to Larry Ruess and Bess Zinger.",0,2,== Early life ==,19340143,1982-02-26,1982-02-26,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,"In 1986, his family moved to a farm in Glendale, Arizona due to repeated bouts of pneumonia Ruess faced as a child.",3,2,== Early life ==,19340143,1986-01-01,1986-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Ruess remained in Arizona throughout his childhood and attended Deer Valley High School, graduating in 2000.",6,2,== Early life ==,19340143,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"In 2002, at the age of 19, he launched the band the Format with his longtime best friend, Sam Means.",10,2,== Early life ==,19340143,2002-01-01,2002-12-31,ML
2000–2008,CD,YEAR_REGEX_1,TIME,time_reference,2000–2008:,1,4,== Career == | === 2000–2008: The Format ===,19340143,2000-01-01,2008-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"After forming in 2000, the Format released a five-song EP, titled EP, which generated local interest and led to the band being signed to Elektra Records in 2002.",0,5,== Career == | === 2000–2008: The Format ===,19340143,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"After forming in 2000, the Format released a five-song EP, titled EP, which generated local interest and led to the band being signed to Elektra Records in 2002.",0,5,== Career == | === 2000–2008: The Format ===,19340143,2002-01-01,2002-12-31,ML
"October 21 , 2003","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"They released their first studio album, Interventions + Lullabies, on October 21, 2003, leading to more local mainstream success.",1,5,== Career == | === 2000–2008: The Format ===,19340143,2003-10-21,2003-10-21,ML
April 2005,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The band's fanbase began to grow, and the Format released their second EP, Snails, with Atlantic Records in April 2005.",2,5,== Career == | === 2000–2008: The Format ===,19340143,2005-04-01,2005-04-30,ML
"July 10 , 2006","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"They eventually created their own label, The Vanity Label, and released the album on July 10, 2006.",4,5,== Career == | === 2000–2008: The Format ===,19340143,2006-07-10,2006-07-10,ML
"February 4 , 2008","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On February 4, 2008, Ruess announced through the band's blog that the Format would not be making another album.",5,5,== Career == | === 2000–2008: The Format ===,19340143,2008-02-04,2008-02-04,ML
2008–2014,CD,YEAR_REGEX_1,TIME,time_reference,2008–2014: fun.,1,8,== Career == | === 2008–2014: fun. ===,19340143,2008-01-01,2014-12-31,ML
"September 20 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"They released their first demo, ""Benson Hedges"", through Spin's September 20, 2009, article.",1,9,== Career == | === 2008–2014: fun. ===,19340143,2009-09-20,2009-09-20,ML
"April 6 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Four months after releasing their first single, ""At Least I'm Not as Sad (As I Used to Be)"", through Myspace on April 6, 2009, Fun released their first studio album, entitled Aim and Ignite.",2,9,== Career == | === 2008–2014: fun. ===,19340143,2009-04-06,2009-04-06,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,The band's first tour happened in 2008 supporting Jack's Mannequin and gained exposure opening for them as well as Paramore in 2010.,0,10,== Career == | === 2008–2014: fun. ===,19340143,2008-01-01,2008-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,The band's first tour happened in 2008 supporting Jack's Mannequin and gained exposure opening for them as well as Paramore in 2010.,0,10,== Career == | === 2008–2014: fun. ===,19340143,2010-01-01,2010-12-31,ML
"August 4 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On August 4, 2010, Fun announced that they had been signed to the Fueled by Ramen label.",1,10,== Career == | === 2008–2014: fun. ===,19340143,2010-08-04,2010-08-04,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, in collaboration with the band Panic!",0,11,== Career == | === 2008–2014: fun. ===,19340143,2011-01-01,2011-12-31,ML
"February 21 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Their second album, Some Nights, was released on February 21, 2012, and featured production by Jeff Bhasker.",0,12,== Career == | === 2008–2014: fun. ===,19340143,2012-02-21,2012-02-21,ML
"September 20 , 2011","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The album's first single, ""We Are Young"", which features guest singer Janelle Monáe, was released September 20, 2011.",1,12,== Career == | === 2008–2014: fun. ===,19340143,2011-09-20,2011-09-20,ML
December 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The song was covered on Glee in December 2011 and featured in a Chevy Sonic commercial during the Super Bowl in February 2012, and reached number one on the Billboard Hot 100 on March 8, 2012.",2,12,== Career == | === 2008–2014: fun. ===,19340143,2011-12-01,2011-12-31,ML
February 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The song was covered on Glee in December 2011 and featured in a Chevy Sonic commercial during the Super Bowl in February 2012, and reached number one on the Billboard Hot 100 on March 8, 2012.",2,12,== Career == | === 2008–2014: fun. ===,19340143,2012-02-01,2012-02-29,ML
"March 8 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The song was covered on Glee in December 2011 and featured in a Chevy Sonic commercial during the Super Bowl in February 2012, and reached number one on the Billboard Hot 100 on March 8, 2012.",2,12,== Career == | === 2008–2014: fun. ===,19340143,2012-03-08,2012-03-08,ML
