time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"March 11 , 1965","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Marvin Andrew Sturmer (born March 11, 1965) is an American musician, singer, songwriter, and composer who co-founded the rock band Jellyfish in 1989.",0,0,,310724,1965-03-11,1965-03-11,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Marvin Andrew Sturmer (born March 11, 1965) is an American musician, singer, songwriter, and composer who co-founded the rock band Jellyfish in 1989.",0,0,,310724,1989-01-01,1989-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Following their break-up in 1994, Sturmer became involved with Tamio Okuda, as writer and producer for the Japanese pop duo Puffy AmiYumi.",2,0,,310724,1994-01-01,1994-12-31,ML
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Sturmer attended Amador Valley High School in Pleasanton, California in the 1970s.",0,2,== Jellyfish ==,310724,1970-01-01,1979-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"When the band dissolved in 1988, Sturmer and Manning formed Jellyfish.",5,2,== Jellyfish ==,310724,1988-01-01,1988-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"Jellyfish released two albums, Bellybutton (1990) and Spilt Milk (1993).",6,2,== Jellyfish ==,310724,1990-01-01,1990-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Jellyfish released two albums, Bellybutton (1990) and Spilt Milk (1993).",6,2,== Jellyfish ==,310724,1993-01-01,1993-12-31,ML
early 1994,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"While their records earned critical praise and they toured the world several times, Jellyfish failed to meet commercial expectations, and intra-group friction led to Jellyfish's dissolution in early 1994.",9,2,== Jellyfish ==,310724,1994-01-01,1994-12-31,ML
the 2003,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,Puffy were approached by Cartoon Network to sing the theme song for the 2003 animated series Teen Titans.,5,4,== Puffy AmiYumi and other work ==,310724,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"In 2004, Sturmer also became the consulting producer and theme song composer for the cartoon",7,4,== Puffy AmiYumi and other work ==,310724,2004-01-01,2004-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"(2003) and 59 (2004), his involvement with the band lessened.",10,4,== Puffy AmiYumi and other work ==,310724,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"(2003) and 59 (2004), his involvement with the band lessened.",10,4,== Puffy AmiYumi and other work ==,310724,2004-01-01,2004-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"In 2006, he worked with Mike Viola on the album Alpacas Orgling (credited to LEO).",13,4,== Puffy AmiYumi and other work ==,310724,2006-01-01,2006-12-31,ML
the 2002,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the liner notes for the 2002 Jellyfish box set Fan Club, it is stated that Sturmer was planning ""an imminent solo record to be released over the Internet.""",14,4,== Puffy AmiYumi and other work ==,310724,2002-01-01,2002-12-31,ML
of 2015,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"As of 2015, he refuses all requests for interviews about his past or current work.",15,4,== Puffy AmiYumi and other work ==,310724,2015-01-01,2015-12-31,ML
their 1997,PRP$ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,,He ultimately played all the drums on their 1997 album Bubblegun and co-produced four tracks.,4,4,== Puffy AmiYumi and other work ==,310724,1997-01-01,1997-12-31,LLM
a May 1994,DT NNP CD,INARTICLE_REGEX MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,"In a May 1994 article published in the San Francisco Chronicle, it was reported that Sturmer and Manning would form new bands in the aftermath of Jellyfish.",10,2,== Jellyfish ==,310724,1994-05-01,1994-05-31,LLM
past,NN,TIMELINE_REGEX,TIME,time_reference,"As of 2015, he refuses all requests for interviews about his past or current work.",15,4,== Puffy AmiYumi and other work ==,310724,,,ML
That year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"That year, Manning commented in an interview that the reason Jellyfish has never reunited was mostly due to Sturmer's ""lack of interest"".",16,4,== Puffy AmiYumi and other work ==,310724,,,ML
