time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"July 9 , 1984","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Yumi Shizukusa (滴草 由実, Shizukusa Yumi, born on July 9, 1984) is a Japanese R&B and pop singer.",0,0,,50038741,1984-07-09,1984-07-09,ML
2002–2003,CD,YEAR_REGEX_1,TIME,time_reference,2002–2003: Audition and success,1,2,== History == | === 2002–2003: Audition and success ===,50038741,2002-01-01,2003-12-31,ML
April 2002,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In April 2002, she won the 1st place on the audition called ""Super Starlight Contest"" brought by Giza Studio.",0,3,== History == | === 2002–2003: Audition and success ===,50038741,2002-04-01,2002-04-30,ML
"July 2 , 2003","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On July 2, 2003, she released her first single ""Don't you wanna see me <oh> tonight?"".",0,4,== History == | === 2002–2003: Audition and success ===,50038741,2003-07-02,2003-07-02,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"2004: ""Yumi Shizukusa II""",1,6,"== History == | === 2004: ""Yumi Shizukusa II"" ===",50038741,2004-01-01,2004-12-31,ML
"October 27 , 2004","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On October 27, 2004, she released her second studio album ""Yumi Shizukusa II"".",0,8,"== History == | === 2004: ""Yumi Shizukusa II"" ===",50038741,2004-10-27,2004-10-27,ML
2005–2006,CD,YEAR_REGEX_1,TIME,time_reference,2005–2006:,1,9,"== History == | === 2005–2006: Comeback in popularity and ""Hana kagari"" ===",50038741,2005-01-01,2006-12-31,ML
"February 9 , 2005","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On February 9, 2005, she released her 6th single ""Hana kagari"".",0,10,"== History == | === 2005–2006: Comeback in popularity and ""Hana kagari"" ===",50038741,2005-02-09,2005-02-09,ML
"December 15 , 2005","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On December 15, 2005, she released her 1st digital single ""Communication break out"" on iTunes.",0,11,"== History == | === 2005–2006: Comeback in popularity and ""Hana kagari"" ===",50038741,2005-12-15,2005-12-15,ML
"March 1 , 2006","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On March 1, 2006, her third studio album ""Hana Kagari"" was released.",0,12,"== History == | === 2005–2006: Comeback in popularity and ""Hana kagari"" ===",50038741,2006-03-01,2006-03-01,ML
2007–2010,CD,YEAR_REGEX_1,TIME,time_reference,"2007–2010: ""I still believe"" and duet with KG =",1,13,"== History == | === 2007–2010: ""I still believe"" and duet with KG ===",50038741,2007-01-01,2010-12-31,ML
"May 30 , 2007","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 30, 2007, she released her 8th single ""I still believe: Tameiki"".",0,14,"== History == | === 2007–2010: ""I still believe"" and duet with KG ===",50038741,2007-05-30,2007-05-30,ML
"December 3 , 2008","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Her 4th studio album ""THE PAINTED SOUL"" was released on December 3, 2008.",0,16,"== History == | === 2007–2010: ""I still believe"" and duet with KG ===",50038741,2008-12-03,2008-12-03,ML
"August 19 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On August 19, 2009, she released her first extended play ""ENDLESS SUMMER"".",0,17,"== History == | === 2007–2010: ""I still believe"" and duet with KG ===",50038741,2009-08-19,2009-08-19,ML
2013–2014,CD,YEAR_REGEX_1,TIME,time_reference,2013–2014:,1,20,== History == | === 2013–2014: Comeback in the music scene ===,50038741,2013-01-01,2014-12-31,ML
"December 18 , 2013","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Her 5th studio album ""A woman's heart"" was released on December 18, 2013.",0,21,== History == | === 2013–2014: Comeback in the music scene ===,50038741,2013-12-18,2013-12-18,ML
2015–2017,CD,YEAR_REGEX_1,TIME,time_reference,"2015–2017: ""BLUE"" and ""Rouge"" =",1,23,"== History == | === 2015–2017: ""BLUE"" and ""Rouge"" ===",50038741,2015-01-01,2017-12-31,ML
