time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 12 , 1992","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kang Ji-hyun (born February 12, 1992), known professionally as Soyou, is a South Korean singer.",0,0,,38430995,1992-02-12,1992-02-12,ML
1992–2010,CD,YEAR_REGEX_1,TIME,time_reference,1992–2010:,1,2,== Life and career == | === 1992–2010: Early life and career beginnings ===,38430995,1992-01-01,2010-12-31,ML
"February 12 , 1992","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Soyou was born on February 12, 1992, in Jeju Island, South Korea.",0,3,== Life and career == | === 1992–2010: Early life and career beginnings ===,38430995,1992-02-12,1992-02-12,ML
June 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Instead, Soyou auditioned for Starship Entertainment, singing a cover of Navi's ""On The Road"", and after her traineeship, she debuted as a member of Sistar in June 2010.",4,3,== Life and career == | === 1992–2010: Early life and career beginnings ===,38430995,2010-06-01,2010-06-30,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"The group gained significant popularity after the release of their hit single ""So Cool"" in 2011.",5,3,== Life and career == | === 1992–2010: Early life and career beginnings ===,38430995,2011-01-01,2011-12-31,ML
2010–2017,CD,YEAR_REGEX_1,TIME,time_reference,"=== 2010–2017: Original soundtracks, collaborations and Sistar disbandment =",0,4,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2010-01-01,2017-12-31,ML
August 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In August 2010, Soyou collaborated with Kan Jongwoo of J2 for the soundtrack for the drama Gloria.",0,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2010-08-01,2010-08-31,ML
November 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In November 2012, Soyou sang a duet with hip-hop duo Geeks.",3,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2012-11-01,2012-11-30,ML
September 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2013, it was revealed that Soyou and Mad Clown would release a duet called ""Stupid in Love"" on the 10th.",7,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2013-09-01,2013-09-30,ML
February 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2014, Soyou and Junggigo released a duet called ""Some"".",8,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2014-02-01,2014-02-28,ML
January 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2015, it was revealed that Soyou, together with Lee Honey and Kim Jungmin, would be the new MCs of beauty tip program Get It Beauty.",9,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2015-01-01,2015-01-31,ML
"February 4 , 2015","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The new MCs' first episode aired on February 4, 2015.",10,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2015-02-04,2015-02-04,ML
February 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2017, Soyou and Baekhyun released a duet called ""Rain"".",11,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2017-02-01,2017-02-28,ML
May 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In May 2017, Sistar released their last single ""Lonely"".",12,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2017-05-01,2017-05-31,ML
"June 4 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The group performed their most successful summer hits – ""Touch My Body"", ""Shake It"", ""Loving U"", ""I Swear"" and also their last song ""Lonely"" on four major music shows, before concluding the schedule on Inkigayo on June 4, 2017 and officially disbanding.",13,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2017-06-04,2017-06-04,ML
August 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In August 2017, Soyou was featured as the vocalist on Primary's song ""Right?"".",14,5,"== Life and career == | === 2010–2017: Original soundtracks, collaborations and Sistar disbandment ===",38430995,2017-08-01,2017-08-31,ML
2017–present,CD,YEAR_REGEX_1,TIME,time_reference,2017–present:,1,6,== Life and career == | === 2017–present: Solo debut ===,38430995,2017-01-01,,ML
June 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"After Sistar disbanded in June 2017, Soyou debuted her solo career under Starship Entertainment.",0,7,== Life and career == | === 2017–present: Solo debut ===,38430995,2017-06-01,2017-06-30,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"She released a collaboration track titled ""Monitor Girl"" with Geeks' Louie on October 26, it was their second collaboration since ""Officially Missing You, Too"" in 2012.",2,7,== Life and career == | === 2017–present: Solo debut ===,38430995,2012-01-01,2012-12-31,ML
"June 28 , 2020","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"A year and nine months after her last release, Soyou released ""Gotta Go"" on June 28, 2020.",6,7,== Life and career == | === 2017–present: Solo debut ===,38430995,2020-06-28,2020-06-28,ML
"March 11 , 2021","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"After eight months, Starship Entertainment announced that Soyou is gearing up for her next comeback on March 11, 2021.",8,7,== Life and career == | === 2017–present: Solo debut ===,38430995,2021-03-11,2021-03-11,ML
September 8,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On September 8, Soyou decided not to renew her contract with Starship Entertainment.",10,7,== Life and career == | === 2017–present: Solo debut ===,38430995,2022-09-08,2022-09-08,LLM
November 28,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On November 28, Soyou was confirmed to become an MC for a new beauty program of JTBC titled SoyouXHani's Beauty View, which began airing on December 28.",4,7,== Life and career == | === 2017–present: Solo debut ===,38430995,2021-11-28,2021-11-28,LLM
November 16,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On November 16, Soyou released ""I Still"" with Sung Si-kyung as pre-release track for her upcoming solo album.",3,7,== Life and career == | === 2017–present: Solo debut ===,38430995,2021-11-16,2021-11-16,LLM
