time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 6 , 1943","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Calvin Keys (born February 6, 1943) is an American jazz guitarist, known for the several albums he released for Black Jazz Records.",0,0,,22268024,1943-02-06,1943-02-06,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,"Shawn-Neeq (Black Jazz, 1971)",0,3,== Discography == | === As leader ===,22268024,1971-01-01,1971-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,"(Black Jazz, 1974)",1,4,== Discography == | === As leader ===,22268024,1974-01-01,1974-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"Criss Cross (Ovation, 1977)",0,5,== Discography == | === As leader ===,22268024,1977-01-01,1977-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"Full Court Press (Olive Branch, 1985)",0,6,== Discography == | === As leader ===,22268024,1985-01-01,1985-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,Maria's First (1987),0,7,== Discography == | === As leader ===,22268024,1987-01-01,1987-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Standard Keys (Lifeforce, 1997)",0,8,== Discography == | === As leader ===,22268024,1997-01-01,1997-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Detours into Unconscious Rhythms (Wide Hive, 2000)",0,9,== Discography == | === As leader ===,22268024,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Touch (Olive Branch, 2000)",0,10,== Discography == | === As leader ===,22268024,2000-01-01,2000-12-31,ML
An Evening,DT NN,INARTICLE_REGEX DAY_TIME_REGEX,MODIFIER TIME,time_reference,"An Evening With Calvin Keys (Lifeforce, 2003)",0,11,== Discography == | === As leader ===,22268024,,,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"An Evening With Calvin Keys (Lifeforce, 2003)",0,11,== Discography == | === As leader ===,22268024,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Calvinesque (Silverado, 2005)",0,12,== Discography == | === As leader ===,22268024,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Vertical Clearance (Wide Hive, 2006)",0,13,== Discography == | === As leader ===,22268024,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Hand Made Portrait (Silverado, 2006)",0,14,== Discography == | === As leader ===,22268024,2006-01-01,2006-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Electric Keys (Wide Hive, 2013)",0,15,== Discography == | === As leader ===,22268024,2013-01-01,2013-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"Recorded Live at Oil Can Harry's (Catalyst, 1976)",0,18,== Discography == | === As sideman ===,22268024,1976-01-01,1976-12-31,ML
20th Century,JJ NNP,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Steppin Out with a Dream (20th Century Fox, 1976)",0,19,== Discography == | === As sideman ===,22268024,,,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"Steppin Out with a Dream (20th Century Fox, 1976)",0,19,== Discography == | === As sideman ===,22268024,1976-01-01,1976-12-31,ML
20th Century,JJ NNP,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"One (20th Century Fox, 1978)",0,20,== Discography == | === As sideman ===,22268024,,,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,"One (20th Century Fox, 1978)",0,20,== Discography == | === As sideman ===,22268024,1978-01-01,1978-12-31,ML
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"Night Song (Motown, 1980)",0,21,== Discography == | === As sideman ===,22268024,,,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"Night Song (Motown, 1980)",0,21,== Discography == | === As sideman ===,22268024,1980-01-01,1980-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Live in Paris 1996 (Birdology/Dreyfus, 1999)With others",0,22,== Discography == | === As sideman ===,22268024,1996-01-01,1996-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Live in Paris 1996 (Birdology/Dreyfus, 1999)With others",0,22,== Discography == | === As sideman ===,22268024,1999-01-01,1999-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,"Gene Russell, Talk to My Lady (Black Jazz, 1973)",0,23,== Discography == | === As sideman ===,22268024,1973-01-01,1973-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,"Billy Brooks, Windows of the Mind (Crossover, 1974)",0,24,== Discography == | === As sideman ===,22268024,1974-01-01,1974-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,"Doug Carn, Adam's Apple (Black Jazz, 1974)",0,25,== Discography == | === As sideman ===,22268024,1974-01-01,1974-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"Doug Carn, Higher Ground (Ovation, 1976)",0,26,== Discography == | === As sideman ===,22268024,1976-01-01,1976-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"Gene Russell, Listen Here (Ovation, 1976)",0,27,== Discography == | === As sideman ===,22268024,1976-01-01,1976-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"James Newton Howard, Dying Young (Arista, 1991)",0,28,== Discography == | === As sideman ===,22268024,1991-01-01,1991-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Azeem, Mayhem Mystics (Wide Hive, 2004)",0,29,== Discography == | === As sideman ===,22268024,2004-01-01,2004-12-31,ML
