time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
9 July 1990,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Samanta Karavella (Albanian: [saˈmanta kaɾaˈvɛɫa]; born 9 July 1990), also known mononymously as Samanta, is an Albanian singer and songwriter.",0,0,,39699478,1990-07-09,1990-07-09,ML
1990–2012,CD,YEAR_REGEX_1,TIME,time_reference,1990–2012:,1,2,== Life and career == | === 1990–2012: Early life and career beginnings ===,39699478,1990-01-01,2012-12-31,ML
9 July 1990,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Samanta Karavella was born on 9 July 1990 into an Albanian family in the city of Tirana, then part of the People's Republic of Albania, present Albania.",0,3,== Life and career == | === 1990–2012: Early life and career beginnings ===,39699478,1990-07-09,1990-07-09,ML
December 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In December 2011, Karavella attempted to represent Albania in the Eurovision Song Contest 2012, upon her participation in the 50th edition of Festivali i Këngës with the song ""Zgjomë një tjetër ëndërr"", in which she finished in fourth place.",4,3,== Life and career == | === 1990–2012: Early life and career beginnings ===,39699478,2011-12-01,2011-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In December 2011, Karavella attempted to represent Albania in the Eurovision Song Contest 2012, upon her participation in the 50th edition of Festivali i Këngës with the song ""Zgjomë një tjetër ëndërr"", in which she finished in fourth place.",4,3,== Life and career == | === 1990–2012: Early life and career beginnings ===,39699478,2012-01-01,2012-12-31,ML
2013–present,CD,YEAR_REGEX_1,TIME,time_reference,2013–present: Mama and continued success ===,1,4,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2013-01-01,,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2013, Karavella resulted as the winner of the 10th edition of Top Fest with the song ""Loti i fundit"".",0,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2013-01-01,2013-12-31,ML
July 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Starting with the release of ""Ti s'e din se"" in July 2014, it received a nomination at the 2015 Netët e Klipit Shqiptar gala in Ulcinj, Montenegro.",1,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2014-07-01,2014-07-31,ML
the 2015,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Starting with the release of ""Ti s'e din se"" in July 2014, it received a nomination at the 2015 Netët e Klipit Shqiptar gala in Ulcinj, Montenegro.",1,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2015-01-01,2015-12-31,ML
December 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In December 2017, she successfully returned to Kënga Magjike at its 19th edition with the song ""Humbur"".",2,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2017-12-01,2017-12-31,ML
January 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2019, she released ""Vonë"", a collaboration with Kosovo-Albanian musician Elinel, which incorporated R&B and hip hop elements in its sound.",4,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2019-01-01,2019-01-31,ML
of 2020,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the course of 2020, ""Pse"" and ""NKN"" featuring Kosovo-Albanian singer peaked at numbers 19 and 34 in her native country, respectively.",5,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2020-01-01,2020-12-31,ML
May 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Released in May 2021, Karavella's follow-up single ""Emnin tem"" reached number seven in Albania.",6,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2021-05-01,2021-05-31,ML
December 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Starting with the release of ""Mala"" in July, the single's official remix, ""Mala (naBBoo RMX)"", received airplay in the Commonwealth of Independent States (CIS) and was licensed by the Russian subsidiary of Warner Music in December 2021.",7,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2021-12-01,2021-12-31,ML
November 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Released as its lead single, ""Mama"" reached its peak at number 19 on the native top 100 chart in November 2021, and was followed by the album's second single, ""Jeta ime"", a month later.",9,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,2021-11-01,2021-11-30,ML
July,NNP,MONTH_REGEX,TIME,time_reference,"Starting with the release of ""Mala"" in July, the single's official remix, ""Mala (naBBoo RMX)"", received airplay in the Commonwealth of Independent States (CIS) and was licensed by the Russian subsidiary of Warner Music in December 2021.",7,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,,,ML
currently,RB,TIMELINE_REGEX,TIME,time_reference,"Karavella's debut studio album, Mama, is currently under development.",8,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,,,ML
a month,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Released as its lead single, ""Mama"" reached its peak at number 19 on the native top 100 chart in November 2021, and was followed by the album's second single, ""Jeta ime"", a month later.",9,5,== Life and career == | === 2013–present: Mama and continued success ===,39699478,,,ML
