time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
14 May 1981,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Sarbel Michael Maronitis (Greek: Σαρμπέλ Μιχαήλ Μαρωνίτης; Arabic: شربل; born 14 May 1981) known professionally as Sarbel, is a British-Cypriot pop singer.",0,0,,1906425,1981-05-14,1981-05-14,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Ηe represented Greece in the Eurovision Song Contest 2007 with ""Yassou Maria"".",2,0,,1906425,2007-01-01,2007-12-31,ML
2004–2005,CD,YEAR_REGEX_1,TIME,time_reference,=== 2004–2005: Parakseno sinesthima (Παράξενο Συναίσθημα),0,7,== Music career == | === 2004–2005: Parakseno sinesthima (Παράξενο Συναίσθημα) ===,1906425,2004-01-01,2005-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"In 2004 he recorded the Arabic hit ""Se Pira Sovara""  featuring Greek singer Irini Merkouri.",0,8,== Music career == | === 2004–2005: Parakseno sinesthima (Παράξενο Συναίσθημα) ===,1906425,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"In 2005, he released his first solo album, entitled Parakseno sinesthima (in Greek Παράξενο συναίσθημα).",3,8,== Music career == | === 2004–2005: Parakseno sinesthima (Παράξενο Συναίσθημα) ===,1906425,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,=== 2006:,0,9,== Music career == | === 2006: Sahara ===,1906425,2006-01-01,2006-12-31,ML
July 2006,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In July 2006, he released his second album, Sahara.",0,10,== Music career == | === 2006: Sahara ===,1906425,2006-07-01,2006-07-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,1,11,== Music career == | === 2007: Eurovision and Sahara: Euro Edition ===,1906425,2007-01-01,2007-12-31,ML
28 February 2007,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 28 February 2007, Sarbel performed the song live against the two singers for the ticket.",0,13,== Music career == | === 2007: Eurovision and Sahara: Euro Edition ===,1906425,2007-02-28,2007-02-28,ML
March 2007,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In an interview in March 2007, Sarbel made it clear that he doesn't want an international career by saying ""I don't care either being famous abroad or starting an international career.",0,14,== Music career == | === 2007: Eurovision and Sahara: Euro Edition ===,1906425,2007-03-01,2007-03-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,The song eventually placed 7th at the Eurovision Song Contest 2007.,2,15,== Music career == | === 2007: Eurovision and Sahara: Euro Edition ===,1906425,2007-01-01,2007-12-31,ML
12 March 2007,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 12 March 2007, Sahara was re-released as Sahara: Euro Edition and feature the ""Yassou Maria"" CD single as a bonus.",0,16,== Music career == | === 2007: Eurovision and Sahara: Euro Edition ===,1906425,2007-03-12,2007-03-12,ML
7 March 2007,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"The CD single for ""Yassou Maria"" was released on 7 March 2007.",1,16,== Music career == | === 2007: Eurovision and Sahara: Euro Edition ===,1906425,2007-03-07,2007-03-07,ML
