time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
the 1940s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Carroll also sang with other orchestras, including Charlie Barnet and Glenn Miller in the 1940s and Gordon Jenkins (for whom he recorded the hit ""Charmaine"" in 1951) in the 1950s.",2,4,== Singer ==,3877499,1940-01-01,1949-12-31,ML
1951,CD,YEAR_REGEX_1,TIME,time_reference,"Carroll also sang with other orchestras, including Charlie Barnet and Glenn Miller in the 1940s and Gordon Jenkins (for whom he recorded the hit ""Charmaine"" in 1951) in the 1950s.",2,4,== Singer ==,3877499,1951-01-01,1951-12-31,ML
the 1950s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Carroll also sang with other orchestras, including Charlie Barnet and Glenn Miller in the 1940s and Gordon Jenkins (for whom he recorded the hit ""Charmaine"" in 1951) in the 1950s.",2,4,== Singer ==,3877499,1950-01-01,1959-12-31,ML
1951,CD,YEAR_REGEX_1,TIME,time_reference,"He is heard on the soundtrack of The Prowler (1951) singing ""Baby"".",3,4,== Singer ==,3877499,1951-01-01,1951-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,"In 1957, his version of ""Butterfly"" on Bally Records made the charts peaking at No. 61 on the Billboard Hot 100.",4,4,== Singer ==,3877499,1957-01-01,1957-12-31,ML
the 1960s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the 1960s, he turned to acting and his stage career peaked in those years.",0,7,== Actor ==,3877499,1960-01-01,1969-12-31,ML
1966,CD,YEAR_REGEX_1,TIME,time_reference,"In the theater, he performed in various touring productions of Fiddler on the Roof, including in 1966 (playing Lazar) and 1968 (playing Tevye) as well as the 1989 pre-Broadway tour (playing Morcha).",2,8,== Actor ==,3877499,1966-01-01,1966-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,"In the theater, he performed in various touring productions of Fiddler on the Roof, including in 1966 (playing Lazar) and 1968 (playing Tevye) as well as the 1989 pre-Broadway tour (playing Morcha).",2,8,== Actor ==,3877499,1968-01-01,1968-12-31,ML
the 1989,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the theater, he performed in various touring productions of Fiddler on the Roof, including in 1966 (playing Lazar) and 1968 (playing Tevye) as well as the 1989 pre-Broadway tour (playing Morcha).",2,8,== Actor ==,3877499,1989-01-01,1989-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,He also played 1984 touring production of La Cage aux Folles (playing Dindon).,4,8,== Actor ==,3877499,1984-01-01,1984-12-31,ML
1950-1952,JJ,YEAR_REGEX_1,TIME,time_reference,"He performed on Songs for Sale (1950-1952): 992  and was a regular vocalist  on NBC's Judge for Yourself, starring Fred Allen, which aired in the 1953-1954 season.",1,8,== Actor ==,3877499,1950-01-01,1952-12-31,LLM
three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,Carroll's singing career was interrupted by three years' service in the U.S. Army during World War II.,0,4,== Singer ==,3877499,1942-01-01,1945-12-31,LLM
"June 8 , 1918 – November 12 , 1994","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Bob Carroll (June 8, 1918 – November 12, 1994) was an American big band singer and stage, film, and television actor.",0,0,,3877499,1918-06-08,1994-11-12,LLM
Early years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,Early years ==,1,1,== Early years ==,3877499,,,ML
those years,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"In the 1960s, he turned to acting and his stage career peaked in those years.",0,7,== Actor ==,3877499,,,ML
