time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"October 8 , 1976","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Tony Simon (born October 8, 1976), better known by his stage name Blockhead, is an American hip hop record producer and DJ from Manhattan, New York.",0,0,,2632246,1976-10-08,1976-10-08,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Music by Cavelight (2004),0,5,== Discography == | === Studio albums ===,2632246,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,Downtown Science (2005),0,6,== Discography == | === Studio albums ===,2632246,2005-01-01,2005-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Uncle Tony's Coloring Book (2007),0,7,== Discography == | === Studio albums ===,2632246,2007-01-01,2007-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,The Music Scene (2009),0,8,== Discography == | === Studio albums ===,2632246,2009-01-01,2009-12-31,ML
Midnight,NNP,DAY_TIME_REGEX,TIME,time_reference,Interludes After Midnight (2012),0,9,== Discography == | === Studio albums ===,2632246,,,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Interludes After Midnight (2012),0,9,== Discography == | === Studio albums ===,2632246,2012-01-01,2012-12-31,ML
the Sun,DT NNP,PREFIX_REGEX_1 WEEK_ABBR_REGEX,MODIFIER TIME,time_reference,Capture the Sun (2013) (with Illogic),0,10,== Discography == | === Studio albums ===,2632246,,,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,Capture the Sun (2013) (with Illogic),0,10,== Discography == | === Studio albums ===,2632246,2013-01-01,2013-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,Bells and Whistles (2014),0,11,== Discography == | === Studio albums ===,2632246,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,Justplaywitit (2014) (with Marq Spekt),0,12,== Discography == | === Studio albums ===,2632246,2014-01-01,2014-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Gone Long (2015) (with Joanna Erdos, Jeremy Gibson, Damien Paris, and Bay Li Mckeithan, as The Mighty Jones)",0,13,== Discography == | === Studio albums ===,2632246,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,Keep Playin' (2016) (with Marq Spekt),0,14,== Discography == | === Studio albums ===,2632246,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,Funeral Balloons (2017),0,15,== Discography == | === Studio albums ===,2632246,2017-01-01,2017-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,The Art of the Sample (2017),0,16,== Discography == | === Studio albums ===,2632246,2017-01-01,2017-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,Free Sweatpants (2019),0,17,== Discography == | === Studio albums ===,2632246,2019-01-01,2019-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,Bubble Bath (2019),0,18,== Discography == | === Studio albums ===,2632246,2019-01-01,2019-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,Space Werewolves Will Be the End of Us All (2021),0,19,== Discography == | === Studio albums ===,2632246,2021-01-01,2021-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,Garbology (2021) (with Aesop Rock),0,20,== Discography == | === Studio albums ===,2632246,2021-01-01,2021-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,Broke Beats (2001),0,22,== Discography == | === Compilation albums ===,2632246,2001-01-01,2001-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,The Block Is Hot (2004),0,23,== Discography == | === Compilation albums ===,2632246,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,Block in the Box (2005),0,24,== Discography == | === Compilation albums ===,2632246,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,The Block Is Hot Pt. 2 (2005),0,25,== Discography == | === Compilation albums ===,2632246,2005-01-01,2005-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Peanuts in Your Mouth (2007),0,26,== Discography == | === Compilation albums ===,2632246,2007-01-01,2007-12-31,ML
