time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1928,CD,YEAR_REGEX_1,TIME,time_reference,8,2,1928-01-01,1928-12-31,ML
1928 and 1935,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,1,3,1928-01-01,1935-12-31,ML
1928,CD,YEAR_REGEX_1,TIME,time_reference,2,3,1928-01-01,1928-12-31,ML
1934,CD,YEAR_REGEX_1,TIME,time_reference,2,3,1934-01-01,1934-12-31,ML
1931,CD,YEAR_REGEX_1,TIME,time_reference,5,3,1931-01-01,1931-12-31,ML
February 1935,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,6,3,1935-02-01,1935-02-28,ML
June 1958,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,13,3,1958-06-01,1958-06-30,ML
1967,CD,YEAR_REGEX_1,TIME,time_reference,13,3,1967-01-01,1967-12-31,ML
1961,CD,YEAR_REGEX_1,TIME,time_reference,0,4,1961-01-01,1961-12-31,ML
October 1962,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,10,4,1962-10-01,1962-10-31,ML
the late 1950s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,12,3,1957-01-01,1959-12-31,LLM
"February 21 , 1903 – October 7 , 1962","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0,1903-02-21,1962-10-07,LLM
of that year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,8,2,,,ML
Sunrise,NN,DAY_TIME_REGEX,TIME,time_reference,2,3,,,ML
A 1931,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,4,3,,,ML
Two months,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,8,3,,,ML
of seven years,IN CD NNS,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,9,3,,,ML
three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,1,4,,,ML
