time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
30 April 1944,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Lydia was born in Saratov, Russia, on 30 April 1944.",1,0,,34121366,1944-04-30,1944-04-30,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,"In 1960, she moved to Odessa, where she studied at the Stolyarsky School of Music until 1962.",3,0,,34121366,1960-01-01,1960-12-31,ML
1962,CD,YEAR_REGEX_1,TIME,time_reference,"In 1960, she moved to Odessa, where she studied at the Stolyarsky School of Music until 1962.",3,0,,34121366,1962-01-01,1962-12-31,ML
1968 to 1970,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"She then moved to Moscow where she studied at the Tchaikovsky Conservatory under David Oistrakh, later serving as his assistant from 1968 to 1970.",4,0,,34121366,1968-01-01,1970-12-31,ML
1967,CD,YEAR_REGEX_1,TIME,time_reference,"During this period, she married and had a daughter, and won the National Young Musicians Competition in Kiev in 1967 and the Marguerite Long-Jacques Thibaud Competition in Paris in 1969.",5,0,,34121366,1967-01-01,1967-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,"During this period, she married and had a daughter, and won the National Young Musicians Competition in Kiev in 1967 and the Marguerite Long-Jacques Thibaud Competition in Paris in 1969.",5,0,,34121366,1969-01-01,1969-12-31,ML
1970–73,CD,YEAR_REGEX_1,TIME,time_reference,"In 1970–73, she studied at the Institute of Arts.",6,0,,34121366,1970-01-01,1973-12-31,ML
1974–79,CD,YEAR_REGEX_1,TIME,time_reference,"She taught at the Israeli Academy of Music in Jerusalem in 1974–79, when she made her first appearance in the UK with the Hallé Orchestra.",7,0,,34121366,1974-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,She settled permanently in the UK in 1980.,8,0,,34121366,1980-01-01,1980-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,Her United States debut was in 1982 with Georg Solti and the Chicago Symphony Orchestra.,10,0,,34121366,1982-01-01,1982-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,Her Chandos recording of the violin concertos of Shostakovich won a Gramophone Award in 1990.,14,0,,34121366,1990-01-01,1990-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,Mordkovitch became a professor at the Royal Academy of Music in London in 1995 as a specialist in Russian music.,16,0,,34121366,1995-01-01,1995-12-31,ML
9 December 2014,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Mordkovitch died of cancer in London on 9 December 2014, aged 70.",0,2,== Death ==,34121366,2014-12-09,2014-12-09,ML
1944–2014,CD,YEAR_REGEX_1,TIME,time_reference,"Jo Cole, ""Lydia Mordkovitch, 1944–2014"", ram.ac.uk, 10 December 2014]",0,6,== External links ==,34121366,1944-01-01,2014-12-31,ML
10 December 2014,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Jo Cole, ""Lydia Mordkovitch, 1944–2014"", ram.ac.uk, 10 December 2014]",0,6,== External links ==,34121366,2014-12-10,2014-12-10,ML
30 April 1944 – 9 December 2014,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,Lydia Mordkovitch (née Shtimerman; 30 April 1944 – 9 December 2014) was a Russian violinist.,0,0,,34121366,1944-04-30,2014-12-09,LLM
