time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"September 27 , 1964","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Matthew Edward Wilson (born September 27, 1964) is an American jazz drummer.",0,0,,43215665,1964-09-27,1964-09-27,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"He moved to New York City in 1992, and has worked with Lee Konitz, Cecil McBee, and Dewey Redman.",2,2,== Career ==,43215665,1992-01-01,1992-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"As Wave Follows Wave (Palmetto, 1996)",0,5,== Discography == | === As leader ===,43215665,1996-01-01,1996-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Going Once, Going Twice (Palmetto, 1998)",0,6,== Discography == | === As leader ===,43215665,1998-01-01,1998-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Smile (Palmetto, 1999)",0,7,== Discography == | === As leader ===,43215665,1999-01-01,1999-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Arts and Crafts (Palmetto, 2001)",0,8,== Discography == | === As leader ===,43215665,2001-01-01,2001-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Humidity (Palmetto, 2003)",0,9,== Discography == | === As leader ===,43215665,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"(Palmetto, 2005)",1,10,== Discography == | === As leader ===,43215665,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"The Scenic Route (Palmetto, 2006)",0,11,== Discography == | === As leader ===,43215665,2006-01-01,2006-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"That's Gonna Leave a Mark (Palmetto, 2009)",0,12,== Discography == | === As leader ===,43215665,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"An Attitude for Gratitude (Palmetto, 2011)",0,13,== Discography == | === As leader ===,43215665,2011-01-01,2011-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Gathering Call (Palmetto, 2013)",0,14,== Discography == | === As leader ===,43215665,2013-01-01,2013-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Honey and Salt (Palmetto, 2017)",0,15,== Discography == | === As leader ===,43215665,2017-01-01,2017-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"Hug! (Palmetto, 2020)",0,16,== Discography == | === As leader ===,43215665,2020-01-01,2020-12-31,ML
Now,RB,TIMELINE_REGEX,TIME,time_reference,"I Can See Clearly Now (Sharp Nine, 2000)",0,19,== Discography == | === As sideman ===,43215665,,,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"I Can See Clearly Now (Sharp Nine, 2000)",0,19,== Discography == | === As sideman ===,43215665,2000-01-01,2000-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"We Won't Forget You (HighNote, 2014)",0,20,== Discography == | === As sideman ===,43215665,2014-01-01,2014-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"United (HighNote, 2016)With Either/Orchestra",0,21,== Discography == | === As sideman ===,43215665,2016-01-01,2016-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"The Calculus of Pleasure (Accurate, 1992)",0,22,== Discography == | === As sideman ===,43215665,1992-01-01,1992-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"The Brunt (Accurate, 1994)",0,23,== Discography == | === As sideman ===,43215665,1994-01-01,1994-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Across the Omniverse (Accurate, 1996)With Fred Hess",0,24,== Discography == | === As sideman ===,43215665,1996-01-01,1996-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"The Long and Short of It (Tapestry, 2004)",0,25,== Discography == | === As sideman ===,43215665,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Crossed Paths (Tapestry, 2005)",0,26,== Discography == | === As sideman ===,43215665,2005-01-01,2005-12-31,ML
Now,RB,TIMELINE_REGEX,TIME,time_reference,"How 'Bout Now (Tapestry, 2006)",0,27,== Discography == | === As sideman ===,43215665,,,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"How 'Bout Now (Tapestry, 2006)",0,27,== Discography == | === As sideman ===,43215665,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"In the Grotto (Alison, 2007)",0,28,== Discography == | === As sideman ===,43215665,2007-01-01,2007-12-31,ML
Moment,NNP,TIMELINE_REGEX,TIME,time_reference,"Single Moment (Alison, 2008)",0,29,== Discography == | === As sideman ===,43215665,,,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Single Moment (Alison, 2008)",0,29,== Discography == | === As sideman ===,43215665,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Hold On (Dazzle 2009)With Bill Mays,0,30,== Discography == | === As sideman ===,43215665,2009-01-01,2009-12-31,ML
Mays,NNP,MONTH_REGEX,TIME,time_reference,Hold On (Dazzle 2009)With Bill Mays,0,30,== Discography == | === As sideman ===,43215665,,,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Out in PA (No Blooze Music, 1999)",0,31,== Discography == | === As sideman ===,43215665,1999-01-01,1999-12-31,ML
Summer,NN,SEASON_REGEX,TIME,time_reference,"Summer Sketches (Palmetto, 2001)",0,32,== Discography == | === As sideman ===,43215665,,,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Summer Sketches (Palmetto, 2001)",0,32,== Discography == | === As sideman ===,43215665,2001-01-01,2001-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Going Home (Palmetto, 2003)",0,33,== Discography == | === As sideman ===,43215665,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Live at Jazz Standard (Palmetto, 2005)",0,34,== Discography == | === As sideman ===,43215665,2005-01-01,2005-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Live at COTA (No Blooze Music, 2019)With",0,35,== Discography == | === As sideman ===,43215665,2019-01-01,2019-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Sidewalk Meeting (Arabesque, 2001)",0,36,== Discography == | === As sideman ===,43215665,2001-01-01,2001-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"La Espada De La Noche (Palmetto, 2005)",0,37,== Discography == | === As sideman ===,43215665,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"In the Loop (Palmetto, 2006)",0,38,== Discography == | === As sideman ===,43215665,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"The Mancini Project (Palmetto, 2008)",0,39,== Discography == | === As sideman ===,43215665,2008-01-01,2008-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Live at Dizzy's Club Coca-Cola (Plastic Sax, 2018)With Mario Pavone",0,40,== Discography == | === As sideman ===,43215665,2018-01-01,2018-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Remembering Thomas (Knitting Factory, 1999)",0,41,== Discography == | === As sideman ===,43215665,1999-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Totem Blues (Knitting Factory, 2000)",0,42,== Discography == | === As sideman ===,43215665,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Mythos (Playscape, 2002)",0,43,== Discography == | === As sideman ===,43215665,2002-01-01,2002-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Boom (Playscape, 2004)",0,44,== Discography == | === As sideman ===,43215665,2004-01-01,2004-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Trio Arc (Playscape, 2008)With",0,45,== Discography == | === As sideman ===,43215665,2008-01-01,2008-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Slick Rock (Maxjazz, 2004)",0,46,== Discography == | === As sideman ===,43215665,2004-01-01,2004-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In Concert (Sunnyside, 2009)",0,47,== Discography == | === As sideman ===,43215665,2009-01-01,2009-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Stairway to the Stars (Sunnyside, 2014)",0,48,== Discography == | === As sideman ===,43215665,2014-01-01,2014-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Wishing On the Moon (Sunnyside, 2018)",0,49,== Discography == | === As sideman ===,43215665,2018-01-01,2018-12-31,ML
