time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
21 June 1997,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Olivia Rebecca Devine (born 21 June 1997), known professionally as L Devine, is an English singer and songwriter.",0,0,,58484732,1997-06-21,1997-06-21,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"After signing with Warner Bros. Records, she released her debut EP Growing Pains (2017).",1,0,,58484732,2017-01-01,2017-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"This was followed by the release of two further EPs, Peer Pressure (2018) and Near Life Experience: Part 1 (2021).",2,0,,58484732,2018-01-01,2018-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,"This was followed by the release of two further EPs, Peer Pressure (2018) and Near Life Experience: Part 1 (2021).",2,0,,58484732,2021-01-01,2021-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Devine attended Newcastle High School for Girls, an independent day school, completing A' Levels in 2015.",1,2,== Early life ==,58484732,2015-01-01,2015-12-31,ML
July 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Devine released her debut single ""School Girls"" in July 2017.",0,4,== Career ==,58484732,2017-07-01,2017-07-31,ML
November 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In November 2017, Devine released her debut five-track EP Growing Pains, which was accompanied by a ten-minute visual that was directed by Emil Nava, who had previously collaborated with Rihanna and Selena Gomez.",4,4,== Career ==,58484732,2017-11-01,2017-11-30,ML
16 November 2018,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Devine's second EP, Peer Pressure, was released on 16 November 2018 along with a short film, also directed by Emil Nava.",6,4,== Career ==,58484732,2018-11-16,2018-11-16,ML
the 1988,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"""Peer Pressure"", the lead single, opens with a line from the 1988 film Heathers, and Devine spoke about her love of the coming-of-age film in an interview with The Line of Best Fit.",7,4,== Career ==,58484732,1988-01-01,1988-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"The same month the EP was released, YouTube Music announced Devine had been chosen to be on their Ones to Watch list for 2019 and BBC Radio 1 added L Devine's track ""Nervous"" to their BBC Introducing playlist.",10,4,== Career ==,58484732,2019-01-01,2019-12-31,ML
May 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In May 2019, Devine performed at The Great Escape Festival.",12,4,== Career ==,58484732,2019-05-01,2019-05-31,ML
17 May 2019,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 17 May 2019, she released the single ""Naked Alone"".",13,4,== Career ==,58484732,2019-05-17,2019-05-17,ML
July 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In July 2019, two songs co-written by Devine were released; ""Mean That Much"" by Rudimental, and ""Next Mistake"" by Icona Pop.",17,4,== Career ==,58484732,2019-07-01,2019-07-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"In 2020, Devine has released two singles: ""Boring People"" and ""Don't Say It"".",18,4,== Career ==,58484732,2020-01-01,2020-12-31,ML
30 July 2021,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"The songs were followed by the release of her third EP, Near Life Experience: Part 1, released on 30 July 2021.",19,4,== Career ==,58484732,2021-07-30,2021-07-30,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"In 2018, in an interview with The Line of Best Fit, Devine stated that she is a lesbian, commenting that ""it's kind of nice now that there can be like a lesbian artist who just happens to be a pop star, or a pop star who happens to be queer"".",0,6,== Personal life ==,58484732,2018-01-01,2018-12-31,ML
nearly two years ago,RB CD NNS RB,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,MODIFIER NUMERAL TIME MODIFIER,time_reference,"In an interview, she said ""I actually wrote the song nearly two years ago.",14,4,== Career ==,58484732,2019-07-01,2019-07-01,LLM
day,NN,TIME_UNIT_REGEX,TIME,time_reference,"Devine attended Newcastle High School for Girls, an independent day school, completing A' Levels in 2015.",1,2,== Early life ==,58484732,,,ML
seven years old,CD NNS JJ,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,"Inspired by The Clash and The Sex Pistols, she formed her first band, The Safety Pinz, when she was seven years old.",2,2,== Early life ==,58484732,,,ML
previously,RB,TIMELINE_REGEX,TIME,time_reference,"In November 2017, Devine released her debut five-track EP Growing Pains, which was accompanied by a ten-minute visual that was directed by Emil Nava, who had previously collaborated with Rihanna and Selena Gomez.",4,4,== Career ==,58484732,,,ML
month,NN,TIME_UNIT_REGEX,TIME,time_reference,"The same month the EP was released, YouTube Music announced Devine had been chosen to be on their Ones to Watch list for 2019 and BBC Radio 1 added L Devine's track ""Nervous"" to their BBC Introducing playlist.",10,4,== Career ==,58484732,,,ML
the next few months,DT JJ JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER MODIFIER TIME,time_reference,"That's not usually the case, usually I just write them and then they come out over the next few months, but",15,4,== Career ==,58484732,,,ML
now,RB,TIMELINE_REGEX,TIME,time_reference,"In 2018, in an interview with The Line of Best Fit, Devine stated that she is a lesbian, commenting that ""it's kind of nice now that there can be like a lesbian artist who just happens to be a pop star, or a pop star who happens to be queer"".",0,6,== Personal life ==,58484732,,,ML
