time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"July 3 , 1998","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kim Dong-han (Korean: 김동한; born July 3, 1998), also known mononymously as Donghan, is a South Korean singer, songwriter and actor.",0,0,,54484234,1998-07-03,1998-07-03,ML
June 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Kim made his solo debut with the release of his EP D-Day in June 2018.,2,0,,54484234,2018-06-01,2018-06-30,ML
"July 3 , 1998","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kim was born on July 3, 1998, and was raised in Daegu, South Korea.",0,2,== Early life ==,54484234,1998-07-03,1998-07-03,ML
2017–2018,CD,YEAR_REGEX_1,TIME,time_reference,2017–2018: Produce 101 and JBJ =,1,4,== Career == | === 2017–2018: Produce 101 and JBJ ===,54484234,2017-01-01,2018-12-31,ML
October 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"On the day of the Produce 101 finale, viewers of the show voted for eliminated contestants who they'd like to see in a project group, similar to Produce 101's I.B.I. JBJ debuted in October 2017 with the release of their first extended play Fantasy.",2,5,== Career == | === 2017–2018: Produce 101 and JBJ ===,54484234,2017-10-01,2017-10-31,ML
2018–2019,CD,YEAR_REGEX_1,TIME,time_reference,2018–2019: Solo debut with D-Day and solo activities =,1,6,== Career == | === 2018–2019: Solo debut with D-Day and solo activities ===,54484234,2018-01-01,2019-12-31,ML
"June 19 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kim made his debut as a solo artist on June 19, 2018, with the release of his first EP D-Day, and its lead single ""Sunset"".",0,7,== Career == | === 2018–2019: Solo debut with D-Day and solo activities ===,54484234,2018-06-19,2018-06-19,ML
"June 26 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"A week after debuted, on June 26, 2018, he scored his first music show win on SBS MTV's The Show.",2,7,== Career == | === 2018–2019: Solo debut with D-Day and solo activities ===,54484234,2018-06-26,2018-06-26,ML
"October 17 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kim's second EP, titled D-Night, was released on October 17, 2018, with the lead single ""Good Night Kiss"".",3,7,== Career == | === 2018–2019: Solo debut with D-Day and solo activities ===,54484234,2018-10-17,2018-10-17,ML
"May 1 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"A year later, on May 1, 2019, Kim released his third EP D-Hours AM 7:03, with the lead single ""Focus"".",4,7,== Career == | === 2018–2019: Solo debut with D-Day and solo activities ===,54484234,2019-05-01,2019-05-01,ML
