time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"January 23 , 1978","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Josh Thompson (born January 23, 1978) is an American country music artist.",0,0,,23876975,1978-01-23,1978-01-23,ML
2009–2012,CD,YEAR_REGEX_1,TIME,time_reference,2009–2012:,1,4,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2009-01-01,2012-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Thompson moved to Nashville, Tennessee in 2005.",0,5,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2005-01-01,2005-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"By 2009, Thompson had signed to Columbia Records' Nashville division.",2,5,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2009-01-01,2009-12-31,ML
late 2009,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"He released his debut single ""Beer on the Table"" in late 2009, and it debuted at No. 55 on the Billboard Hot Country Songs charts dated for the week ending August 15, 2009.",3,5,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2009-01-01,2009-12-31,ML
the week,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"He released his debut single ""Beer on the Table"" in late 2009, and it debuted at No. 55 on the Billboard Hot Country Songs charts dated for the week ending August 15, 2009.",3,5,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,,,ML
"August 15 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"He released his debut single ""Beer on the Table"" in late 2009, and it debuted at No. 55 on the Billboard Hot Country Songs charts dated for the week ending August 15, 2009.",3,5,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2009-08-15,2009-08-15,ML
February 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Way Out Here, his debut album, was released in February 2010 under the production of Michael Knox.",0,6,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2010-02-01,2010-02-28,ML
March 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The album's second single, its title track, was released to radio in March 2010.",3,6,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2010-03-01,2010-03-31,ML
February 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Starting in February 2010, Thompson began touring with Eric Church on a 32-stop tour and was tapped for portions of Brad Paisley's 2010 H2O Tour.",5,6,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2010-02-01,2010-02-28,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Starting in February 2010, Thompson began touring with Eric Church on a 32-stop tour and was tapped for portions of Brad Paisley's 2010 H2O Tour.",5,6,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2010-01-01,2010-12-31,ML
"November 22 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The album's third single ""Won't Be Lonely Long"" released to country radio on November 22, 2010.",6,6,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2010-11-22,2010-11-22,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Thompson also co-wrote ""Church Pew or Bar Stool"", a song recorded by Jason Aldean on his 2010 album My Kinda Party.",7,6,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2010-01-01,2010-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011 he co-wrote a song on Brad Paisley's album This Is Country Music the song is entitled ""A Man Don't Have to Die"".",8,6,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2011-01-01,2011-12-31,ML
August 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In August 2011, Thompson and labelmate Miranda Lambert transferred to RCA Nashville as part of a corporate restructuring.",0,7,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2011-08-01,2011-08-31,ML
late 2011,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"He released his first RCA Records single, ""Comin' Around"", in late 2011.",1,7,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2011-01-01,2011-12-31,ML
July 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"However, Thompson parted ways with RCA Nashville in July 2012.",2,7,== Musical career == | === 2009–2012: Way Out Here and Change ===,23876975,2012-07-01,2012-07-31,ML
2013–present,CD,YEAR_REGEX_1,TIME,time_reference,2013–present: Turn It Up ===,1,8,== Musical career == | === 2013–present: Turn It Up ===,23876975,2013-01-01,,ML
September 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,In September 2012 it was announced that Thompson had signed a recording contract with Show Dog-Universal Music and will release new music sometime in 2013.,0,9,== Musical career == | === 2013–present: Turn It Up ===,23876975,2012-09-01,2012-09-30,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,In September 2012 it was announced that Thompson had signed a recording contract with Show Dog-Universal Music and will release new music sometime in 2013.,0,9,== Musical career == | === 2013–present: Turn It Up ===,23876975,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Also in 2013, he co-wrote James Wesley's single ""Thank a Farmer"" with Dustin Lynch and Steve Bogard.",1,9,== Musical career == | === 2013–present: Turn It Up ===,23876975,2013-01-01,2013-12-31,ML
late 2013,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"His first Show Dog single, ""Cold Beer with Your Name on It"", entered the charts in late 2013 and reached Top 30 on Country Airplay.",2,9,== Musical career == | === 2013–present: Turn It Up ===,23876975,2013-01-01,2013-12-31,ML
"April 28 , 2014","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The album's second single ""Wanted Me Gone"" was released on April 28, 2014.",4,9,== Musical career == | === 2013–present: Turn It Up ===,23876975,2014-04-28,2014-04-28,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,Thompson parted ways with Show Dog in 2015.,5,9,== Musical career == | === 2013–present: Turn It Up ===,23876975,2015-01-01,2015-12-31,ML
August 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Thompson announced in August 2015 that he would be releasing his unreleased second album for RCA as a pair of extended plays.,0,10,== Musical career == | === 2013–present: Turn It Up ===,23876975,2015-08-01,2015-08-31,ML
October,NNP,MONTH_REGEX,TIME,time_reference,"The first of the two, Change: The Lost Record, Vol. 1, was released in October.",1,10,== Musical career == | === 2013–present: Turn It Up ===,23876975,,,ML
