token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Jean,0.0,0.0,PERSON,0.0,
Sibelius,1.0,5.0,PERSON,0.0,
(,2.0,14.0,,0.0,
sib,3.0,16.0,,0.0,
-,4.0,19.0,,0.0,
AY,5.0,20.0,,0.0,
-,6.0,22.0,,0.0,
lee,7.0,23.0,,0.0,
-,8.0,26.0,,0.0,
əs,9.0,27.0,,0.0,
;,10.0,29.0,,0.0,
Finland,11.0,31.0,GPE,0.0,
Swedish,12.0,39.0,NORP,0.0,
:,13.0,46.0,,0.0,
[,14.0,48.0,,0.0,
ˈjɑːn,15.0,49.0,,0.0,
siˈbeːliʉs,16.0,55.0,,0.0,
",",17.0,65.0,,0.0,
ˈʃɑːn,18.0,67.0,,0.0,
-,19.0,73.0,,0.0,
],20.0,74.0,,0.0,
(,21.0,76.0,,0.0,
listen,22.0,77.0,,0.0,
),23.0,83.0,,0.0,
;,24.0,84.0,,0.0,
born,25.0,86.0,,0.0,
Johan,26.0,91.0,PERSON,0.0,
Julius,27.0,97.0,PERSON,0.0,
Christian,28.0,104.0,PERSON,0.0,
Sibelius,29.0,114.0,PERSON,0.0,Sibelius
",",30.0,122.0,,0.0,
8,31.0,124.0,DATE,0.0,
December,32.0,126.0,DATE,0.0,
1865,33.0,135.0,DATE,0.0,
–,34.0,140.0,DATE,0.0,
20,35.0,142.0,DATE,0.0,
September,36.0,145.0,DATE,0.0,
1957,37.0,155.0,DATE,0.0,
),38.0,159.0,,0.0,
was,39.0,161.0,,0.0,
a,40.0,165.0,,0.0,
Finnish,41.0,167.0,NORP,0.0,
composer,42.0,175.0,,0.0,
of,43.0,184.0,,0.0,
the,44.0,187.0,,0.0,
late,45.0,191.0,,0.0,
Romantic,46.0,196.0,,0.0,
and,47.0,205.0,,0.0,
early,48.0,209.0,,0.0,
-,49.0,214.0,,0.0,
modern,50.0,215.0,,0.0,
periods,51.0,222.0,,0.0,
.,52.0,229.0,,0.0,
He,53.0,0.0,,1.0,Sibelius
is,54.0,3.0,,1.0,
widely,55.0,6.0,,1.0,
recognized,56.0,13.0,,1.0,
as,57.0,24.0,,1.0,
his,58.0,27.0,,1.0,Sibelius
country,59.0,31.0,,1.0,
's,60.0,38.0,,1.0,
greatest,61.0,41.0,,1.0,
composer,62.0,50.0,,1.0,
",",63.0,58.0,,1.0,
and,64.0,60.0,,1.0,
his,65.0,64.0,,1.0,Sibelius
music,66.0,68.0,,1.0,music
is,67.0,74.0,,1.0,
often,68.0,77.0,,1.0,
credited,69.0,83.0,,1.0,
with,70.0,92.0,,1.0,
having,71.0,97.0,,1.0,
helped,72.0,104.0,,1.0,
Finland,73.0,111.0,GPE,1.0,
develop,74.0,119.0,,1.0,
a,75.0,127.0,,1.0,
national,76.0,129.0,,1.0,
identity,77.0,138.0,,1.0,
during,78.0,147.0,,1.0,
its,79.0,154.0,,1.0,music
struggle,80.0,158.0,,1.0,
for,81.0,167.0,,1.0,
independence,82.0,171.0,,1.0,
from,83.0,184.0,,1.0,
Russia,84.0,189.0,GPE,1.0,
.,85.0,195.0,,1.0,
Jean,0.0,0.0,PERSON,0.0,
Sibelius,1.0,5.0,PERSON,0.0,
(,2.0,14.0,,0.0,
sib,3.0,16.0,,0.0,
-,4.0,19.0,,0.0,
AY,5.0,20.0,,0.0,
-,6.0,22.0,,0.0,
lee,7.0,23.0,,0.0,
-,8.0,26.0,,0.0,
əs,9.0,27.0,,0.0,
;,10.0,29.0,,0.0,
Finland,11.0,31.0,GPE,0.0,
Swedish,12.0,39.0,NORP,0.0,
:,13.0,46.0,,0.0,
[,14.0,48.0,,0.0,
ˈjɑːn,15.0,49.0,,0.0,
siˈbeːliʉs,16.0,55.0,,0.0,
",",17.0,65.0,,0.0,
ˈʃɑːn,18.0,67.0,,0.0,
-,19.0,73.0,,0.0,
],20.0,74.0,,0.0,
(,21.0,76.0,,0.0,
listen,22.0,77.0,,0.0,
),23.0,83.0,,0.0,
;,24.0,84.0,,0.0,
born,25.0,86.0,,0.0,
Johan,26.0,91.0,PERSON,0.0,
Julius,27.0,97.0,PERSON,0.0,
Christian,28.0,104.0,PERSON,0.0,
Sibelius,29.0,114.0,PERSON,0.0,Sibelius
",",30.0,122.0,,0.0,
8,31.0,124.0,DATE,0.0,
December,32.0,126.0,DATE,0.0,
1865,33.0,135.0,DATE,0.0,
–,34.0,140.0,DATE,0.0,
20,35.0,142.0,DATE,0.0,
September,36.0,145.0,DATE,0.0,
1957,37.0,155.0,DATE,0.0,
),38.0,159.0,,0.0,
was,39.0,161.0,,0.0,
a,40.0,165.0,,0.0,
Finnish,41.0,167.0,NORP,0.0,
composer,42.0,175.0,,0.0,
of,43.0,184.0,,0.0,
