token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Fritz,0,0,PERSON,0,
Kreisler,1,6,PERSON,0,
(,2,15,,0,
February,3,16,DATE,0,
2,4,25,DATE,0,
",",5,26,DATE,0,
1875,6,28,DATE,0,
–,7,33,DATE,0,
January,8,35,DATE,0,
29,9,43,DATE,0,
",",10,45,DATE,0,
1962,11,47,DATE,0,
),12,51,,0,
was,13,53,,0,
an,14,57,,0,
Austrian,15,60,NORP,0,
-,16,68,,0,
born,17,69,,0,
American,18,74,NORP,0,
violinist,19,83,,0,violinist
and,20,93,,0,
composer,21,97,,0,
.,22,105,,0,
One,23,0,CARDINAL,1,
of,24,4,,1,
the,25,7,,1,
most,26,11,,1,
noted,27,16,,1,
violin,28,22,,1,
masters,29,29,,1,
of,30,37,,1,
his,31,40,DATE,1,violinist
day,32,44,DATE,1,
",",33,47,,1,
and,34,49,,1,
regarded,35,53,,1,
as,36,62,,1,
one,37,65,,1,
of,38,69,,1,
the,39,72,,1,
greatest,40,76,,1,
violinists,41,85,,1,
of,42,96,,1,
all,43,99,,1,
time,44,103,,1,
",",45,107,,1,
he,46,109,,1,violinist
was,47,112,,1,
known,48,116,,1,
for,49,122,,1,
his,50,126,,1,violinist
sweet,51,130,,1,
tone,52,136,,1,
and,53,141,,1,
expressive,54,145,,1,
phrasing,55,156,,1,
.,56,164,,1,
Like,57,0,,2,
many,58,5,,2,
great,59,10,,2,
violinists,60,16,,2,
of,61,27,,2,
his,62,30,,2,violinist
generation,63,34,,2,
",",64,44,,2,
he,65,46,,2,violinist
produced,66,49,,2,
a,67,58,,2,
characteristic,68,60,,2,
sound,69,75,,2,
which,70,81,,2,
was,71,87,,2,
immediately,72,91,,2,
recognizable,73,103,,2,
as,74,116,,2,
his,75,119,,2,violinist
own,76,123,,2,
.,77,126,,2,
Although,78,0,,3,
it,79,9,,3,style
derived,80,12,,3,
in,81,20,,3,
many,82,23,,3,
respects,83,28,,3,
from,84,37,,3,
the,85,42,,3,
Franco,86,46,NORP,3,
-,87,52,NORP,3,
Belgian,88,53,NORP,3,
school,89,61,,3,
",",90,67,,3,
his,91,69,,3,violinist
style,92,73,,3,style
is,93,79,,3,
nonetheless,94,82,,3,
reminiscent,95,94,,3,
of,96,106,,3,
the,97,109,,3,
gemütlich,98,113,,3,
(,99,123,,3,
cozy,100,124,,3,
),101,128,,3,
lifestyle,102,130,,3,
of,103,140,,3,
pre,104,143,,3,
-,105,146,,3,
war,106,147,,3,
Vienna,107,151,GPE,3,
.,108,157,,3,
Fritz,0,0,PERSON,0,
Kreisler,1,6,PERSON,0,
(,2,15,,0,
February,3,16,DATE,0,
2,4,25,DATE,0,
",",5,26,DATE,0,
1875,6,28,DATE,0,
–,7,33,DATE,0,
January,8,35,DATE,0,
29,9,43,DATE,0,
",",10,45,DATE,0,
1962,11,47,DATE,0,
),12,51,,0,
was,13,53,,0,
an,14,57,,0,
Austrian,15,60,NORP,0,
-,16,68,,0,
born,17,69,,0,
American,18,74,NORP,0,
violinist,19,83,,0,violinist
and,20,93,,0,
composer,21,97,,0,
.,22,105,,0,
One,23,0,CARDINAL,1,
of,24,4,,1,
the,25,7,,1,
most,26,11,,1,
noted,27,16,,1,
violin,28,22,,1,
masters,29,29,,1,
of,30,37,,1,
his,31,40,DATE,1,violinist
day,32,44,DATE,1,
",",33,47,,1,
and,34,49,,1,
regarded,35,53,,1,
as,36,62,,1,
one,37,65,,1,
of,38,69,,1,
the,39,72,,1,
greatest,40,76,,1,
violinists,41,85,,1,
of,42,96,,1,
all,43,99,,1,
time,44,103,,1,
",",45,107,,1,
he,46,109,,1,violinist
was,47,112,,1,
known,48,116,,1,
for,49,122,,1,
his,50,126,,1,violinist
sweet,51,130,,1,
tone,52,136,,1,
and,53,141,,1,
expressive,54,145,,1,
phrasing,55,156,,1,
.,56,164,,1,
Like,57,0,,2,
many,58,5,,2,
great,59,10,,2,
violinists,60,16,,2,
of,61,27,,2,
his,62,30,,2,violinist
generation,63,34,,2,
",",64,44,,2,
he,65,46,,2,violinist
produced,66,49,,2,
a,67,58,,2,
characteristic,68,60,,2,
sound,69,75,,2,
which,70,81,,2,
was,71,87,,2,
immediately,72,91,,2,
recognizable,73,103,,2,
as,74,116,,2,
his,75,119,,2,violinist
own,76,123,,2,
.,77,126,,2,
Although,78,0,,3,
it,79,9,,3,style
derived,80,12,,3,
in,81,20,,3,
many,82,23,,3,
respects,83,28,,3,
from,84,37,,3,
the,85,42,,3,
Franco,86,46,NORP,3,
-,87,52,NORP,3,
Belgian,88,53,NORP,3,
school,89,61,,3,
",",90,67,,3,
his,91,69,,3,violinist
style,92,73,,3,style
is,93,79,,3,
nonetheless,94,82,,3,
reminiscent,95,94,,3,
of,96,106,,3,
the,97,109,,3,
gemütlich,98,113,,3,
(,99,123,,3,
cozy,100,124,,3,
),101,128,,3,
lifestyle,102,130,,3,
of,103,140,,3,
pre,104,143,,3,
-,105,146,,3,
war,106,147,,3,
Vienna,107,151,GPE,3,
.,108,157,,3,
=,0,0,,0,
=,1,1,,0,
Biography,2,0,,1,
=,3,10,,1,
=,4,11,,1,
=,0,0,,0,
=,1,1,,0,
Biography,2,0,,1,
=,3,10,,1,
=,4,11,,1,
Kreisler,0,0,PERSON,0,
was,1,9,,0,
born,2,13,,0,
in,3,18,,0,
Vienna,4,21,GPE,0,
",",5,27,,0,
