token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Sir,0.0,0.0,,0.0,
Henry,1.0,4.0,PERSON,0.0,
Joseph,2.0,10.0,PERSON,0.0,
Wood,3.0,17.0,PERSON,0.0,Wood
 ,4.0,22.0,,0.0,
(,5.0,23.0,,0.0,
3,6.0,24.0,DATE,0.0,
March,7.0,26.0,DATE,0.0,
1869,8.0,32.0,DATE,0.0,
–,9.0,37.0,DATE,0.0,
19,10.0,39.0,DATE,0.0,
August,11.0,42.0,DATE,0.0,
1944,12.0,49.0,DATE,0.0,
),13.0,53.0,,0.0,
was,14.0,55.0,,0.0,
an,15.0,59.0,,0.0,
English,16.0,62.0,NORP,0.0,
conductor,17.0,70.0,,0.0,
best,18.0,80.0,,0.0,
known,19.0,85.0,,0.0,
for,20.0,91.0,,0.0,
his,21.0,95.0,,0.0,Wood
association,22.0,99.0,,0.0,
with,23.0,111.0,,0.0,
London,24.0,116.0,GPE,0.0,
's,25.0,122.0,,0.0,
annual,26.0,125.0,DATE,0.0,
series,27.0,132.0,,0.0,
of,28.0,139.0,,0.0,
promenade,29.0,142.0,,0.0,
concerts,30.0,152.0,,0.0,
",",31.0,160.0,,0.0,
known,32.0,162.0,,0.0,
as,33.0,168.0,,0.0,
the,34.0,171.0,,0.0,
Proms,35.0,175.0,EVENT,0.0,Proms
.,36.0,180.0,,0.0,
He,37.0,0.0,,1.0,Wood
conducted,38.0,3.0,,1.0,
them,39.0,13.0,,1.0,Proms
for,40.0,18.0,,1.0,
nearly,41.0,22.0,DATE,1.0,
half,42.0,29.0,DATE,1.0,
a,43.0,34.0,DATE,1.0,
century,44.0,36.0,DATE,1.0,
",",45.0,43.0,,1.0,
introducing,46.0,45.0,,1.0,
hundreds,47.0,57.0,CARDINAL,1.0,
of,48.0,66.0,,1.0,
new,49.0,69.0,,1.0,
works,50.0,73.0,,1.0,
to,51.0,79.0,,1.0,
British,52.0,82.0,NORP,1.0,
audiences,53.0,90.0,,1.0,
.,54.0,99.0,,1.0,
After,55.0,0.0,,2.0,
his,56.0,6.0,,2.0,Wood
death,57.0,10.0,,2.0,
",",58.0,15.0,,2.0,
the,59.0,17.0,,2.0,
concerts,60.0,21.0,,2.0,concerts
were,61.0,30.0,,2.0,
officially,62.0,35.0,,2.0,
renamed,63.0,46.0,,2.0,
in,64.0,54.0,,2.0,
his,65.0,57.0,,2.0,Wood
honour,66.0,61.0,,2.0,
as,67.0,68.0,,2.0,
the,68.0,71.0,ORG,2.0,
"""",69.0,75.0,ORG,2.0,
Henry,70.0,76.0,ORG,2.0,
Wood,71.0,82.0,ORG,2.0,
Promenade,72.0,87.0,ORG,2.0,
Concerts,73.0,97.0,ORG,2.0,
"""",74.0,105.0,,2.0,
",",75.0,106.0,,2.0,
although,76.0,108.0,,2.0,
they,77.0,117.0,,2.0,concerts
continued,78.0,122.0,,2.0,
to,79.0,132.0,,2.0,
be,80.0,135.0,,2.0,
generally,81.0,138.0,,2.0,
referred,82.0,148.0,,2.0,
to,83.0,157.0,,2.0,
as,84.0,160.0,,2.0,
"""",85.0,163.0,,2.0,
the,86.0,164.0,,2.0,
