token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Niccolò,0.0,0.0,PERSON,0.0,
(,1.0,8.0,,0.0,
or,2.0,9.0,,0.0,
Nicolò,3.0,12.0,PERSON,0.0,
),4.0,18.0,PERSON,0.0,
Paganini,5.0,20.0,PERSON,0.0,
(,6.0,29.0,,0.0,
Italian,7.0,30.0,NORP,0.0,
:,8.0,37.0,,0.0,
[,9.0,39.0,,0.0,
ni(k)koˈlɔ,10.0,40.0,,0.0,
ppaɡaˈniːni,11.0,51.0,,0.0,
],12.0,62.0,,0.0,
(,13.0,64.0,,0.0,
listen,14.0,65.0,,0.0,
),15.0,71.0,,0.0,
;,16.0,72.0,,0.0,
27,17.0,74.0,DATE,0.0,
October,18.0,77.0,DATE,0.0,
1782,19.0,85.0,DATE,0.0,
–,20.0,90.0,DATE,0.0,
27,21.0,92.0,DATE,0.0,
May,22.0,95.0,DATE,0.0,
1840,23.0,99.0,DATE,0.0,
),24.0,103.0,,0.0,
was,25.0,105.0,,0.0,
an,26.0,109.0,,0.0,
Italian,27.0,112.0,NORP,0.0,
violinist,28.0,120.0,,0.0,violinist
and,29.0,130.0,,0.0,
composer,30.0,134.0,,0.0,
.,31.0,142.0,,0.0,
He,32.0,0.0,,1.0,violinist
was,33.0,3.0,,1.0,
the,34.0,7.0,,1.0,
most,35.0,11.0,,1.0,
celebrated,36.0,16.0,,1.0,
violin,37.0,27.0,,1.0,
virtuoso,38.0,34.0,,1.0,
of,39.0,43.0,,1.0,
his,40.0,46.0,,1.0,violinist
time,41.0,50.0,,1.0,
",",42.0,54.0,,1.0,
and,43.0,56.0,,1.0,
left,44.0,60.0,,1.0,
his,45.0,65.0,,1.0,violinist
mark,46.0,69.0,,1.0,
as,47.0,74.0,,1.0,
one,48.0,77.0,,1.0,
of,49.0,81.0,,1.0,
the,50.0,84.0,,1.0,
pillars,51.0,88.0,,1.0,
of,52.0,96.0,,1.0,
modern,53.0,99.0,,1.0,
violin,54.0,106.0,,1.0,
technique,55.0,113.0,,1.0,
.,56.0,122.0,,1.0,
His,57.0,0.0,,2.0,violinist
24,58.0,4.0,CARDINAL,2.0,
Caprices,59.0,7.0,,2.0,
for,60.0,16.0,,2.0,
Solo,61.0,20.0,WORK_OF_ART,2.0,
Violin,62.0,25.0,WORK_OF_ART,2.0,
Op,63.0,32.0,WORK_OF_ART,2.0,
.,64.0,34.0,WORK_OF_ART,2.0,
1,65.0,0.0,WORK_OF_ART,3.0,
are,66.0,2.0,,3.0,
among,67.0,6.0,,3.0,
the,68.0,12.0,,3.0,
best,69.0,16.0,,3.0,
known,70.0,21.0,,3.0,
of,71.0,27.0,,3.0,
his,72.0,30.0,,3.0,violinist
compositions,73.0,34.0,,3.0,
and,74.0,47.0,,3.0,
have,75.0,51.0,,3.0,
served,76.0,56.0,,3.0,
as,77.0,63.0,,3.0,
an,78.0,66.0,,3.0,
inspiration,79.0,69.0,,3.0,
for,80.0,81.0,,3.0,
many,81.0,85.0,,3.0,
prominent,82.0,90.0,,3.0,
composers,83.0,100.0,,3.0,
.,84.0,109.0,,3.0,
Niccolò,0.0,0.0,PERSON,0.0,
(,1.0,8.0,,0.0,
or,2.0,9.0,,0.0,
Nicolò,3.0,12.0,PERSON,0.0,
),4.0,18.0,PERSON,0.0,
Paganini,5.0,20.0,PERSON,0.0,
(,6.0,29.0,,0.0,
Italian,7.0,30.0,NORP,0.0,
