token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Clara,0,0,PERSON,0,
Josephine,1,6,PERSON,0,
Schumann,2,16,PERSON,0,
(,3,25,,0,
[,4,26,,0,
ˈklaːʁa,5,27,,0,
ˈʃuːman,6,35,,0,
],7,42,,0,
;,8,43,,0,
née,9,45,,0,
Wieck,10,49,,0,
;,11,54,,0,
13,12,56,DATE,0,
September,13,59,DATE,0,
1819,14,69,DATE,0,
–,15,74,DATE,0,
20,16,76,DATE,0,
May,17,79,DATE,0,
1896,18,83,DATE,0,
),19,87,,0,
was,20,89,,0,
a,21,93,,0,
German,22,95,NORP,0,
pianist,23,102,,0,pianist
",",24,109,,0,
composer,25,111,,0,
",",26,119,,0,
and,27,121,,0,
piano,28,125,,0,
teacher,29,131,,0,
.,30,138,,0,
Regarded,31,0,,1,
as,32,9,,1,
one,33,12,,1,
of,34,16,,1,
the,35,19,,1,
most,36,23,,1,
distinguished,37,28,,1,
pianists,38,42,,1,
of,39,51,,1,
the,40,54,,1,
Romantic,41,58,,1,
era,42,67,,1,
",",43,70,,1,
she,44,72,,1,pianist
exerted,45,76,,1,
her,46,84,,1,pianist
influence,47,88,,1,
over,48,98,,1,
a,49,103,,1,
61,50,105,DATE,1,
-,51,107,DATE,1,
year,52,108,DATE,1,
concert,53,113,,1,
career,54,121,,1,
",",55,127,,1,
changing,56,129,,1,
the,57,138,,1,
format,58,142,,1,
and,59,149,,1,
repertoire,60,153,,1,
of,61,164,,1,
the,62,167,,1,
piano,63,171,,1,
recital,64,177,,1,
from,65,185,,1,
displays,66,190,,1,
of,67,199,,1,
virtuosity,68,202,,1,
to,69,213,,1,
programs,70,216,,1,
of,71,225,,1,
serious,72,228,,1,
works,73,236,,1,
.,74,241,,1,
She,75,0,,2,pianist
also,76,4,,2,
composed,77,9,,2,
solo,78,18,,2,
piano,79,23,,2,
pieces,80,29,,2,
",",81,35,,2,
a,82,37,,2,
piano,83,39,,2,
concerto,84,45,,2,
(,85,54,,2,
her,86,55,,2,pianist
Op,87,59,,2,
.,88,61,,2,
7,89,0,CARDINAL,3,
),90,1,,3,
",",91,2,,3,
chamber,92,4,,3,
music,93,12,,3,
",",94,17,,3,
choral,95,19,,3,
pieces,96,26,,3,
",",97,32,,3,
and,98,34,,3,
songs,99,38,,3,
.,100,43,,3,
Clara,0,0,PERSON,0,
Josephine,1,6,PERSON,0,
Schumann,2,16,PERSON,0,
(,3,25,,0,
[,4,26,,0,
ˈklaːʁa,5,27,,0,
ˈʃuːman,6,35,,0,
],7,42,,0,
;,8,43,,0,
née,9,45,,0,
Wieck,10,49,,0,
;,11,54,,0,
13,12,56,DATE,0,
September,13,59,DATE,0,
1819,14,69,DATE,0,
–,15,74,DATE,0,
20,16,76,DATE,0,
May,17,79,DATE,0,
1896,18,83,DATE,0,
),19,87,,0,
was,20,89,,0,
a,21,93,,0,
German,22,95,NORP,0,
pianist,23,102,,0,pianist
",",24,109,,0,
composer,25,111,,0,
",",26,119,,0,
and,27,121,,0,
piano,28,125,,0,
teacher,29,131,,0,
.,30,138,,0,
Regarded,31,0,,1,
as,32,9,,1,
one,33,12,,1,
of,34,16,,1,
the,35,19,,1,
most,36,23,,1,
distinguished,37,28,,1,
pianists,38,42,,1,
of,39,51,,1,
the,40,54,,1,
Romantic,41,58,,1,
era,42,67,,1,
",",43,70,,1,
she,44,72,,1,pianist
exerted,45,76,,1,
her,46,84,,1,pianist
influence,47,88,,1,
over,48,98,,1,
a,49,103,,1,
61,50,105,DATE,1,
-,51,107,DATE,1,
year,52,108,DATE,1,
concert,53,113,,1,
career,54,121,,1,
",",55,127,,1,
changing,56,129,,1,
the,57,138,,1,
format,58,142,,1,
and,59,149,,1,
repertoire,60,153,,1,
of,61,164,,1,
the,62,167,,1,
piano,63,171,,1,
recital,64,177,,1,
from,65,185,,1,
displays,66,190,,1,
of,67,199,,1,
virtuosity,68,202,,1,
