token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Yehudi,0,0,PERSON,0,
Menuhin,1,7,PERSON,0,
",",2,14,,0,
Baron,3,16,,0,
Menuhin,4,22,PERSON,0,
",",5,29,,0,
 ,6,31,,0,
(,7,32,,0,
22,8,33,DATE,0,
April,9,36,DATE,0,
1916,10,42,DATE,0,
–,11,47,DATE,0,
12,12,49,DATE,0,
March,13,52,DATE,0,
1999,14,58,DATE,0,
),15,62,,0,
was,16,64,,0,
an,17,68,,0,
American,18,71,NORP,0,
-,19,79,,0,
born,20,80,,0,
violinist,21,85,,0,violinist
and,22,95,,0,
conductor,23,99,,0,
who,24,109,,0,
spent,25,113,,0,
most,26,119,,0,
of,27,124,,0,
his,28,127,,0,violinist
performing,29,131,,0,
career,30,142,,0,
in,31,149,,0,
Britain,32,152,GPE,0,
.,33,159,,0,
He,34,0,,1,violinist
is,35,3,,1,
widely,36,6,,1,
considered,37,13,,1,
one,38,24,,1,
of,39,28,,1,
the,40,31,,1,
great,41,35,,1,
violinists,42,41,,1,
of,43,52,,1,
the,44,55,DATE,1,
20th,45,59,DATE,1,
century,46,64,DATE,1,
.,47,71,,1,
He,48,0,,2,violinist
played,49,3,,2,
the,50,10,PRODUCT,2,
Soil,51,14,PRODUCT,2,
Stradivarius,52,19,PRODUCT,2,
",",53,31,,2,
considered,54,33,,2,
one,55,44,,2,
of,56,48,,2,
the,57,51,,2,
finest,58,55,,2,
violins,59,62,,2,
made,60,70,,2,
by,61,75,,2,
Italian,62,78,NORP,2,
luthier,63,86,,2,
Antonio,64,94,PERSON,2,
Stradivari,65,102,PERSON,2,
.,66,112,,2,
Yehudi,0,0,PERSON,0,
Menuhin,1,7,PERSON,0,
",",2,14,,0,
Baron,3,16,,0,
Menuhin,4,22,PERSON,0,
",",5,29,,0,
 ,6,31,,0,
(,7,32,,0,
22,8,33,DATE,0,
April,9,36,DATE,0,
1916,10,42,DATE,0,
–,11,47,DATE,0,
12,12,49,DATE,0,
