token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Dame,0,0,,0,
Clara,1,5,PERSON,0,
Ellen,2,11,PERSON,0,
Butt,3,17,PERSON,0,Butt
",",4,21,,0,
 ,5,23,,0,
(,6,24,,0,
1,7,25,DATE,0,
February,8,27,DATE,0,
1872,9,36,DATE,0,
–,10,41,DATE,0,
23,11,43,DATE,0,
January,12,46,DATE,0,
1936,13,54,DATE,0,
),14,58,,0,
was,15,60,,0,
an,16,64,,0,
English,17,67,NORP,0,
contralto,18,75,,0,
and,19,85,,0,
one,20,89,,0,
of,21,93,,0,
the,22,96,,0,
most,23,100,,0,
popular,24,105,,0,
singers,25,113,,0,
from,26,121,,0,
the,27,126,DATE,0,
1890s,28,130,DATE,0,
through,29,136,,0,
to,30,144,,0,
the,31,147,,0,
1920s,32,151,DATE,0,
.,33,156,,0,
She,34,0,,1,Butt
had,35,4,,1,
an,36,8,,1,
exceptionally,37,11,,1,
fine,38,25,,1,
contralto,39,30,,1,
voice,40,40,,1,
and,41,46,,1,
an,42,50,,1,
agile,43,53,,1,
singing,44,59,,1,
technique,45,67,,1,
",",46,76,,1,
impressed,47,78,,1,
contemporary,48,88,,1,
composers,49,101,,1,
such,50,111,,1,
as,51,116,,1,
Saint,52,119,PERSON,1,
-,53,124,PERSON,1,
Saëns,54,125,PERSON,1,
and,55,131,,1,
Elgar,56,135,PERSON,1,
;,57,140,,1,
the,58,142,,1,
latter,59,146,,1,
composed,60,153,,1,
a,61,162,,1,
song,62,164,,1,
-,63,168,,1,
cycle,64,169,,1,
with,65,175,,1,
her,66,180,,1,Butt
in,67,184,,1,
mind,68,187,,1,
as,69,192,,1,
soloist,70,195,,1,
.,71,202,,1,
Dame,0,0,,0,
Clara,1,5,PERSON,0,
Ellen,2,11,PERSON,0,
Butt,3,17,PERSON,0,Butt
",",4,21,,0,
 ,5,23,,0,
(,6,24,,0,
1,7,25,DATE,0,
February,8,27,DATE,0,
1872,9,36,DATE,0,
–,10,41,DATE,0,
23,11,43,DATE,0,
January,12,46,DATE,0,
1936,13,54,DATE,0,
),14,58,,0,
was,15,60,,0,
an,16,64,,0,
English,17,67,NORP,0,
contralto,18,75,,0,
and,19,85,,0,
one,20,89,,0,
of,21,93,,0,
the,22,96,,0,
most,23,100,,0,
popular,24,105,,0,
singers,25,113,,0,
from,26,121,,0,
the,27,126,DATE,0,
1890s,28,130,DATE,0,
through,29,136,,0,
to,30,144,,0,
the,31,147,,0,
1920s,32,151,DATE,0,
.,33,156,,0,
She,34,0,,1,Butt
had,35,4,,1,
an,36,8,,1,
exceptionally,37,11,,1,
fine,38,25,,1,
contralto,39,30,,1,
voice,40,40,,1,
and,41,46,,1,
an,42,50,,1,
agile,43,53,,1,
singing,44,59,,1,
technique,45,67,,1,
",",46,76,,1,
impressed,47,78,,1,
contemporary,48,88,,1,
composers,49,101,,1,
such,50,111,,1,
as,51,116,,1,
Saint,52,119,PERSON,1,
-,53,124,PERSON,1,
Saëns,54,125,PERSON,1,
and,55,131,,1,
Elgar,56,135,PERSON,1,
;,57,140,,1,
the,58,142,,1,
latter,59,146,,1,
composed,60,153,,1,
a,61,162,,1,
song,62,164,,1,
-,63,168,,1,
cycle,64,169,,1,
with,65,175,,1,
her,66,180,,1,Butt
in,67,184,,1,
mind,68,187,,1,
as,69,192,,1,
soloist,70,195,,1,
.,71,202,,1,
Her,0,0,,0,Her
main,1,4,,0,
career,2,9,,0,
was,3,16,,0,
as,4,20,,0,
a,5,23,,0,
recitalist,6,25,,0,recitalist
and,7,36,,0,
concert,8,40,,0,
singer,9,48,,0,
.,10,54,,0,
She,11,0,,1,Her
appeared,12,4,,1,
in,13,13,,1,
only,14,16,CARDINAL,1,
two,15,21,CARDINAL,1,
operatic,16,25,,1,
productions,17,34,,1,
",",18,45,,1,
both,19,47,,1,
of,20,52,,1,
Gluck,21,55,PERSON,1,Gluck
's,22,60,,1,
Orfeo,23,63,WORK_OF_ART,1,
ed,24,69,WORK_OF_ART,1,
Euridice,25,72,WORK_OF_ART,1,
.,26,80,,1,
Later,27,0,,2,
in,28,6,,2,
her,29,9,,2,Gluck
career,30,13,,2,
she,31,20,,2,Gluck
frequently,32,24,,2,
appeared,33,35,,2,
in,34,44,,2,
recitals,35,47,,2,
together,36,56,,2,
with,37,65,,2,
her,38,70,,2,recitalist
husband,39,74,,2,
",",40,81,,2,
the,41,83,,2,
baritone,42,87,,2,
Kennerley,43,96,PERSON,2,
Rumford,44,106,PERSON,2,
.,45,113,,2,
She,46,0,,3,recitalist
made,47,4,,3,
numerous,48,9,,3,
recordings,49,18,,3,
for,50,29,,3,
the,51,33,,3,
gramophone,52,37,,3,
.,53,47,,3,
Her,0,0,,0,Her
main,1,4,,0,
career,2,9,,0,
was,3,16,,0,
as,4,20,,0,
a,5,23,,0,
recitalist,6,25,,0,recitalist
and,7,36,,0,
concert,8,40,,0,
singer,9,48,,0,
.,10,54,,0,
She,11,0,,1,Her
appeared,12,4,,1,
in,13,13,,1,
only,14,16,CARDINAL,1,
two,15,21,CARDINAL,1,
operatic,16,25,,1,
productions,17,34,,1,
",",18,45,,1,
both,19,47,,1,
of,20,52,,1,
Gluck,21,55,PERSON,1,Gluck
's,22,60,,1,
Orfeo,23,63,WORK_OF_ART,1,
ed,24,69,WORK_OF_ART,1,
Euridice,25,72,WORK_OF_ART,1,
.,26,80,,1,
Later,27,0,,2,
in,28,6,,2,
her,29,9,,2,Gluck
career,30,13,,2,
she,31,20,,2,Gluck
frequently,32,24,,2,
appeared,33,35,,2,
in,34,44,,2,
recitals,35,47,,2,
together,36,56,,2,
with,37,65,,2,
her,38,70,,2,recitalist
husband,39,74,,2,
",",40,81,,2,
the,41,83,,2,
baritone,42,87,,2,
Kennerley,43,96,PERSON,2,
Rumford,44,106,PERSON,2,
.,45,113,,2,
She,46,0,,3,recitalist
made,47,4,,3,
numerous,48,9,,3,
recordings,49,18,,3,
for,50,29,,3,
the,51,33,,3,
gramophone,52,37,,3,
.,53,47,,3,
=,0,0,,0,
=,1,1,,0,
Early,2,0,,1,
life,3,6,,1,
and,4,11,,1,
career,5,15,,1,
=,6,0,,2,
=,7,1,,2,
=,0,0,,0,
=,1,1,,0,
Early,2,0,,1,
life,3,6,,1,
and,4,11,,1,
career,5,15,,1,
=,6,0,,2,
=,7,1,,2,
Clara,0,0,PERSON,0,
Butt,1,6,PERSON,0,
was,2,11,,0,
born,3,15,,0,
in,4,20,,0,
Southwick,5,23,GPE,0,
",",6,32,,0,
