token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Christoph,0,0,PERSON,0,
Willibald,1,10,PERSON,0,
(,2,20,PERSON,0,
Ritter,3,21,PERSON,0,
von,4,28,PERSON,0,
),5,31,PERSON,0,
Gluck,6,33,PERSON,0,
(,7,39,,0,
German,8,40,NORP,0,
:,9,46,,0,
[,10,48,,0,
ˈkʁɪstɔf,11,49,,0,
ˈvɪlɪbalt,12,58,,0,
ˈɡlʊk,13,68,,0,
],14,73,,0,
;,15,74,,0,
2,16,76,DATE,0,
July,17,78,DATE,0,
1714,18,83,DATE,0,
–,19,88,DATE,0,
15,20,90,DATE,0,
November,21,93,DATE,0,
1787,22,102,DATE,0,
),23,106,,0,
was,24,108,,0,
a,25,112,,0,
composer,26,114,,0,composer
of,27,123,,0,
Italian,28,126,NORP,0,
and,29,134,,0,
French,30,138,NORP,0,
opera,31,145,,0,
in,32,151,,0,
the,33,154,,0,
early,34,158,,0,
classical,35,164,,0,
period,36,174,,0,
.,37,180,,0,
Born,38,0,,1,
in,39,5,,1,
the,40,8,GPE,1,
Upper,41,12,GPE,1,
Palatinate,42,18,GPE,1,
and,43,29,,1,
raised,44,33,,1,
in,45,40,,1,
Bohemia,46,43,GPE,1,
",",47,50,,1,
both,48,52,,1,
part,49,57,,1,
of,50,62,,1,
the,51,65,ORG,1,
Holy,52,69,ORG,1,
Roman,53,74,ORG,1,
Empire,54,80,ORG,1,
",",55,86,,1,
he,56,88,,1,composer
gained,57,91,,1,
prominence,58,98,,1,
at,59,109,,1,
the,60,112,,1,
Habsburg,61,116,GPE,1,
court,62,125,,1,
at,63,131,,1,
Vienna,64,134,GPE,1,
.,65,140,,1,
There,66,0,,2,
he,67,6,,2,composer
brought,68,9,,2,
about,69,17,,2,
the,70,23,,2,
practical,71,27,,2,
reform,72,37,,2,
of,73,44,,2,
opera,74,47,,2,
's,75,52,,2,
dramaturgical,76,55,,2,
practices,77,69,,2,
for,78,79,,2,
which,79,83,,2,
many,80,89,,2,
intellectuals,81,94,,2,intellectuals
had,82,108,,2,
been,83,112,,2,
campaigning,84,117,,2,
.,85,128,,2,
With,86,0,,3,
a,87,5,,3,
series,88,7,,3,
of,89,14,,3,
radical,90,17,,3,
new,91,25,,3,
works,92,29,,3,
in,93,35,,3,
the,94,38,DATE,3,
1760s,95,42,DATE,3,
",",96,47,,3,
among,97,49,,3,
them,98,55,,3,intellectuals
Orfeo,99,60,WORK_OF_ART,3,
ed,100,66,WORK_OF_ART,3,
Euridice,101,69,WORK_OF_ART,3,
and,102,78,,3,
Alceste,103,82,PERSON,3,
",",104,89,,3,
he,105,91,,3,composer
broke,106,94,,3,
the,107,100,,3,
stranglehold,108,104,,3,
that,109,117,,3,
Metastasian,110,122,NORP,3,
opera,111,134,,3,
seria,112,140,,3,
had,113,146,,3,
enjoyed,114,150,,3,
for,115,158,,3,
much,116,162,,3,
of,117,167,,3,
the,118,170,DATE,3,
century,119,174,DATE,3,
.,120,181,,3,
Gluck,121,0,PERSON,4,
introduced,122,6,,4,
more,123,17,,4,
drama,124,22,,4,
by,125,28,,4,
using,126,31,,4,
simpler,127,37,,4,
recitative,128,45,,4,
and,129,56,,4,
cutting,130,60,,4,
the,131,68,,4,
usually,132,72,,4,
long,133,80,,4,
da,134,85,,4,
capo,135,88,,4,
aria,136,93,,4,
.,137,97,,4,
His,138,0,,5,composer
later,139,4,,5,
operas,140,10,,5,
have,141,17,,5,
half,142,22,CARDINAL,5,
the,143,27,,5,
length,144,31,,5,
of,145,38,,5,
a,146,41,,5,
typical,147,43,,5,
baroque,148,51,,5,
opera,149,59,,5,
.,150,64,,5,
Christoph,0,0,PERSON,0,
Willibald,1,10,PERSON,0,
(,2,20,PERSON,0,
Ritter,3,21,PERSON,0,
von,4,28,PERSON,0,
),5,31,PERSON,0,
Gluck,6,33,PERSON,0,
(,7,39,,0,
German,8,40,NORP,0,
:,9,46,,0,
[,10,48,,0,
ˈkʁɪstɔf,11,49,,0,
ˈvɪlɪbalt,12,58,,0,
ˈɡlʊk,13,68,,0,
],14,73,,0,
;,15,74,,0,
2,16,76,DATE,0,
July,17,78,DATE,0,
1714,18,83,DATE,0,
–,19,88,DATE,0,
15,20,90,DATE,0,
November,21,93,DATE,0,
1787,22,102,DATE,0,
),23,106,,0,
was,24,108,,0,
a,25,112,,0,
composer,26,114,,0,composer
of,27,123,,0,
Italian,28,126,NORP,0,
and,29,134,,0,
French,30,138,NORP,0,
opera,31,145,,0,
in,32,151,,0,
the,33,154,,0,
early,34,158,,0,
classical,35,164,,0,
period,36,174,,0,
.,37,180,,0,
Born,38,0,,1,
in,39,5,,1,
the,40,8,GPE,1,
Upper,41,12,GPE,1,
Palatinate,42,18,GPE,1,
and,43,29,,1,
raised,44,33,,1,
in,45,40,,1,
Bohemia,46,43,GPE,1,
",",47,50,,1,
both,48,52,,1,
part,49,57,,1,
of,50,62,,1,
the,51,65,ORG,1,
Holy,52,69,ORG,1,
Roman,53,74,ORG,1,
Empire,54,80,ORG,1,
",",55,86,,1,
he,56,88,,1,composer
gained,57,91,,1,
prominence,58,98,,1,
at,59,109,,1,
the,60,112,,1,
Habsburg,61,116,GPE,1,
court,62,125,,1,
at,63,131,,1,
Vienna,64,134,GPE,1,
.,65,140,,1,
There,66,0,,2,
he,67,6,,2,composer
brought,68,9,,2,
about,69,17,,2,
the,70,23,,2,
practical,71,27,,2,
reform,72,37,,2,
of,73,44,,2,
opera,74,47,,2,
's,75,52,,2,
dramaturgical,76,55,,2,
practices,77,69,,2,
for,78,79,,2,
which,79,83,,2,
many,80,89,,2,
intellectuals,81,94,,2,intellectuals
had,82,108,,2,
been,83,112,,2,
campaigning,84,117,,2,
.,85,128,,2,
With,86,0,,3,
a,87,5,,3,
series,88,7,,3,
of,89,14,,3,
radical,90,17,,3,
new,91,25,,3,
works,92,29,,3,
in,93,35,,3,
the,94,38,DATE,3,
1760s,95,42,DATE,3,
",",96,47,,3,
among,97,49,,3,
them,98,55,,3,intellectuals
Orfeo,99,60,WORK_OF_ART,3,
ed,100,66,WORK_OF_ART,3,
Euridice,101,69,WORK_OF_ART,3,
and,102,78,,3,
Alceste,103,82,PERSON,3,
",",104,89,,3,
he,105,91,,3,composer
broke,106,94,,3,
the,107,100,,3,
stranglehold,108,104,,3,
that,109,117,,3,
Metastasian,110,122,NORP,3,
opera,111,134,,3,
seria,112,140,,3,
had,113,146,,3,
enjoyed,114,150,,3,
for,115,158,,3,
much,116,162,,3,
of,117,167,,3,
the,118,170,DATE,3,
century,119,174,DATE,3,
.,120,181,,3,
Gluck,121,0,PERSON,4,
introduced,122,6,,4,
more,123,17,,4,
drama,124,22,,4,
by,125,28,,4,
using,126,31,,4,
simpler,127,37,,4,
recitative,128,45,,4,
and,129,56,,4,
cutting,130,60,,4,
the,131,68,,4,
