token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Ella,0,0,PERSON,0,
Jane,1,5,PERSON,0,
Fitzgerald,2,10,PERSON,0,Fitzgerald
 ,3,21,,0,
(,4,22,,0,
April,5,23,DATE,0,
25,6,29,DATE,0,
",",7,31,DATE,0,
1917,8,33,DATE,0,
–,9,38,DATE,0,
June,10,40,DATE,0,
15,11,45,DATE,0,
",",12,47,DATE,0,
1996,13,49,DATE,0,
),14,53,,0,
was,15,55,,0,
an,16,59,,0,
American,17,62,NORP,0,
jazz,18,71,,0,
singer,19,76,,0,
",",20,82,,0,
sometimes,21,84,,0,
referred,22,94,,0,
to,23,103,,0,
as,24,106,,0,
the,25,109,,0,
"""",26,113,,0,
First,27,114,ORDINAL,0,
Lady,28,120,,0,
of,29,125,,0,
Song,30,128,,0,
"""",31,132,,0,
",",32,133,,0,
"""",33,135,,0,
Queen,34,136,,0,
of,35,142,,0,
Jazz,36,145,,0,
"""",37,149,,0,
",",38,150,,0,
and,39,152,,0,
"""",40,156,,0,
Lady,41,157,,0,
Ella,42,162,PERSON,0,
"""",43,166,,0,
.,44,167,,0,
She,45,0,,1,Fitzgerald
was,46,4,,1,
noted,47,8,,1,
for,48,14,,1,
her,49,18,,1,Fitzgerald
purity,50,22,,1,
of,51,29,,1,
tone,52,32,,1,
",",53,36,,1,
impeccable,54,38,,1,
diction,55,49,,1,
",",56,56,,1,
phrasing,57,58,,1,
",",58,66,,1,
timing,59,68,,1,
",",60,74,,1,
intonation,61,76,,1,
",",62,86,,1,
and,63,88,,1,
a,64,92,,1,
"""",65,94,,1,
horn,66,95,,1,
-,67,99,,1,
like,68,100,,1,
"""",69,104,,1,
improvisational,70,106,,1,
ability,71,122,,1,
",",72,129,,1,
particularly,73,131,,1,
in,74,144,,1,
her,75,147,,1,Fitzgerald
scat,76,151,,1,
singing,77,156,,1,
.,78,163,,1,
Ella,0,0,PERSON,0,
Jane,1,5,PERSON,0,
Fitzgerald,2,10,PERSON,0,Fitzgerald
 ,3,21,,0,
(,4,22,,0,
April,5,23,DATE,0,
25,6,29,DATE,0,
",",7,31,DATE,0,
1917,8,33,DATE,0,
–,9,38,DATE,0,
June,10,40,DATE,0,
15,11,45,DATE,0,
",",12,47,DATE,0,
1996,13,49,DATE,0,
),14,53,,0,
was,15,55,,0,
an,16,59,,0,
American,17,62,NORP,0,
jazz,18,71,,0,
singer,19,76,,0,
",",20,82,,0,
sometimes,21,84,,0,
referred,22,94,,0,
to,23,103,,0,
as,24,106,,0,
the,25,109,,0,
"""",26,113,,0,
First,27,114,ORDINAL,0,
Lady,28,120,,0,
of,29,125,,0,
Song,30,128,,0,
"""",31,132,,0,
",",32,133,,0,
"""",33,135,,0,
Queen,34,136,,0,
of,35,142,,0,
Jazz,36,145,,0,
"""",37,149,,0,
",",38,150,,0,
and,39,152,,0,
"""",40,156,,0,
Lady,41,157,,0,
Ella,42,162,PERSON,0,
"""",43,166,,0,
.,44,167,,0,
She,45,0,,1,Fitzgerald
was,46,4,,1,
noted,47,8,,1,
for,48,14,,1,
her,49,18,,1,Fitzgerald
purity,50,22,,1,
of,51,29,,1,
tone,52,32,,1,
",",53,36,,1,
impeccable,54,38,,1,
diction,55,49,,1,
",",56,56,,1,
phrasing,57,58,,1,
",",58,66,,1,
timing,59,68,,1,
",",60,74,,1,
intonation,61,76,,1,
",",62,86,,1,
and,63,88,,1,
a,64,92,,1,
"""",65,94,,1,
horn,66,95,,1,
-,67,99,,1,
like,68,100,,1,
"""",69,104,,1,
improvisational,70,106,,1,
ability,71,122,,1,
",",72,129,,1,
particularly,73,131,,1,
