thm_type_1,thm_type_2,thm_explanation_1,thm_explanation_2,sentenceIndex,paragraphIndex,source
Business meeting,Confidence value: 0.68262047,Personal life,Confidence value: 0.27383056,0,0,ML
Music making,Confidence value: 0.99846846,Public celebration,Confidence value: 0.0015303454,0,4,ML
Music making,Confidence value: 0.5449281,Personal life,Confidence value: 0.37960613,1,4,ML
Business meeting,Confidence value: 0.9975932,Public celebration,Confidence value: 0.0013162278,2,6,ML
Business meeting,Confidence value: 0.5494269,Coincidence,Confidence value: 0.44928023,5,6,ML
Coincidence,Confidence value: 0.99791604,Business meeting,Confidence value: 0.0018057055,6,6,ML
Coincidence,Confidence value: 0.7054543,Education,Confidence value: 0.20995668,8,6,ML
Public celebration,Confidence value: 0.8874796,Coincidence,Confidence value: 0.07324532,0,7,ML
Coincidence,Confidence value: 0.97564155,Personal life,Confidence value: 0.024357798,1,7,ML
Education,Confidence value: 0.82052284,Public celebration,Confidence value: 0.17781746,2,7,ML
Music making,Confidence value: 0.6294377,Business meeting,Confidence value: 0.26951155,0,9,ML
Coincidence,Confidence value: 0.89573437,Public celebration,Confidence value: 0.073675826,1,9,ML
Coincidence,Confidence value: 0.99723226,Education,Confidence value: 0.002352852,0,11,ML
Music making,Confidence value: 0.8912465,Personal life,Confidence value: 0.107789405,0,14,ML
Music making,Confidence value: 0.9932341,Personal life,Confidence value: 0.0067617274,0,19,ML
Music making,Confidence value: 0.7302049,Personal life,Confidence value: 0.1612872,0,20,ML
