,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,"Sam Sneed (born Sam Anderson on February 29, 1968) is an American producer and rapper.",3.484809e-07,4.0962703e-08,0.00011866496,1.932154e-05,0.999856,5.6010044e-06
1,He originally got his start working as a producer for K-Solo and the Hit Squad.,0.23125851,1.4702438e-06,3.938775e-09,0.76874,1.5584554e-11,4.2276532e-14
2,==,0.12487809,0.21344268,0.0013716145,0.0017026803,0.65860486,7.902394e-08
3,Biography ==,0.35590583,3.5694214e-10,3.2671657e-11,9.202332e-11,5.127074e-05,0.64404285
4,===,0.0018069104,2.1080758e-05,2.7498896e-05,0.00044119143,0.9977034,1.2509519e-11
5,Early years =,0.010786966,1.8944465e-06,3.957943e-07,0.9892091,1.5575282e-06,7.69554e-08
6,==,0.12487809,0.21344268,0.0013716145,0.0017026803,0.65860486,7.902394e-08
7,"In 1993 he was signed to Death Row Records, releasing only one single, ""U Better Recognize"" featuring Dr. Dre, in 1994.",0.7317859,0.00041663545,1.0773674e-05,0.2645997,0.0031105597,7.6308344e-05
8,"The single appeared on the Murder Was the Case soundtrack, and peaked at #16 on the Billboard Hot Dance Music/Maxi-Singles Sales chart, #18 on the Hot Rap Tracks chart and #48 on the Hot R&B/Hip-Hop Singles & Tracks chart..",9.739995e-06,2.180419e-05,2.6827954e-14,0.9999585,1.7833129e-07,9.736764e-06
9,"He became well known for a catchphrase, ""My name is Sam Sneed, you better recognize!""",0.0015032789,0.0056216787,0.78825176,0.026192233,0.1713972,0.0070339306
10,"which originally appeared on the Snoop Dogg debut album, Doggystyle.",1.6722282e-05,4.736841e-06,0.91059405,0.0017257105,6.818083e-05,0.08759055
11,"He also appeared in the Death Row movie, Murder Was the Case.",2.7896883e-06,1.2428356e-09,2.4783597e-08,0.9999434,5.379401e-05,8.67995e-10
12,"Sam Sneed also co-produced the hit songs ""Keep Their Heads Ringin'"" and ""Natural Born Killaz"" with Dr. Dre.",0.000102603284,7.1913226e-09,1.3880939e-06,0.9964684,0.0034276738,8.0589466e-11
13,"""Natural Born Killaz"" was originally supposed to be a Sam Sneed and J-Flexx song called ""The Heist"".",0.85159117,0.07337677,0.009909177,0.050280813,0.013313437,0.0015286698
14,"The original alternate version of ""Natural Born Killaz"" with Sam Sneed rapping a verse was released on the Ultimate Death Row Collection on November 24, 2009.",0.2551822,0.0061947703,8.0282024e-07,0.72829944,0.010013482,0.00030933082
15,"He recorded an album on Death Row Records with his group Street Scholars in 1996 which included J-Flexx, Sharief (now known as Killer Ben) & Drauma (now known as Stocks McGuire) which remains unreleased.",8.642747e-05,0.0053743245,3.1272634e-08,0.99451715,2.1786842e-05,2.4835575e-07
16,"Sneed was diagnosed with a brain tumor in 1999, which put a temporary halt to his career;  but has since recovered and is once again an active hip hop producer.",0.9582094,0.008725699,0.0072621526,0.025626726,0.00017598284,7.3621315e-10
17,"He has since produced songs for the likes of G-Unit, Scarface, Jay-Z and many others, Sam went to work with Dr. Dre in 2007 again, but nothing manifested.",4.3550185e-06,0.0025020805,0.00041178218,0.99704164,4.012454e-05,3.6649066e-11
18,"Since then he has started a new company 'Nustarz Entertainment' with his business partner Craig ""Stretch"" Mason, the label features new artists managed by Sam such as The Boy Goldy, Money Ink and a British rapper, producer and songwriter named Nat Powers.",0.99547416,1.4963821e-07,2.2202875e-09,0.0045251045,5.534183e-07,1.6302222e-10
19,"In 2010 Death Row/WIDEawake Entertainment announced the release date (January 25, 2011)  for Sam Sneed's album Street Scholars, which contained four unreleased songs from Sneed's time at Death Row, along with 10 newly recorded tracks.",0.05880641,0.01591671,0.9179281,0.0063563045,0.0003864765,0.0006060122
20,==,0.12487809,0.21344268,0.0013716145,0.0017026803,0.65860486,7.902394e-08
21,Discography ==,0.9999943,1.2030798e-08,8.3584145e-10,5.3618996e-06,2.8147706e-09,3.2553942e-07
22,Street Scholars (2011),2.2044828e-08,0.00065861776,0.4025145,1.9752009e-11,1.6047266e-05,0.5968109
23,==,0.12487809,0.21344268,0.0013716145,0.0017026803,0.65860486,7.902394e-08
24,References ==,2.507712e-05,0.018098895,8.9650435e-05,0.06194967,4.4582564e-09,0.9198367
