,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,"Kúlásh Jasynqyzy Báıseıitova (Kazakh: Күләш Жасынқызы Бәйсейітова; Russian: Куляш Жасымовна Байсеитова; the birth name — Gulbakhram (Гульбахрам); 1912–1957) was a Soviet-Kazakh opera singer (lyric coloratura soprano); one of the founders of Kazakh opera, actress of drama theatre, public figure, Deputy of the Supreme Soviet of the Kazakh SSR 1-3-go convening.",0.7746253,2.2714637e-05,1.9265715e-05,0.007104078,0.21800014,0.00022841663
1,Knight of the Order of Lenin (1945).,0.00020298842,4.991357e-07,0.0015672764,1.5251951e-06,0.010253592,0.98797417
2,"One of the first owners of the title ""People's Artist of the USSR"" (1936) and one of the youngest (after Halima Nasyrova) for all his years of the award.",0.32602498,9.422102e-09,3.4100293e-07,1.2955599e-08,0.6689382,0.005036482
3,"Kulyash Baiseitova became the most titled artist of Kazakhstan: Laureate of two Stalin Prizes of the II degree (1948, 1949).",4.4743207e-05,0.017250046,0.8260376,9.7298514e-05,0.13140768,0.025162691
4,She received the title of People's Artist of the USSR when she was only 24 years old.,0.8768321,0.0032937191,0.00028411497,1.3785816e-05,0.11891791,0.0006582665
5,"This happened after Stalin, having heard the amazing lyric-coloratura soprano Kulyash in the First decade of Kazakh art in Moscow, called her ""Kazakh nightingale""(Kazakh: Қазақ бұлбұлы).",0.0015902994,0.0010543355,2.0832417e-06,0.9937231,0.003629825,2.1158004e-07
6,==,0.12487878,0.21344116,0.0013716018,0.0017026735,0.6586057,7.902412e-08
7,Biography ==,0.3559064,3.5694386e-10,3.2671945e-11,9.202324e-11,5.1270898e-05,0.6440423
8,"Kulyash Baiseitova (maiden name Beisova) was born on 2 May (19 April) 1912 (according to other sources – 12 January) in the steppes of Sary-Arka, in the village Zhanaortalyk of the Karkaraly district of the Semipalatinsk Oblast (now in the Aktogay district of the Karaganda Region of Kazakhstan (According to official data in the city of Verny (now Almaty)).",2.2985338e-07,0.00048017988,8.693703e-08,1.2913996e-05,0.9992674,0.00023919519
9,"She was born to a very simple family: mother Zibazhan, a washerwoman, father Zhasyn, a shoemaker.",3.2237907e-08,2.5812449e-06,4.8293205e-12,5.0113173e-12,0.99999726,7.3194045e-08
10,Her birth name was Gulbakhram; Kulya – her childhood nickname – gradually turned into the name Kulyash.,0.0003641629,3.1243627e-07,1.4143178e-10,1.0277923e-05,0.99960274,2.2506281e-05
11,Her parents were so broke that they could not feed two children.,5.5873634e-06,0.004983455,0.0047132866,1.1767842e-06,0.9773029,0.012993588
12,"Therefore, Gulbakhram was sent to an orphanage even before school.",7.129172e-05,1.0297919e-07,0.0001273578,3.468409e-05,0.9997583,8.277192e-06
13,"No matter how difficult it was for the parents, they decided to take the girl from the orphanage and send her to a boarding school.",0.0003007415,0.44450045,0.0005472626,2.7962874e-06,0.5546081,4.0677925e-05
14,"She was brought to Alma-Ata at the age of twelve, and for some time, she lived in a boarding school.",0.033002544,0.007929752,0.9537707,0.0037836917,0.00041445318,0.0010989202
15,===,0.0018068915,2.1080356e-05,2.7498634e-05,0.00044118572,0.9977034,1.2509472e-11
16,Path to art ===,0.0012462325,0.9077501,0.09089228,9.865608e-12,1.2172183e-05,9.925958e-05
17,Baiseitova's natural musical talent emerged early.,5.493138e-05,0.00033901588,5.8569053e-06,0.9996001,6.68634e-08,1.9241236e-12
18,"She memorized and performed songs, zhyrys and kyssas, heard from father Zhasyn.",1.0578795e-11,4.6304983e-08,0.043706995,0.95625585,3.6746576e-05,4.6805994e-07
19,Her father was a good singer when he was young and sang around the country.,0.0008363652,9.342634e-05,0.79657954,5.9314134e-05,0.20234822,8.305279e-05
20,"Kanabek Baiseitov, Kulyash's husband wrote about it in his book:",4.9161372e-08,0.019865202,1.9549102e-09,0.9799793,0.00015513413,3.718687e-07
21,“His father Zhasyn was a great singer.,1.2189721e-08,1.0986721e-10,1.3047847e-07,0.00013835389,0.9998615,2.364704e-13
22,"He used to perform with the famous Aset and Baluan Sholak"".",0.084282055,1.3636532e-06,2.1808725e-08,0.7440299,0.16737442,0.0043121693
23,"In her autobiography, Kulyash wrote:",0.2393047,0.05525071,3.898948e-07,0.7053254,3.8005455e-05,8.081999e-05
24,"“... When I was in school, I participated in a drama club.",4.7980473e-09,0.0027038567,2.257529e-08,0.99667454,0.00062149385,3.0692362e-11
25,"When the Kazdramteater moved to Alma-Ata in 1929, I wanted to enter this theatre, but some comrades spread rumours that my father was a rich man and that I should be expelled from the Komsomol.",0.011177724,0.0003230226,0.00021086283,0.083969004,0.904318,1.4389731e-06
26,"Despite these false statements, I achieved my goal and entered the theatre, but only in 1933 I began to be nominated and began to play the main roles....""",0.9418408,0.02067585,9.627901e-09,0.037483238,1.6163166e-09,3.1204321e-09
27,"Once, people came to the school from the Kyzyl-Orda Drama Theater, which was on tour in Alma-Ata.",6.0114803e-07,0.211573,0.001916763,0.7863912,0.000118152435,2.3722247e-07
28,They were looking for children with perfect pitch and voice to participate in the performance.,0.005476512,0.9780548,4.612556e-08,0.00030743986,0.016160967,1.9117164e-07
29,"Thus, Kulyash first began performing on stage.",1.7566694e-07,7.602666e-05,2.3659985e-12,0.9999238,1.679372e-10,2.201012e-12
30,"In 1925 her father left home, leaving his family.",1.1704977e-07,0.008099049,0.0013452845,1.9183772e-06,0.15938541,0.8311682
31,"13-year-old Kulyash cannot come to terms with the idea that she is fed, goes to school, and her family is starving at home.",1.6429365e-06,0.45645377,3.3174638e-05,0.0007781616,0.542733,1.8044479e-07
32,She decides to leave the boarding school and live at home; she went to school and received a scholarship(18 rubles).,0.48985156,0.0071623134,0.49626186,8.880376e-08,0.005667847,0.001056296
33,"Over time, she decided that she needed to quit school and feed her family.",0.007782096,0.20611121,0.7861011,2.2504991e-09,2.7512374e-06,2.8608943e-06
34,She is arranged as an apprentice in an office and is trained to be a clerk.,0.06610138,2.0214007e-05,0.93355936,3.725774e-06,0.00014206694,0.00017328808
35,"At the same time in 1925–1928, she studied at the Almaty Pedagogical College of the Institute of Education( Russian: Института просвещения), actively participated in amateur music performances, and she began to achieve success in the theater.",1.3702801e-06,9.798902e-07,0.9995553,0.0004422037,1.01327495e-10,1.15539414e-07
36,"In 1930 she entered the studio of the Kazakh Drama Theater, which was created in the city of Kyzyl-Orda in 1926 and transferred to Alma-Ata in 1929 (now the Kazakh State Academic Drama Theater named after M.O. Auezov;).",0.9483268,0.003971062,0.00012780546,0.047473393,0.000100511956,3.8177257e-07
37,"While studying acting and musical literacy, she played small episodic roles in the theatre and soon the main ones.",1.0102482e-09,2.48445e-06,1.0779652e-06,0.9999964,1.224942e-13,4.844952e-17
38,"At that time, the theatrical evening consisted of small plays in the first section and concerts with the participation of singers, instrumentalists, dancers from among the theatre artists in the second.",1.4271438e-08,2.4119347e-05,9.378025e-12,0.9999758,1.2271596e-09,7.926894e-08
39,Kulyash performed in both performances and concerts.,3.1089762e-09,2.1345073e-07,3.209984e-10,0.99999976,5.3108685e-08,5.295622e-09
40,"In 1933 she became a member of the troupe of the Musical Theater (now the Abay Kazakh State Academic Opera and Ballet Theater), where she performed until the end of her life.",0.7670001,0.0022338051,4.7827102e-09,0.23076501,7.723523e-09,1.0550878e-06
41,She studied singing in the educational studio of the theatre from K. A. Dianti and V. A. Smyslovskaya.,3.8940966e-06,3.1433854e-07,0.981128,0.018867662,1.2475317e-07,3.161307e-08
42,Since 1934 she has been a soloist of the Kazakh Musical Theater (now the Abay Kazakh State Academic Opera and Ballet Theater).,0.99996006,1.7769496e-07,8.58453e-11,3.983108e-05,2.0857255e-08,1.6865611e-08
43,===,0.0018068925,2.1080356e-05,2.7498634e-05,0.00044118572,0.9977034,1.2509472e-11
44,Political activity =,5.916701e-06,7.185799e-07,5.4034024e-07,0.0010332775,8.751002e-07,0.9989587
45,==,0.124878764,0.21344116,0.0013716005,0.0017026726,0.6586057,7.9023955e-08
46,In 1938 she became a deputy of the Supreme Soviet of the Kazakh SSR.,0.9637073,0.0018869597,0.0018734005,0.010917151,0.021589044,2.6109296e-05
47,She continued her deputy career until the end of her life.,0.9998752,7.82709e-09,7.007542e-10,1.18251655e-05,6.9692135e-08,0.00011290247
48,She was also a member of the State Prize Committee in 1940 and the Peacekeeping Committee in 1951.,1.3362614e-07,8.787671e-06,9.336401e-05,0.9975478,4.588097e-08,0.0023499297
49,Member of the CPSU (b) since 1943.,0.3489152,2.5337142e-05,0.0022051006,0.6402749,0.008413658,0.00016586983
50,Deputy of the Supreme Soviet of the Kazakh SSR of the 1–3 convocations.,0.9979518,1.875646e-09,0.00024411733,5.2609447e-08,0.0013842904,0.00041985753
51,===,0.0018068925,2.1080356e-05,2.7498634e-05,0.00044118572,0.9977034,1.2509472e-11
52,Death =,0.2857951,0.030852698,0.5856275,0.03648943,0.05997784,0.001257369
53,==,0.124878764,0.21344112,0.0013716007,0.0017026727,0.65860575,7.902396e-08
54,"In June 1957, Baiseitova went to a concert in Moscow.",1.3322582e-05,0.94872904,1.6268782e-06,0.05117969,4.027213e-07,7.59374e-05
55,"After the concert, complaining of headaches, the singer returned to the hotel.",0.0042083994,0.73333454,0.00039857472,0.2543094,0.0077491174,1.6843005e-10
56,"On the morning of 6 June, the maid found her lifeless body in the bathroom.",2.0490238e-11,1.0,2.7161742e-10,5.321293e-12,4.6233475e-10,1.3993425e-11
57,Doctors later diagnosed intracerebral hemorrhage.,1.2515044e-07,0.9999999,1.0795908e-11,5.1261786e-09,7.121501e-09,1.2931412e-11
58,Buried in Alma-Ata at the Central Cemetery.,1.22811925e-05,0.06735685,1.6076385e-05,0.05730004,0.79825646,0.0770583
59,==,0.124878764,0.21344116,0.0013716005,0.0017026726,0.6586057,7.9023955e-08
60,Personal life ==,0.0025544048,0.00046550567,4.8373266e-07,1.0761044e-09,8.063284e-05,0.996899
61,The singer's maiden name was Beisova.,6.3218795e-05,0.0006486925,6.850402e-05,0.12070546,0.8613629,0.017151264
62,Kulyash married the singer and actor Kanabek Baiseitov and got her husband's surname in 1933.,3.5610956e-05,0.0422057,2.2246014e-07,0.00529604,0.9514531,0.0010093322
63,"Kanabek Baiseitov is the singer-actor, director, dramatist, one of the founders of the Kazakh Musical Theater (now it's the Kazakh Opera and Ballet Theater), People's Artist of Kazakh SSR (1936), laureate of the State Prize of Kazakhstan.",0.95937073,9.357719e-06,1.6810307e-05,0.0034332275,0.03700575,0.00016413468
64,"Kulyash Baiseitova gave birth to three daughters: Kuralai Baiseitova (1938—1974), Karlygash Baiseitova (1940–present), Karshyga Baiseitova (1942—1947).",2.3578458e-08,0.0029376068,1.6959716e-06,0.012253272,0.9840164,0.0007909308
65,Kuralai – the eldest daughter died in 1974 at the age of 38.,6.326866e-11,1.08373996e-11,4.9644896e-11,1.30568405e-05,0.9999869,2.4572044e-13
66,The middle one is Karlygash.,0.0035229388,0.07354079,0.0007265615,6.5043974e-07,0.92218083,2.8278333e-05
67,Her youngest daughter Karshyga died of food poisoning in kindergarten at the age of five.,2.80308e-13,1.7038811e-09,9.516013e-14,1.3728462e-13,1.0,2.5369972e-14
68,The death of the youngest daughter was tragic period for the singer.,1.17658e-06,6.2534964e-05,3.538517e-05,1.2137544e-05,0.9998876,1.2424424e-06
69,"After that, her health deteriorated, and her blood pressure continued to rise.",0.5743474,0.31315827,0.0023721154,0.056390308,0.053174708,0.0005572451
70,Her sister Raikhan Beisova bore a girl named Raushan in 1947.,9.066518e-11,0.41610736,1.8300815e-08,0.002929608,0.5086017,0.0723613
71,"With the permission of her sister, Kulyash adopted Raushan, gave her her last name.",7.833477e-07,0.00094742666,2.3360798e-07,0.45343754,0.0075979764,0.538016
72,"Raushan Baiseitova became a ballet dancer, People's Artist of the Kazakh SSR.",5.631064e-05,0.051535062,7.6043256e-07,2.047263e-06,4.8981045e-05,0.94835687
73,==,0.12487876,0.2134413,0.0013716016,0.001702674,0.6586056,7.9024026e-08
74,Creativity ==,1.8387676e-06,0.005321811,0.0007097081,0.0013369814,0.9158805,0.07674916
75,Her attraction to the arts was evident from childhood.,0.0026637998,0.026555862,0.8930721,6.323288e-05,0.07764327,1.5827278e-06
76,"The singer's father, Jasyn, was also a singer and spent much time singing and celebrating among the community.",4.610924e-10,2.325465e-08,2.7408774e-08,1.376594e-05,0.9198969,0.08008929
77,"Although her father's interest did not bring income to the family, her father turned to other activities but did not forget the singing.",4.328221e-05,0.00010632025,0.00016787314,0.99712855,0.0025474872,6.5128615e-06
78,It was the motivation for little Kulyash and opened for her an interest in this art..,0.0016867461,0.8873304,0.10246781,0.008461056,5.2484662e-05,1.4594527e-06
79,"During her studies, she showed an interest in the theatre, and she wanted to express herself in singing.",0.00013899193,4.8068967e-05,0.112981014,0.88683194,8.9803487e-10,1.0949682e-11
80,"But due to being expelled and falsely accused, she began to lose hope in her career.",0.0017566626,0.00014570336,0.99809724,4.3168208e-12,1.2723556e-12,3.612948e-07
81,But she got noticed in the theatre when she and another actor began to play.,5.3335595e-12,0.0004745233,8.815528e-10,0.99952555,1.8272451e-13,7.8776124e-14
82,"After this case, her career took off.",0.9999926,5.064874e-09,1.3116187e-10,1.8364192e-10,3.6653954e-13,7.4486784e-06
