thm_type_1,thm_type_2,thm_explanation_1,thm_explanation_2,sentenceIndex,paragraphIndex,source
Personal life,Confidence value: 0.805539,Business meeting,Confidence value: 0.18292172,0,0,ML
Music making,Personal life,Drumming and music career,Early life and upbringing,1,1,LLM
Business meeting,Confidence value: 0.99752563,Coincidence,Confidence value: 0.001511465,3,1,ML
Coincidence,Confidence value: 0.9064345,Music making,Confidence value: 0.068274505,5,1,ML
Music making,Confidence value: 0.9972192,Business meeting,Confidence value: 0.0013954209,6,1,ML
Personal life,Confidence value: 0.6488628,Business meeting,Confidence value: 0.31666765,8,1,ML
Education,Confidence value: 0.4738068,Business meeting,Confidence value: 0.29905424,2,2,ML
Coincidence,Confidence value: 0.98066163,Business meeting,Confidence value: 0.010665162,4,2,ML
Music making,Confidence value: 0.9896221,Coincidence,Confidence value: 0.00925666,5,2,ML
Music making,Personal life,John Bonham's career as a musician,John Bonham's personal background,0,5,LLM
Education,Confidence value: 1.0,Business meeting,Confidence value: 2.8342692e-08,4,5,ML
Business meeting,Confidence value: 0.99607867,Music making,Confidence value: 0.0033324417,5,5,ML
Personal life,Confidence value: 0.77086073,Business meeting,Confidence value: 0.109887876,7,5,ML
Business meeting,Confidence value: 0.8723639,Coincidence,Confidence value: 0.127636,8,5,ML
Music making,Confidence value: 0.99999774,Coincidence,Confidence value: 1.9971028e-06,9,5,ML
Personal life,Confidence value: 0.6712403,Education,Confidence value: 0.2855233,11,5,ML
Business meeting,Confidence value: 0.99825877,Education,Confidence value: 0.0016983778,13,5,ML
Coincidence,Confidence value: 0.99692994,Business meeting,Confidence value: 0.0017900434,16,5,ML
Music making,Confidence value: 0.6423845,Business meeting,Confidence value: 0.35461634,17,5,ML
Business meeting,Confidence value: 0.99721885,Music making,Confidence value: 0.002656026,0,7,ML
Music making,Coincidence,The sentence is about the selection of a drummer for a music project.,The encounter between Bonham and Page was a fortunate coincidence.,2,7,LLM
Education,Confidence value: 0.9982975,Coincidence,Confidence value: 0.0012874448,4,7,ML
Music making,Personal life,Related to the music industry,About personal relationships,0,8,LLM
Coincidence,Confidence value: 0.73330665,Music making,Confidence value: 0.22953154,11,8,ML
Business meeting,Confidence value: 0.9246601,Coincidence,Confidence value: 0.07445907,0,10,ML
Music making,Confidence value: 0.9791332,Business meeting,Confidence value: 0.02086651,1,10,ML
Music making,Confidence value: 1.0,Business meeting,Confidence value: 5.9867125e-09,2,10,ML
Music making,Personal life,Involvement in music production,Reference to star sign,3,10,LLM
Music making,Personal life,Involvement in music collaborations,Friendship with Roy Wood,4,10,LLM
Music making,Confidence value: 1.0,Coincidence,Confidence value: 1.6658248e-08,5,10,ML
