,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,"Dennis Carl Wilson (December 4, 1944 – December 28, 1983) was an American musician, singer, and songwriter who co-founded the Beach Boys.",1.4093488e-05,0.317045,0.010039035,0.1645052,0.48892394,0.019472715
1,He is best remembered as their drummer and as the middle brother of bandmates Brian and Carl Wilson.,2.1175698e-05,0.00011161412,0.9990305,0.00083372503,2.7737267e-06,2.4673932e-07
2,"Dennis was the only true surfer in the Beach Boys, and his personal life exemplified the ""California Myth"" that the band's early songs often celebrated.",0.0010022554,0.99622464,0.00028825502,5.0055016e-05,9.607612e-06,0.0024252832
3,He was also known for his association with the Manson Family and for co-starring in the 1971 film Two-Lane Blacktop.,0.005761094,1.5652095e-05,1.2689392e-06,0.9879089,0.006295763,1.7269022e-05
4,Wilson served mainly on drums and backing vocals for the Beach Boys.,2.455809e-05,0.00016075905,5.5613455e-05,0.9997582,8.7387343e-07,2.1573938e-10
5,"His playing can be heard on many of the group's hits, belying the popular misconception that he was always replaced on record by studio musicians.",0.016014054,0.7373532,0.005185086,0.24144755,6.7960315e-08,5.9789245e-13
6,"He originally had few lead vocals on the band's songs, but his prominence as a singer-songwriter increased following their 1968 album Friends.",0.994991,0.0049169315,2.6278522e-06,8.9381145e-05,2.8353474e-11,1.1489512e-08
7,"His music is characterized for reflecting his ""edginess"" and ""little of his happy charm"".",0.035161857,0.88475627,2.0738957e-05,0.05279326,0.0046380926,0.022629637
8,"His original songs for the group included ""Little Bird"" (1968) and ""Forever"" (1970).",0.8990984,1.102214e-06,3.8326544e-08,0.10083469,6.582154e-05,3.2373274e-11
9,"Friends and biographers have asserted that he was an uncredited writer on ""You Are So Beautiful"", a 1974 hit for Joe Cocker frequently performed by Wilson in concert.",6.580135e-09,1.4186266e-08,2.7456348e-10,1.0,5.094104e-12,4.7184617e-08
