,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,"Ivana Kiš (born 2 March 1979 in Zagreb) is a Croatian composer of classical music, electronic music and music theatre.",2.3574587e-05,0.025220793,0.00015127622,0.00477953,0.9698036,2.131174e-05
1,"Kiš finished her bachelor composition studies with Marko Ruždjak (2002), and her master studies in the Royal Conservatory of The Hague with Louis Andriessen, Gilius van Bergeijk and Diderik Wagenaar (2006).",2.662487e-08,7.236952e-05,0.99973243,0.00019464834,5.7318925e-07,2.4518236e-09
2,"Kiš' compositions have been performed by many ensembles such as Asko Ensemble, Maarten Altena Ensemble, Zagreb Philharmonic Orchestra, Netherlands Wind Ensemble and The Croatian Television Symphonic Orchestra.",7.392302e-10,1.9386616e-05,0.0004938418,0.9994868,5.8139886e-08,1.4331265e-09
3,"With Tomislav Oliver, Kiš composed the music for Kraljevi bogova, a ballet choreographed by Pascal Touzeau, performed for the first time in Croatian National Theatre in Zagreb in 2015, as a part of the 28th Music Biennale Zagreb.",2.9536718e-06,0.00016503407,3.838436e-07,0.9997125,1.4838658e-06,0.00011758278
4,The entire body of Kiš' work connects music with drama or visual elements.,0.0008307106,0.0001734118,4.507529e-07,0.9989955,2.0818416e-09,3.6113779e-09
5,In the last few years her career is developing in the direction of creating music theatre performances.,0.99992144,4.238651e-09,1.239362e-07,7.84729e-05,6.260767e-11,1.1678722e-11
6,"Since 2007, Kiš lives in Israel, where she teaches music in Tel Aviv and Kiryat Ono.",0.00019053042,3.0749773e-06,0.9997845,2.1928738e-05,1.313252e-08,3.937566e-09
7,==,0.12487809,0.21344268,0.0013716145,0.0017026803,0.65860486,7.902394e-08
8,References ==,2.507712e-05,0.018098895,8.9650435e-05,0.06194967,4.4582564e-09,0.9198367
9,==,0.12487809,0.21344268,0.0013716145,0.0017026803,0.65860486,7.902394e-08
10,External links ==,0.00023526642,1.3075892e-06,6.913511e-10,2.5650536e-07,3.6421334e-08,0.9997632
11,http://www.myspace.com/ivanakis,0.4535982,1.2876281e-05,1.3073609e-06,3.684378e-09,6.128315e-08,0.54638755
