thm_type_1,thm_type_2,thm_explanation_1,thm_explanation_2,sentenceIndex,paragraphIndex,source
Personal life,Confidence value: 0.77854395,Public celebration,Confidence value: 0.17966838,0,0,ML
Public celebration,Confidence value: 0.9999999,Coincidence,Confidence value: 1.6208695e-07,3,0,ML
Music making,Education,Creating and sharing music,Acquiring knowledge and skills,0,1,LLM
Business meeting,Confidence value: 0.98584694,Public celebration,Confidence value: 0.013686814,1,1,ML
Coincidence,Confidence value: 0.89053714,Public celebration,Confidence value: 0.10622787,3,1,ML
Personal life,Confidence value: 1.0,Business meeting,Confidence value: 1.7966125e-08,0,4,ML
Personal life,Confidence value: 0.99999917,Coincidence,Confidence value: 7.722966e-07,1,4,ML
Education,Confidence value: 0.70264924,Business meeting,Confidence value: 0.19396605,2,4,ML
Education,Confidence value: 0.999864,Personal life,Confidence value: 0.00011411771,6,4,ML
Education,Confidence value: 0.9999968,Business meeting,Confidence value: 1.883979e-06,7,4,ML
Education,Confidence value: 0.82234025,Coincidence,Confidence value: 0.12686062,8,4,ML
Education,Confidence value: 0.99856734,Business meeting,Confidence value: 0.0014292069,11,4,ML
Education,Confidence value: 0.9638249,Coincidence,Confidence value: 0.031781625,0,7,ML
Business meeting,Confidence value: 0.9981096,Education,Confidence value: 0.0012239799,1,7,ML
Coincidence,Confidence value: 0.9600109,Education,Confidence value: 0.039971765,4,7,ML
Coincidence,Confidence value: 0.99972194,Personal life,Confidence value: 0.0001214442,7,7,ML
Business meeting,Confidence value: 0.9985044,Public celebration,Confidence value: 0.00088740996,9,7,ML
Business meeting,Confidence value: 0.9017727,Public celebration,Confidence value: 0.09759169,10,7,ML
Public celebration,Confidence value: 0.9973694,Coincidence,Confidence value: 0.0025861405,11,7,ML
Business meeting,Confidence value: 0.8462774,Public celebration,Confidence value: 0.15369394,12,7,ML
Public celebration,Confidence value: 0.9323514,Business meeting,Confidence value: 0.04699057,13,7,ML
Business meeting,Confidence value: 0.9960008,Music making,Confidence value: 0.0022771817,14,7,ML
Coincidence,Confidence value: 0.9369923,Public celebration,Confidence value: 0.054258578,19,7,ML
Education,Confidence value: 0.99972945,Coincidence,Confidence value: 0.00027008736,22,7,ML
Education,Confidence value: 0.90608144,Coincidence,Confidence value: 0.061315905,28,7,ML
Coincidence,Confidence value: 0.9962509,Public celebration,Confidence value: 0.0020397748,31,7,ML
Public celebration,Confidence value: 0.6423927,Business meeting,Confidence value: 0.35707486,0,9,ML
Public celebration,Confidence value: 0.9999336,Coincidence,Confidence value: 4.5330118e-05,1,9,ML
Public celebration,Confidence value: 1.0,Music making,Confidence value: 4.3610445e-11,2,9,ML
Public celebration,Confidence value: 0.9934524,Business meeting,Confidence value: 0.006524879,4,9,ML
Coincidence,Confidence value: 0.41815215,Business meeting,Confidence value: 0.35241735,5,9,ML
Public celebration,Confidence value: 0.7928913,Business meeting,Confidence value: 0.20704776,7,9,ML
Business meeting,Confidence value: 0.9705217,Public celebration,Confidence value: 0.029478274,9,9,ML
Business meeting,Confidence value: 0.9987149,Coincidence,Confidence value: 0.0007831157,10,9,ML
Public celebration,Confidence value: 0.99340725,Business meeting,Confidence value: 0.0065925363,11,9,ML
Coincidence,Confidence value: 0.66998464,Business meeting,Confidence value: 0.24436393,12,9,ML
Business meeting,Confidence value: 0.99896157,Public celebration,Confidence value: 0.00064891396,13,9,ML
Business meeting,Confidence value: 0.9999049,Public celebration,Confidence value: 9.4558e-05,14,9,ML
Public celebration,Confidence value: 0.9208378,Business meeting,Confidence value: 0.07645728,15,9,ML
Coincidence,Confidence value: 0.7614224,Music making,Confidence value: 0.23795697,16,9,ML
Business meeting,Confidence value: 0.78621477,Public celebration,Confidence value: 0.15750284,18,9,ML
Business meeting,Confidence value: 0.9995432,Coincidence,Confidence value: 0.0002926191,20,9,ML
Public celebration,Confidence value: 0.87919724,Business meeting,Confidence value: 0.12074183,23,9,ML
