sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Marzieh (Persian: مرضیه‎, born Khadijeh Ashraf o-Sadat Mortezaie, 22 March 1924 – 13 October 2010), was an Iranian singer of Persian traditional music.",0,0,,1433271,Y,1,1,1
==,0,1,== Career ==,1433271,N,0,0,0
Career ==,1,1,== Career ==,1433271,N,0,0,0
"Marzieh started her career in the 1940s at Radio Tehran and cooperated with some of the greatest 20th century Persian songwriters and lyricists like Ali Tajvidi, Parviz Yahaghi, Homayoun Khorram, Rahim Moeini Kermanshahi and Bijan Taraghi.",0,2,== Career ==,1433271,Y,7,1,2
"Marzieh also sang with the Farabi Orchestre, conducted by Morteza Hannaneh, a pioneer of Persian polyphonic music, during the 1960s and 1970s.",1,2,== Career ==,1433271,C,3,0,1
"Her first major public performance was in 1942, when, though still a teenager, she played the principal role of Shirin at the Jame'eh",2,2,== Career ==,1433271,C,1,0,1
Barbod,3,2,== Career ==,1433271,C,1,0,0
[Barbod Society] opera house in the Persian operetta Shirin and Farhad.,4,2,== Career ==,1433271,C,2,0,0
Following the Islamic Revolution of 1979 public performances and broadcasts of record albums by solo female singers were banned outright for ten years.,5,2,== Career ==,1433271,C,0,0,2
"Ayatollah Khomeini had decreed: ""Women's voices should not be heard by men other than members of their own families.",6,2,== Career ==,1433271,C,1,0,0
"""She told the Daily Telegraph that to continue her vocal practice she used to walk by night from her home in the historic north-Tehran Niavaran foothills to her cabin in the mountains, where she would sing next to a roaring waterfall: ""Nobody could hear me.",7,2,== Career ==,1433271,C,0,0,1
I sang to the stars and the rocks.,8,2,== Career ==,1433271,N,0,0,0
"""Upon the death of Khomeini the succeeding leaders suggested that she could resume singing, provided that she undertook never to sing for men.",9,2,== Career ==,1433271,C,1,0,0
"She refused, declaring, ""I have always sung only for all Iranians"".",10,2,== Career ==,1433271,N,0,0,0
===,0,3,== Career == | === Exile ===,1433271,N,0,0,0
Exile ===,1,3,== Career == | === Exile ===,1433271,N,0,0,0
"In 1994, Marzieh left Iran forever due to the political repression, making her new home in Paris.",0,4,== Career == | === Exile ===,1433271,C,0,2,1
"She performed several concerts in Los Angeles, California and Royal Albert Hall (London) in 1993, 1994 and 1995.",1,4,== Career == | === Exile ===,1433271,C,0,3,1
The Paris-based composer Mohammad Shams and the Persian tar soloist Hamid Reza Taherzadeh were the main musicians who worked with Marzieh in exile.,2,4,== Career == | === Exile ===,1433271,C,1,0,0
Marzieh's last concert was performed at Olympia in 2006.,3,4,== Career == | === Exile ===,1433271,C,0,1,1
"France 3, a regional TV news and entertainment channel, has compared Marzieh's singing voice to those of legendary songstresses Édith Piaf and Maria Callas.",0,5,== Career == | === Exile ===,1433271,C,1,0,0
"On the other hand, the European press have also compared her to Vanessa Redgrave and Melina Mercouri for her willingness to put political and human-rights beliefs ahead of her career, and even ahead of her own safety.",1,5,== Career == | === Exile ===,1433271,C,2,0,0
==,0,6,== Death ==,1433271,N,0,0,0
Death ==,1,6,== Death ==,1433271,N,0,0,0
"Marzieh died of cancer in Paris on 13 October 2010, aged 86.",0,7,== Death ==,1433271,C,0,1,1
"Maryam Rajavi, co-leader of the People's Mujahedin of Iran, delivered her eulogy.",1,7,== Death ==,1433271,C,1,1,0
==,0,8,== References ==,1433271,N,0,0,0
References ==,1,8,== References ==,1433271,N,0,0,0
==,0,9,== External links ==,1433271,N,0,0,0
External links ==,1,9,== External links ==,1433271,N,0,0,0
Marzieh's songs @ Radio Golchin,0,10,== External links ==,1433271,N,0,0,0
Marzieh's Songs and Albums,0,11,== External links ==,1433271,N,0,0,0
"Marzieh concert at Royal Albert Hall, conducted by Mohammad Shams, 1993 on YouTube",0,12,== External links ==,1433271,Y,1,1,1
Fans website of Marzieh,0,13,== External links ==,1433271,N,0,0,0
Marzieh Songs and lyrics in Persian,0,14,== External links ==,1433271,N,0,0,0
Marzieh on Spotify,0,15,== External links ==,1433271,N,0,0,0
