sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Joseph Edward Filippelli (March 26, 1915 – August 17, 2001), known professionally as Flip Phillips, was an American jazz tenor saxophone and clarinet player.",0,0,,2519838,Y,3,1,1
He is best remembered for his work with Norman Granz's Jazz at the Philharmonic concerts from 1946 to 1957.,1,0,,2519838,C,2,0,1
Phillips recorded an album for Verve when he was in his 80s.,2,0,,2519838,N,0,0,0
"He performed in a variety of genres, including mainstream jazz, swing, and jump blues.",3,0,,2519838,N,0,0,0
==,0,1,== Career ==,2519838,N,0,0,0
Career ==,1,1,== Career ==,2519838,N,0,0,0
"He was born in Brooklyn, New York, United States.",0,2,== Career ==,2519838,C,0,3,0
"During the 1930s, Phillips played clarinet in a restaurant in Brooklyn.",1,2,== Career ==,2519838,C,0,1,1
"After that he was a member of bands led by Frankie Newton, Red Norvo, Benny Goodman, and Wingy Manone.",2,2,== Career ==,2519838,C,6,0,0
He was a regular soloist for the Woody Herman band in the middle 1940s and for the next ten years performed with Jazz at the Philharmonic.,3,2,== Career ==,2519838,C,2,0,2
"He retired to Florida, but after fifteen years he returned to music, recording again and performing into his 80s.",4,2,== Career ==,2519838,C,0,1,1
"He recorded extensively for Clef in the 1940s and 1950s, including a 1949 album of small-group tracks under his leadership with Buddy Morrow, Tommy Turk, Kai Winding, Sonny Criss, Ray Brown, and Shelly Manne.",5,2,== Career ==,2519838,C,10,0,2
He accompanied Billie Holiday on her 1952 album Billie Holiday Sings.,6,2,== Career ==,2519838,C,2,0,1
"He died in August 2001, in Fort Lauderdale, Florida, at the age of 86.",7,2,== Career ==,2519838,C,0,1,1
==,0,3,== Discography ==,2519838,N,0,0,0
Discography ==,1,3,== Discography ==,2519838,N,0,0,0
===,0,4,== Discography == | === As leader ===,2519838,N,0,0,0
As leader ===,1,4,== Discography == | === As leader ===,2519838,N,0,0,0
"Flip Phillips Collates (Clef, 1952)",0,5,== Discography == | === As leader ===,2519838,C,2,0,1
"Flip Phillips Collates Vol. 2 (Clef, 1953)",0,6,== Discography == | === As leader ===,2519838,C,2,0,1
"Flip Phillips Quartet (Mercury, 1953)",0,7,== Discography == | === As leader ===,2519838,C,2,0,1
"Jumping Moods (Clef, 1954)",0,8,== Discography == | === As leader ===,2519838,C,0,0,1
"Rock with Flip (Clef, 1954)",0,9,== Discography == | === As leader ===,2519838,C,0,0,1
"The Flip Phillips Buddy Rich Trio (Clef, 1954)",0,10,== Discography == | === As leader ===,2519838,C,0,0,1
"Flip Phillips Quintet (Clef, 1955)",0,11,== Discography == | === As leader ===,2519838,C,2,0,1
"The Battle of the Saxes (American Recording Society, 1956)",0,12,== Discography == | === As leader ===,2519838,C,0,1,1
"Flip (Clef, 1956)",0,13,== Discography == | === As leader ===,2519838,C,0,0,1
"Flip Wails (Clef, 1956)",0,14,== Discography == | === As leader ===,2519838,C,0,0,1
Swingin' with Flip Phillips and His Orchestra (1956),0,15,== Discography == | === As leader ===,2519838,C,2,0,1
"Flip in Florida (Onyx, 1963)",0,16,== Discography == | === As leader ===,2519838,C,0,1,1
Your Place or Mine?,0,17,== Discography == | === As leader ===,2519838,N,0,0,0
"(Jump, 1963)",1,17,== Discography == | === As leader ===,2519838,C,0,0,1
