sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"John Herbert Gleason (February 26, 1916 – June 24, 1987) was an American actor, comedian, writer, composer, and conductor known affectionately as ""The Great One.""",0,0,,143114,Y,1,1,1
"Developing a style and characters from growing up in Brooklyn, New York, he was known for his brash visual and verbal comedy, exemplified by his city-bus-driver Ralph Kramden character in the television series The Honeymooners.",1,0,,143114,C,0,2,0
"He also developed The Jackie Gleason Show, which maintained high ratings from the mid-1950s through 1970.",2,0,,143114,C,0,0,1
"After originating in New York City, filming moved to Miami Beach, Florida, in 1964 after Gleason took up permanent residence there.",3,0,,143114,Y,1,2,1
"Among his notable film roles were Minnesota Fats in 1961's The Hustler (co-starring with Paul Newman), and Buford T. Justice in the Smokey and the Bandit series from 1977 to 1983 (co-starring Burt Reynolds).",0,1,,143114,Y,2,2,2
"Gleason enjoyed a prominent secondary music career during the 1950s and 1960s, producing a series of best-selling ""mood music"" albums.",0,2,,143114,C,1,0,1
"His first album, Music for Lovers Only, still holds the record for the longest stay on the Billboard Top Ten Charts (153 weeks), and his first 10 albums sold over a million copies each.",1,2,,143114,C,0,0,1
"To date, his output spans some 20-plus singles, nearly 60 long-playing record albums, and over 40 CDs.",2,2,,143114,N,0,0,0
==,0,3,== Early life ==,143114,N,0,0,0
Early life ==,1,3,== Early life ==,143114,N,0,0,0
"John Herbert Gleason was born on February 26, 1916, at 364 Chauncey Street in the Stuyvesant Heights, now Bedford-Stuyvesant, section of Brooklyn.",0,4,== Early life ==,143114,Y,2,2,2
"Named Herbert Walton Gleason, Jr. at birth, he was baptized John Herbert Gleason and grew up at 328 Chauncey Apartment 1A (an address he later used for Ralph and Alice Kramden on The Honeymooners).",1,4,== Early life ==,143114,C,3,0,0
"His parents were Herbert Walton ""Herb"" Gleason and Mae ""Maisie"" (née Kelly), originally from Farranree, Cork, Ireland.",2,4,== Early life ==,143114,C,4,1,0
Gleason was one of two children; his brother Clement J. died of meningitis at the age of 14 in 1919.,3,4,== Early life ==,143114,C,1,0,1
"Gleason remembered Clement and his father having ""beautiful handwriting"".",4,4,== Early life ==,143114,C,1,0,0
"He used to watch his father work at the family's kitchen table, writing insurance policies in the evenings.",5,4,== Early life ==,143114,C,0,0,1
"On the night of December 14, 1925, Gleason's father disposed of any family photos in which he appeared; just after noon on December 15, he collected his hat, coat, and paycheck, and permanently left his family and job at the insurance company.",6,4,== Early life ==,143114,C,1,0,4
"Once it became evident that he was not coming back, Mae went to work as a subway attendant for the Brooklyn–Manhattan Transit Corporation (BMT).",7,4,== Early life ==,143114,C,1,1,0
"After his father abandoned the family, young Gleason began hanging around with a local gang, hustling pool.",8,4,== Early life ==,143114,C,1,0,0
He attended P.S. 73 Elementary School in Brooklyn; John Adams High School in Queens; and Bushwick High School in Brooklyn.,9,4,== Early life ==,143114,C,0,4,0
Gleason became interested in performing after being part of a class play; he quit school before graduating and got a job that paid $4 per night as master of ceremonies at a theater.,10,4,== Early life ==,143114,C,1,0,1
"Other jobs he held at that time included working in a pool hall, as a stunt driver, and a carnival barker.",11,4,== Early life ==,143114,N,0,0,0
"Gleason and his friends made the rounds of the local theaters; he put an act together with one of his friends, and the pair performed on amateur night at the Halsey Theater, where Gleason replaced his friend Sammy Birch as master of ceremonies.",12,4,== Early life ==,143114,C,3,0,1
He performed the same duties twice a week at the Folly Theater.,13,4,== Early life ==,143114,C,0,1,1
Gleason was 19 when his mother died in 1935 of sepsis from a large neck carbuncle that young Jackie had tried to lance.,14,4,== Early life ==,143114,C,1,0,1
"He had nowhere to go, and thirty-six cents to his name.",15,4,== Early life ==,143114,C,0,0,1
"The family of his first girlfriend, Julie Dennehy, offered to take him in; Gleason, however, was headstrong and insisted that he was going into the heart of the city.",16,4,== Early life ==,143114,C,1,0,0
His friend Birch made room for him in the hotel room he shared with another comedian.,17,4,== Early life ==,143114,N,0,0,0
"Birch also told him of a week-long gig in Reading, Pennsylvania, which would pay $19, more money than Gleason could imagine.",18,4,== Early life ==,143114,C,1,1,0
"The booking agent advanced his bus fare for the trip against his salary, granting Gleason his first job as a professional comedian.",19,4,== Early life ==,143114,C,1,0,0
Following this he would always have regular work in small clubs.,20,4,== Early life ==,143114,N,0,0,0
==,0,5,== Career ==,143114,N,0,0,0
Career ==,1,5,== Career ==,143114,N,0,0,0
"Gleason worked his way up to a job at New York's Club 18, where insulting its patrons was the order of the day.",0,6,== Career ==,143114,Y,1,1,1
"Gleason greeted noted skater Sonja Henie by handing her an ice cube and saying, ""Okay, now do something.""",1,6,== Career ==,143114,C,2,0,1
"It was here that Jack L. Warner first saw Gleason, signing him to a film contract for $250 a week.",2,6,== Career ==,143114,C,3,0,1
"By age 24, Gleason was appearing in movies: first for Warner Brothers (as Jackie C. Gleason) in such films as Navy Blues (1941) with Ann Sheridan and Martha Raye and All Through the Night (1941) with Humphrey Bogart, for Columbia Pictures for the B military comedy Tramp, Tramp, Tramp! (1942) and finally for Twentieth Century-Fox, where Gleason played Glenn Miller Orchestra bassist Ben Beck in Orchestra Wives (1942).",3,6,== Career ==,143114,C,7,0,6
"He also had a small part as a soda shop clerk in Larceny, Inc. (1942), with Edward G. Robinson, and a modest part as an actor's agent in the 1942 Betty Grable–Harry James musical Springtime in the Rockies.",4,6,== Career ==,143114,C,2,0,3
"During World War II, Gleason was initially exempt from military service, since he was a father of two.",0,7,== Career ==,143114,C,1,0,0
"However, in 1943 the US started drafting men with children.",1,7,== Career ==,143114,C,0,1,1
"Gleason reported to his induction where the doctors discovered that his broken left arm had healed crooked, the area between his thumb and forefinger was nerveless and numb, a pilonidal cyst existed at the end of his coccyx, and that he was 100 pounds overweight.",2,7,== Career ==,143114,C,1,0,0
Gleason was therefore classified 4-F and rejected for military service.,3,7,== Career ==,143114,C,1,0,0
Gleason did not make a strong impression on Hollywood at first; at the time he developed a nightclub act that included comedy and music.,4,7,== Career ==,143114,Y,1,1,1
"At the end of 1942, Gleason and Lew Parker led a large cast of entertainers in the road show production of Olsen and Johnson's New 1943 Hellzapoppin.",5,7,== Career ==,143114,C,3,0,2
He also became known for hosting all-night parties in his hotel suite; the hotel soundproofed his suite out of consideration for its other guests.,6,7,== Career ==,143114,N,0,0,0
"""Anyone who knew Jackie Gleason in the 1940s"", wrote CBS historian Robert Metz, ""would tell you The Fat Man would never make it.",7,7,== Career ==,143114,Y,1,1,1
"His pals at Lindy's watched him spend money as fast as he soaked up the booze.""",8,7,== Career ==,143114,N,0,0,0
Rodney Dangerfield wrote that he witnessed Gleason purchasing marijuana in the 1940s.,9,7,== Career ==,143114,C,1,0,1
Gleason's first significant recognition as an entertainer came on Broadway when he appeared in the hit musical Follow the Girls (1944).,10,7,== Career ==,143114,C,2,0,1
"While working in films in California, Gleason also worked at former boxer Maxie Rosenbloom's nightclub (Slapsy Maxie's, on Wilshire Boulevard).",11,7,== Career ==,143114,Y,3,2,1
===,0,8,== Career == | === Early television ===,143114,N,0,0,0
Early television =,1,8,== Career == | === Early television ===,143114,N,0,0,0
==,2,8,== Career == | === Early television ===,143114,N,0,0,0
"Gleason's big break occurred in 1949, when he landed the role of blunt but softhearted aircraft worker Chester A. Riley for the first television version of the radio comedy The Life of Riley.",0,9,== Career == | === Early television ===,143114,Y,1,1,1
(William Bendix originated the role on radio but was initially unable to accept the television role because of film commitments.),1,9,== Career == | === Early television ===,143114,C,1,0,0
"Despite positive reviews, the show received modest ratings and was cancelled after one year.",2,9,== Career == | === Early television ===,143114,C,0,0,1
Bendix reprised the role in 1953 for a five-year series.,3,9,== Career == | === Early television ===,143114,C,0,0,1
