sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Richard ""Richie"" Hayward (February 6, 1946 – August 12, 2010) was an American drummer best known as a founding member and drummer in the band Little Feat.",0,0,,3204508,C,0,2,1
He performed with several bands and worked as a session player.,1,0,,3204508,N,0,0,0
"Hayward also joined with friends in some small acting roles on television, which included an episode of F Troop.",2,0,,3204508,C,1,0,0
==,0,1,== Career ==,3204508,N,0,0,0
Career ==,1,1,== Career ==,3204508,N,0,0,0
Hayward first appeared to the public as a member of a band based in Southern California.,0,2,== Career ==,3204508,C,1,1,0
"Before he joined Little Feat he was a member of the groups The Fraternity of Man, and then The Factory, which was where he met the frontman of the band, Lowell George.",1,2,== Career ==,3204508,C,2,0,0
"The Factory portrayed an anachronistic Beatlesque band, the Bedbugs, on the February 9, 1967, episode of the sitcom F Troop.",2,2,== Career ==,3204508,C,2,0,1
"In addition to his work with Little Feat, Hayward recorded and performed with many other artists including: Joan Armatrading, Delaney Bramlett, Kim Carnes, Eric Clapton, Ry Cooder, James Cotton, The Doobie Brothers, Bob Dylan, Peter Frampton, Buddy Guy, Arlo Guthrie, Al Kooper, Jonny Lang, Barbra Streisand, Eric Lynn, Nils Lofgren, Taj Mahal, Coco Montoya,  Robert Palmer, Van Dyke Parks, Robert Plant, Paul Rodgers, Linda Ronstadt, Bob Seger, Carly Simon, Nancy Sinatra, Stephen Stills, Tom Waits, John Cale, Warren Zevon, Warren Haynes, Jimmy Herring, and Helen Watson.",3,2,== Career ==,3204508,C,53,2,0
Hayward's talents were also utilized when he appeared as a member of another group in the 1978 film The Buddy Holly Story.,4,2,== Career ==,3204508,C,1,0,1
==,0,3,== Death ==,3204508,N,0,0,0
Death ==,1,3,== Death ==,3204508,N,0,0,0
"Richie Hayward died on August 12, 2010 from complications due to liver cancer.",0,4,== Death ==,3204508,C,2,0,1
"The day after his death Little Feat played a gig at Fairport's Cropredy Convention festival in Cropredy (UK), and spoke of their sadness performing without Hayward, Paul Barrere starting the gig with the words ""Let's Rock For Richie"".",1,4,== Death ==,3204508,Y,3,1,1
==,0,5,== References ==,3204508,N,0,0,0
References ==,1,5,== References ==,3204508,N,0,0,0
==,0,6,== External links ==,3204508,N,0,0,0
External links ==,1,6,== External links ==,3204508,N,0,0,0
Official Little Feat site (Requires Flash),0,7,== External links ==,3204508,N,0,0,0
