sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"George Wallington (October 27, 1924 – February 15, 1993) was an American jazz pianist and composer.",0,0,,877017,Y,1,2,1
==,0,1,== Early life ==,877017,N,0,0,0
Early life ==,1,1,== Early life ==,877017,N,0,0,0
"Wallington was born Giacinto Figlia (some sources give ""Giorgio"") in Sicily, and then moved to the United States (New York) with his family in 1925.",0,2,== Early life ==,877017,C,0,3,1
"His father sang opera and introduced his son to classical music, but Wallington listened to jazz after hearing the music of saxophonist Lester Young.",1,2,== Early life ==,877017,C,2,1,0
"He said that he acquired the name Wallington in high school: ""I like to wear flashy clothes [...] and the kids in the neighborhood would say, 'Hey, look at Wallington!'""",2,2,== Early life ==,877017,C,0,2,0
He left school at the age of 15 to play piano in New York.,3,2,== Early life ==,877017,C,0,1,0
==,0,3,== Later life and career ==,877017,N,0,0,0
Later life and career,1,3,== Later life and career ==,877017,N,0,0,0
==,2,3,== Later life and career ==,877017,N,0,0,0
"From 1943 to 1953, Wallington played with Dizzy Gillespie, Joe Marsala, Charlie Parker, Serge Chaloff, Allen Eager, Kai Winding, Terry Gibbs, Brew Moore, Al Cohn, Gerry Mulligan, Zoot Sims, and Red Rodney, and recorded as a leader for Savoy and Blue Note (1950).",0,4,== Later life and career ==,877017,Y,24,1,2
Wallington toured Europe in 1953 with Lionel Hampton's big band.,1,4,== Later life and career ==,877017,C,0,3,1
"In 1954-60, he led bands in New York that contained rising musicians including Donald Byrd, Jackie McLean, and Phil Woods.",2,4,== Later life and career ==,877017,Y,6,1,1
"From 1954 to 1960, he led groups in New York that included newcomers Donald Byrd, Jackie McLean, and Phil Woods, recording as leader with these musicians for the Prestige and Atlantic labels.",3,4,== Later life and career ==,877017,Y,6,1,1
"In 1960, Wallington stopped playing music and moved to Florida to work in the family air conditioning business, citing the stress of endless touring.",0,5,== Later life and career ==,877017,C,0,2,1
"He returned to music in 1984 and recorded three albums, Virtuoso in 1984, Symphony of a Jazz Piano in 1986 and Pleasure of a Jazz Inspiration in 1992.",1,5,== Later life and career ==,877017,C,0,0,4
He also performed at the 1985 Kool Jazz Festival in New York.,2,5,== Later life and career ==,877017,C,0,1,1
==,0,6,== Compositions ==,877017,N,0,0,0
Compositions ==,1,6,== Compositions ==,877017,N,0,0,0
"His best-known compositions are ""Lemon Drop"" (which gained attention when played by Woody Herman in the late 1940s), and ""Godchild"" (one of the pieces played for The Birth of the Cool recordings led by Miles Davis).",0,7,== Compositions ==,877017,C,4,0,1
==,0,8,== Discography ==,877017,N,0,0,0
Discography ==,1,8,== Discography ==,877017,N,0,0,0
===,0,9,== Discography == | === As leader ===,877017,N,0,0,0
As leader ===,1,9,== Discography == | === As leader ===,877017,N,0,0,0
===,0,10,== Discography == | === As sideman ===,877017,N,0,0,0
As sideman =,1,10,== Discography == | === As sideman ===,877017,N,0,0,0
==,2,10,== Discography == | === As sideman ===,877017,N,0,0,0
==,0,11,== References ==,877017,N,0,0,0
References ==,1,11,== References ==,877017,N,0,0,0
==,0,12,== External links ==,877017,N,0,0,0
External links ==,1,12,== External links ==,877017,N,0,0,0
MusicWeb Encyclopaedia of Popular Music,0,13,== External links ==,877017,N,0,0,0
