sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Frank Edward Wilson (December 5, 1940 – September 27, 2012) was an American songwriter, singer and record producer for Motown Records.",0,0,,1399340,C,2,0,1
==,0,1,== Biography ==,1399340,N,0,0,0
Biography ==,1,1,== Biography ==,1399340,N,0,0,0
"In 1965, Berry Gordy asked the producers Hal Davis and Marc Gordon to set up an office of Motown in Los Angeles.",0,2,== Biography ==,1399340,Y,6,1,1
Wilson accepted an offer to join the team.,1,2,== Biography ==,1399340,C,1,0,0
"In December 1965, ""Stevie"" by Patrice Holloway (V.I.P. 25001) was the first single released from the West Coast operation and featured Wilson in the songwriting credits.",2,2,== Biography ==,1399340,Y,3,1,2
"Asked by Gordy to re-locate to Detroit, Wilson went on to write and produce hit records for Brenda Holloway, Marvin Gaye, the Supremes, the Miracles, the Four Tops, the Temptations, Eddie Kendricks, and more.",3,2,== Biography ==,1399340,C,7,1,0
He became particularly important after Holland-Dozier-Holland left the company.,4,2,== Biography ==,1399340,N,0,0,0
"Additionally, after leaving Motown, Wilson produced a gold disc earning album by Lenny Williams, former lead singer for Tower of Power, Marilyn McCoo & Billy Davis Jr, former members of the Fifth Dimension, Alton McClain & Destiny, New Birth and the Grammy nominated album, Motown Comes Home.",5,2,== Biography ==,1399340,C,7,0,0
"He also launched his own publishing firms, Traco Music and Specolite Music, Ascap and BMI companies.",0,3,== Biography ==,1399340,N,0,0,0
"During the next four years, Wilson recorded, released and published more than 40 copyrighted compositions, including, ""It Must Be Love"", by Judy Wieder & John Footman, ""Stares and Whispers"" by Terry McFadden and John Footman, ""Star Love"" by Judy Wieder and John Footman, and ""You Got Me Running"" by Judy Wieder and Clay Drayton.",1,3,== Biography ==,1399340,C,6,0,1
"Earlier, Wilson had also tried his hand at being a recording artist himself, recording the single ""Do I Love You (Indeed I Do)"" for release on the Motown subsidiary label 'Soul.'",2,3,== Biography ==,1399340,C,1,0,0
"Supposedly 250 demo 45s were pressed, but by that time Wilson decided he would rather focus on producing and he had the demos trashed.",3,3,== Biography ==,1399340,C,1,0,0
"Somehow at least two known copies survived, one of which fetched over £25,000 in May 2009.",4,3,== Biography ==,1399340,C,0,0,1
"Because of the scarcity of the original single and the high quality of the music (it was one of the most popular records in the Northern soul movement), it has been championed as one of the rarest and most valuable records in history (along with other ""impossible to find"" records by such acts as Bessie Smith, Louis Armstrong, and the Five Sharps).",5,3,== Biography ==,1399340,C,3,0,0
Wilson left Motown in 1976 and became a born again Christian.,0,4,== Biography ==,1399340,C,1,0,1
"He became a minister, traveling and writing books with his wife Bunny Wilson, and was also involved in the production of gospel music as well.",1,4,== Biography ==,1399340,C,1,0,0
"In 2004, was awarded an Honorary Doctorate of Divinity from Vision International University in Ramona, California and founded the New Dawn Christian Village in Los Angeles.",2,4,== Biography ==,1399340,C,0,3,2
==,0,5,== Books ==,1399340,N,0,0,0
Books ==,1,5,== Books ==,1399340,N,0,0,0
"Wilson is the author of The Master Degree-Majoring in Your Marriage and Unmasking the Lone Ranger, a best seller for men.",0,6,== Books ==,1399340,C,1,0,0
Both were published by Harvest House Publishers.,1,6,== Books ==,1399340,N,0,0,0
He conducted Unmasking the Lone Ranger and Master's Degree seminars nationally and internationally based upon his books.,2,6,== Books ==,1399340,N,0,0,0
"Wilson has also appeared on numerous television talk shows including, Two on the Town, The Other Half, and The Oprah Winfrey Show.",3,6,== Books ==,1399340,C,1,0,0
==,0,7,== Early and personal life ==,1399340,N,0,0,0
Early and personal life ==,1,7,== Early and personal life ==,1399340,N,0,0,0
"Wilson was born on December 5, 1940 in Houston, Texas to James Wilson and Samanther Gibbs.",0,8,== Early and personal life ==,1399340,Y,2,2,1
"Mr. Wilson attended Southern University in Baton Rouge but only for one year, he had participated in a civil rights protest and during his sophomore year he lost his scholarship.",1,8,== Early and personal life ==,1399340,Y,2,1,2
"While still in his teens, he moved to Los Angeles, California.",2,8,== Early and personal life ==,1399340,C,0,1,0
"His first marriage was to singer Barbara Jean Dedmon, however she died in 1966.",0,9,== Early and personal life ==,1399340,C,1,0,1
"His second wife was Bunny Wilson, together they had four daughters including the author, Fawn Weaver.",1,9,== Early and personal life ==,1399340,C,1,0,0
He also had one son from a prior relationship.,2,9,== Early and personal life ==,1399340,N,0,0,0
"Wilson died on September 27, 2012 in Duarte, California after a long battle with prostate cancer, he was 71 years old.",3,9,== Early and personal life ==,1399340,Y,1,1,2
==,0,10,== Discography ==,1399340,N,0,0,0
Discography ==,1,10,== Discography ==,1399340,N,0,0,0
==,0,11,== Songwriting and song production highlights ==,1399340,N,0,0,0
Songwriting and song production highlights ==,1,11,== Songwriting and song production highlights ==,1399340,N,0,0,0
===,0,12,== Songwriting and song production highlights == | === Albums ===,1399340,N,0,0,0
Albums ===,1,12,== Songwriting and song production highlights == | === Albums ===,1399340,N,0,0,0
===,0,13,== Songwriting and song production highlights == | === Singles ===,1399340,N,0,0,0
Singles =,1,13,== Songwriting and song production highlights == | === Singles ===,1399340,N,0,0,0
==,2,13,== Songwriting and song production highlights == | === Singles ===,1399340,N,0,0,0
==,0,14,== References ==,1399340,N,0,0,0
References ==,1,14,== References ==,1399340,N,0,0,0
==,0,15,== External links ==,1399340,N,0,0,0
External links ==,1,15,== External links ==,1399340,N,0,0,0
All Music Guide,0,16,== External links ==,1399340,N,0,0,0
