sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Guy Mitchell (born Albert George Cernik; February 22, 1927 – July 1, 1999) was an American pop singer and actor, successful in his homeland, the UK, and Australia.",0,0,,558203,Y,2,3,1
"He sold 44 million records, including six million-selling singles.",1,0,,558203,N,0,0,0
"In the fall of 1957, Mitchell starred in ABC's The Guy Mitchell Show.",0,1,,558203,C,1,0,2
He appeared as George Romack on the 1961 NBC western detective series Whispering Smith.,1,1,,558203,C,1,0,1
==,0,2,== Life and career ==,558203,N,0,0,0
Life and career ==,1,2,== Life and career ==,558203,N,0,0,0
"Born of Croatian immigrants in Detroit, Michigan, at age 11 he was signed by Warner Brothers Pictures, to be a child star, and  performed on the radio on KFWB in Los Angeles, California.",0,3,== Life and career ==,558203,C,0,3,0
"After leaving school, he worked as a saddlemaker, supplementing his income by singing.",1,3,== Life and career ==,558203,N,0,0,0
"Dude Martin, who had a country music broadcast in San Francisco, hired him for his band.",2,3,== Life and career ==,558203,C,0,1,0
"Mitchell served in the United States Navy for two years in World War II, then sang with Carmen Cavallaro's big band.",0,4,== Life and career ==,558203,C,3,0,1
"In 1947 he recorded for Decca with Cavallaro's band, but left due to food poisoning.",1,4,== Life and career ==,558203,C,0,0,1
"He went next to New York City and made records for King Records as Al Grant (one, ""Cabaret"", appeared in the Variety charts).",2,4,== Life and career ==,558203,C,1,1,0
He won on the radio show Arthur Godfrey's Talent Scouts in 1949 as a soloist.,3,4,== Life and career ==,558203,C,1,0,1
"Mitch Miller, in charge of talent at Columbia Records, noticed Cernik in 1950.",4,4,== Life and career ==,558203,C,2,0,1
"He joined Columbia and took his new stage name at Miller's urging: Miller supposedly said, ""my name is 'Mitchell' and you seem a nice 'guy', so we'll call you Guy Mitchell.""",5,4,== Life and career ==,558203,C,2,0,0
Bob Merrill wrote hits for Mitchell.,6,4,== Life and career ==,558203,C,2,0,0
In the 1950s and 1960s Mitchell acted in such movies as Those Redheads From Seattle (1953) and Red Garters (1954).,7,4,== Life and career ==,558203,C,0,0,3
"He appeared in ""Choose a Victim"", a 1961 episode of Thriller.",8,4,== Life and career ==,558203,C,0,0,1
"In 1990 he appeared in several episodes of the BBC drama series Your Cheatin’ Heart as the fictional country singer Jim Bob O’May, singing several standards including his own hit ""Singing the Blues"".",9,4,== Life and career ==,558203,C,1,0,2
"His first hit was ""My Heart Cries for You"" (1951).",0,5,== Life and career ==,558203,C,0,0,1
"Other hits included ""Heartaches by the Number"", ""Rock-a-Billy"" (a crossover into the rock and roll field), ""The Same Old Me"", and his biggest hit, ""Singing the Blues"", which was number one for 10 weeks in 1956.",1,5,== Life and career ==,558203,C,0,0,2
==,0,6,== Death ==,558203,N,0,0,0
Death ==,1,6,== Death ==,558203,N,0,0,0
"Mitchell died on July 1, 1999, aged 72, at Desert Springs Hospital in Las Vegas, Nevada of complications from cancer surgery.",0,7,== Death ==,558203,Y,1,1,2
==,0,8,== Tribute ==,558203,N,0,0,0
Tribute ==,1,8,== Tribute ==,558203,N,0,0,0
"In 2007, to commemorate what would have been his 80th birthday, the English division of SonyBMG released The Essential Collection CD.",0,9,== Tribute ==,558203,C,0,0,1
"His song ""Heartaches by the Number"" was part of the soundtrack of the 2010 video game Fallout: New Vegas.",1,9,== Tribute ==,558203,C,0,0,2
==,0,10,== Singles discography ==,558203,N,0,0,0
Singles discography ==,1,10,== Singles discography ==,558203,N,0,0,0
==,0,11,== Best known songs ==,558203,N,0,0,0
Best known songs ==,1,11,== Best known songs ==,558203,N,0,0,0
"""My Heart Cries for You"" (1950)",0,12,== Best known songs ==,558203,C,0,0,1
"""The Roving Kind"" (1951)",0,13,== Best known songs ==,558203,C,0,0,1
"""My Truly, Truly Fair"" (1951)",0,14,== Best known songs ==,558203,C,0,0,1
"""Sparrow In The Treetop"" (1951)",0,15,== Best known songs ==,558203,C,0,0,1
"""Pittsburgh, Pennsylvania"" (1952)",0,16,== Best known songs ==,558203,C,0,2,1
"""She Wears Red Feathers"" (1953)",0,17,== Best known songs ==,558203,C,0,0,1
"""Belle, Belle, My Liberty Belle"" (1951)",0,18,== Best known songs ==,558203,C,0,0,1
"""Feet Up (Pat Him On The Po-po)"" (1952)",0,19,== Best known songs ==,558203,C,0,0,1
"""Heartaches by the Number""  (1959)",0,20,== Best known songs ==,558203,C,0,0,1
"""Knee Deep in the Blues"" (1957)",0,21,== Best known songs ==,558203,C,0,0,1
