sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Michael David Rudd (born 15 June 1945) is a New Zealand-born musician and composer who has been based in Australia since the late 1960s, and who was the leader of Australian progressive rock bands Spectrum and Ariel in the 1970s.",0,0,,1343880,Y,5,1,3
==,0,1,== Biography ==,1343880,N,0,0,0
Biography ==,1,1,== Biography ==,1343880,N,0,0,0
"Michael David Rudd was born in Christchurch, New Zealand.",0,2,== Biography ==,1343880,C,1,2,0
His first major group was the Chants R&B.,1,2,== Biography ==,1343880,N,0,0,0
"The group came to Australia and settled in Melbourne in 1966, but broke up soon afterwards.",2,2,== Biography ==,1343880,C,0,2,1
"Rudd then joined The Party Machine led by Ross Wilson and Ross Hannaford, who later formed Daddy Cool.",3,2,== Biography ==,1343880,C,5,0,0
"After Party Machine split up in late 1969, Rudd formed his own group, Spectrum, one of Australia's first progressive rock groups.",4,2,== Biography ==,1343880,Y,1,1,1
This also marked the beginning of his long association with bassist Bill Putt.,5,2,== Biography ==,1343880,N,0,0,0
"Spectrum released four LPs and several 7"" singles, including their national No. 1 hit single",6,2,== Biography ==,1343880,N,0,0,0
"I'll Be Gone, which has remained one of the best-known songs of the period, and the first Australian rock double album, Milesago.",7,2,== Biography ==,1343880,N,0,0,0
The group also worked under the pseudonym Indelible Murtceps and recorded one LP under that name.,8,2,== Biography ==,1343880,C,1,0,0
"After Spectrum split in April 1973, Rudd and Putt formed a new group, Ariel.",9,2,== Biography ==,1343880,C,3,0,1
"Along with keyboard player John Mills they joined forces with two leading Sydney musicians, guitarist Tim Gaze and drummer Nigel Macara from the progressive band, Tamam Shud.",10,2,== Biography ==,1343880,C,4,1,0
"They released one successful LP, A Strange Fantastic Dream, in December 1973, but Gaze and Macara left the band soon after it was recorded.",11,2,== Biography ==,1343880,C,0,0,1
"In early 1974, Rudd and Putt began work on an extended concept piece, The Jellabad Mutant, and began rehearsing the music with drummer John Lee, ex-The Dingoes.",0,3,== Biography ==,1343880,C,2,0,1
"Lee then brought in a friend, lead guitarist Harvey James, and this arrangement eventually coalesced into the second line-up of Ariel.",1,3,== Biography ==,1343880,C,3,0,0
"They recorded a full-length demo tape of the planned LP, called The Jellabad Mutant, and presented it to their record label EMI, but to their surprise it was rejected.",2,3,== Biography ==,1343880,N,0,0,0
"However, by this time the band had gained some critical praise in the United Kingdom, thanks in part to leading disc jockey John Peel, and this led EMI's parent office in London to invite the group to record their next album at Abbey Road Studios.",0,4,== Biography ==,1343880,C,1,2,0
"However, the rejection of the Mutant album left the band with no new material, and when they arrived in London they discovered that EMI were expecting the line-up that had recorded the first LP.",1,4,== Biography ==,1343880,C,0,1,0
"Rudd hastily wrote a number of new songs, but to complete the LP they were forced to fall back on Rudd's back-catalogue, recording new versions of several Spectrum/Murtceps songs.",2,4,== Biography ==,1343880,C,2,0,0
"The resulting album, Rock'n'Roll Scars, was mixed by the EMI recording engineer Geoff Emerick, who had worked with The Beatles.",3,4,== Biography ==,1343880,C,2,0,0
"In January 1975, Ariel was expanded to a five-piece with the addition of New Zealand singer-songwriter-guitarist Glyn Mason.",0,5,== Biography ==,1343880,C,0,1,1
This line-up recorded only one single and lasted until early 1976.,1,5,== Biography ==,1343880,C,0,0,1
"Lead guitarist Harvey James left to join chart-topping Australian pop band Sherbet in March, (he was replaced by keyboardist Tony Slavich) and drummer John Lee quit to join English band, Dirty Tricks, during Ariel's second visit to the UK in April.",2,5,== Biography ==,1343880,C,5,0,2
"He was briefly replaced by Nigel Macara, who quit again in October 1976, to be replaced by Iain McLennan.",3,5,== Biography ==,1343880,C,2,0,1
"Ariel continued to record and perform until July 1977, when they announced their break-up; they performed their farewell concert at the Dallas Brooks Hall in Melbourne on 31 August 1977; the show was recorded and later released on two LP's: Aloha; then Ariel Live!!-More From Before.",0,6,== Biography ==,1343880,Y,5,1,2
"After Ariel, Rudd moved into promotion and production for a time.",0,7,== Biography ==,1343880,C,1,0,0
He produced the debut album for Newcastle bands Daniel and Jab and demos for Jane Clifton (ex-Melbourne band Stiletto).,1,7,== Biography ==,1343880,C,1,1,0
"Rudd and Putt later formed a succession of groups, in the 1980s — Mike Rudd's Instant Replay, Mike Rudd & The Heaters (both also with Tony Slavich) and the more electronically oriented W.H.Y. (Weird Harold and You), a drummer-less trio comprising Rudd, Putt and John Moon and featuring Weird Harold, an early but cantankerous drum-machine—but none achieved the same level of success as Spectrum or Ariel.",0,8,== Biography ==,1343880,Y,6,2,1
"Although Rudd was forced to withdraw from performing for several years due to the illness and subsequent death of his wife Helen, Rudd and Putt sustained an enduring musical partnership, including reunions of Spectrum during the 1980s, and a duo album in 1996, Living on a Volcano.",0,9,== Biography ==,1343880,C,4,0,3
"A new three-piece incarnation of Spectrum, with drummer Peter 'Robbo' Robertson, debuted in the late 1990s as Spectrum Play The Blues with a CD Spill, which took them back to their musical roots.",1,9,== Biography ==,1343880,C,5,0,1
"Ariel also reformed for occasional gigs with varying line-ups, including a final reunion of the 'Mark II' line-up with Harvey James and John Lee, which took place not long before Lee's untimely death in July 1998.",2,9,== Biography ==,1343880,C,5,0,1
"Rudd, Putt and Robertson continued to perform and record as Spectrum, with occasional help from keyboardist Daryl Roberts, until Putt's death in Strathewen on 7 August 2013, ending an enduring 44 year partnership.",0,10,== Biography ==,1343880,Y,2,1,2
"Spectrum now continued as Mike Rudd with Broc O'Connor (bass), Peter 'Robbo' Robertson (percussion) and Daryl Roberts (keyboards).",1,10,== Biography ==,1343880,Y,5,1,1
Rudd's entire back-catalogue was re-released on Spotify and iTunes in August 2015.,2,10,== Biography ==,1343880,C,1,0,1
==,0,11,== Discography ==,1343880,N,0,0,0
Discography ==,1,11,== Discography ==,1343880,N,0,0,0
===,0,12,== Discography == | === Albums ===,1343880,N,0,0,0
Albums ===,1,12,== Discography == | === Albums ===,1343880,N,0,0,0
