sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Claudius Afolabi Siffre (born 25 June 1945) is a British singer, songwriter, musician and poet.",0,0,,1035724,Y,2,1,1
"Siffre released six albums between 1970 and 1975, and four between 1988 and 1998.",1,0,,1035724,C,0,0,2
"His best known compositions include ""It Must Be Love"" (which was famously covered by the band Madness), ""Crying Laughing Loving Lying"", and ""(Something Inside)",2,0,,1035724,N,0,0,0
"So Strong"".",3,0,,1035724,N,0,0,0
"His music has been sampled extensively by hip-hop artists such as Eminem and Jay-Z. Siffre has published essays, the stage and TV play Deathwrite and three volumes of poetry: Nigger, Blood on the Page, and Monument.",4,0,,1035724,C,2,0,0
==,0,1,== Early life and education ==,1035724,N,0,0,0
Early life and education,1,1,== Early life and education ==,1035724,N,0,0,0
==,2,1,== Early life and education ==,1035724,N,0,0,0
"Claudius Afolabi Siffre was born as the fourth of five children at Queen Charlotte's and Chelsea Hospital in Hammersmith, London to a British mother of Barbadian–Belgian descent and a Nigerian father.",0,2,== Early life and education ==,1035724,C,3,3,0
"Siffre was brought up in Bayswater and Hampstead and educated at a Catholic independent day school, St Benedict's School, in Ealing, West London.",1,2,== Early life and education ==,1035724,Y,1,3,1
"Despite his Catholic education, Siffre has stated that he has always been an atheist.",2,2,== Early life and education ==,1035724,N,0,0,0
"He studied music at the Eric Gilder School of Music in Wardour Street, Soho.",0,3,== Early life and education ==,1035724,C,1,1,0
"Gilder is remembered with gratitude in his poem ""education education education"".",1,3,== Early life and education ==,1035724,N,0,0,0
"After leaving school, Siffre worked as a taxi driver and a deliveryman before deciding to concentrate on music.",2,3,== Early life and education ==,1035724,N,0,0,0
"He moved to Cannes, France, where he played guitar with various soul musicians and bands but subsequently returned to the United Kingdom in the late 1960s.",3,3,== Early life and education ==,1035724,C,0,3,1
==,0,4,== Musical career ==,1035724,N,0,0,0
Musical career ==,1,4,== Musical career ==,1035724,N,0,0,0
"Siffre played jazz guitar at Annie Ross's jazz club in Soho in the 1960s as part of a Hammond organ, guitar, drums house band.",0,5,== Musical career ==,1035724,Y,3,1,1
He released six albums between 1970 and 1975.,1,5,== Musical career ==,1035724,C,0,0,1
"In the 1970s, he released 16 singles, three of which became hits: ""It Must Be Love"" (No. 14, 1971) (later covered by and a No. 4 hit for Madness, for which Siffre himself appeared in the video); ""Crying Laughing Loving Lying"" (No. 11, 1972); and ""Watch Me"" (No. 29, 1972).",2,5,== Musical career ==,1035724,C,0,0,4
"In 1978, Siffre took part in the UK heats of the Eurovision Song Contest.",3,5,== Musical career ==,1035724,C,0,1,1
"He performed his own composition ""Solid Love"", which placed fifth of the twelve songs up for consideration at the A Song for Europe contest.",4,5,== Musical career ==,1035724,C,0,1,0
"Additionally, he co-wrote the song ""We Got It Bad"" performed by Bob James, which came tenth.",5,5,== Musical career ==,1035724,C,2,1,0
"Siffre came out of self-imposed retirement from music in 1985, when he saw a television film from Apartheid South Africa showing a white soldier shooting at black children.",0,6,== Musical career ==,1035724,C,0,1,1
"He wrote ""(Something Inside)",1,6,== Musical career ==,1035724,N,0,0,0
"So Strong"" (No. 4, 1987) and released four more albums between 1988 and 1998.",2,6,== Musical career ==,1035724,C,0,0,2
"Different parts of Siffre's 1975 track ""I Got The..."" were sampled in popular hip hop music songs in the 1990s, most notably in the 1999 Eminem single ""My Name Is"".",0,7,== Musical career ==,1035724,C,1,0,3
"As a result of the song's newfound fame, it was finally released as a single in 2006.",1,7,== Musical career ==,1035724,C,0,0,1
"Siffre's 1972 Song ""My Song"" the tenth track on his junior album Crying Laughing Loving",2,7,== Musical career ==,1035724,C,0,0,1
"Lying was sampled by Kanye West on the song ""I Wonder"" off his 3rd album Graduation.",3,7,== Musical career ==,1035724,C,1,0,0
==,0,8,== Personal life ==,1035724,N,0,0,0
Personal life ==,1,8,== Personal life ==,1035724,N,0,0,0
Siffre met Peter John Carver Lloyd in July 1964.,0,9,== Personal life ==,1035724,C,1,0,1
"They remained together until Lloyd's death in 2013, having entered a civil partnership in 2005, as soon as this was possible in the UK.",1,9,== Personal life ==,1035724,C,0,1,2
"In 2014 Siffre appeared on the BBC Radio 4 series Great Lives, championing the life of British author Arthur Ransome.",2,9,== Personal life ==,1035724,Y,1,1,1
Siffre said that Ransome's Swallows and Amazons books had taught him responsibility for his own actions and also a morality that has influenced and shaped him throughout his life.,3,9,== Personal life ==,1035724,N,0,0,0
==,0,10,== Discography ==,1035724,N,0,0,0
Discography ==,1,10,== Discography ==,1035724,N,0,0,0
===,0,11,== Discography == | === Studio albums ===,1035724,N,0,0,0
Studio albums ===,1,11,== Discography == | === Studio albums ===,1035724,N,0,0,0
Labi Siffre (1970),0,12,== Discography == | === Studio albums ===,1035724,C,2,0,1
The Singer and the Song (1971),0,13,== Discography == | === Studio albums ===,1035724,C,0,0,1
Crying Laughing Loving Lying (1972),0,14,== Discography == | === Studio albums ===,1035724,C,0,0,1
For the Children (1973),0,15,== Discography == | === Studio albums ===,1035724,C,0,0,1
Remember My Song (1975),0,16,== Discography == | === Studio albums ===,1035724,C,0,0,1
Happy (1975),0,17,== Discography == | === Studio albums ===,1035724,C,0,0,1
So Strong (1988),0,18,== Discography == | === Studio albums ===,1035724,C,0,0,1
Man of Reason (1991),0,19,== Discography == | === Studio albums ===,1035724,C,0,0,1
The Last Songs (1998),0,20,== Discography == | === Studio albums ===,1035724,C,0,0,1
Monument (Spoken Word) (1998),0,21,== Discography == | === Studio albums ===,1035724,C,0,0,1
===,0,22,== Discography == | === Live albums ===,1035724,N,0,0,0
Live albums ===,1,22,== Discography == | === Live albums ===,1035724,N,0,0,0
"The Last Songs (Re-mastered)"" (2006)",0,23,== Discography == | === Live albums ===,1035724,C,0,0,1
===,0,24,== Discography == | === Singles ===,1035724,N,0,0,0
Singles =,1,24,== Discography == | === Singles ===,1035724,N,0,0,0
==,2,24,== Discography == | === Singles ===,1035724,N,0,0,0
Notes,0,25,== Discography == | === Singles ===,1035724,N,0,0,0
==,0,26,== Notable cover versions of Siffre's songs ==,1035724,N,0,0,0
Notable cover versions of Siffre's songs ==,1,26,== Notable cover versions of Siffre's songs ==,1035724,N,0,0,0
"""It Must Be Love"" was covered by Madness in 1981.",0,27,== Notable cover versions of Siffre's songs ==,1035724,C,0,0,1
The song reached Number 4 in the UK charts and Number 33 in the U.S. in 1983.,1,27,== Notable cover versions of Siffre's songs ==,1035724,C,0,0,1
Labi Siffre also made a cameo appearance in the music video.,2,27,== Notable cover versions of Siffre's songs ==,1035724,C,2,0,0
"""(Something Inside)",0,28,== Notable cover versions of Siffre's songs ==,1035724,N,0,0,0
"So Strong"" was covered by Kenny Rogers in 1989 (and became the title track to a hit album).",1,28,== Notable cover versions of Siffre's songs ==,1035724,C,2,0,1
The song was also covered by Vanessa Bell Armstrong in 1988 and again by a host of gospel artists as a tribute to Rosa Parks in the mid-1990s.,2,28,== Notable cover versions of Siffre's songs ==,1035724,C,3,0,1
"It was covered by ""eternal"" in 1994 as part of their EP Crazy.",3,28,== Notable cover versions of Siffre's songs ==,1035724,C,0,0,1
"In late 2009, it also featured in the hit BBC comedy Gavin & Stacey, where it was adapted into a Welsh chapel christening ceremony.",4,28,== Notable cover versions of Siffre's songs ==,1035724,C,0,1,1
"Michael Ball also released a cover of the song in 1996, which reached Number 40 in the UK.",0,29,== Notable cover versions of Siffre's songs ==,1035724,C,1,0,1
"Rik Waller, while a contestant on Pop Idol, reached #25 in the UK Singles Chart with the song in 2002.",0,30,== Notable cover versions of Siffre's songs ==,1035724,C,2,0,1
==,0,31,== Bibliography ==,1035724,N,0,0,0
Bibliography ==,1,31,== Bibliography ==,1035724,N,0,0,0
===,0,32,== Bibliography == | === Poetry ===,1035724,N,0,0,0
Poetry =,1,32,== Bibliography == | === Poetry ===,1035724,N,0,0,0
==,2,32,== Bibliography == | === Poetry ===,1035724,N,0,0,0
Nigger (Xavier Books 1993),0,33,== Bibliography == | === Poetry ===,1035724,C,0,0,1
Blood on the Page (Xavier Books 1995),0,34,== Bibliography == | === Poetry ===,1035724,C,0,0,1
Monument (Xavier Books 1997),0,35,== Bibliography == | === Poetry ===,1035724,C,0,0,1
===,0,36,== Bibliography == | === Plays ===,1035724,N,0,0,0
Plays =,1,36,== Bibliography == | === Plays ===,1035724,N,0,0,0
==,2,36,== Bibliography == | === Plays ===,1035724,N,0,0,0
DeathWrite (Xavier Books 1997),0,37,== Bibliography == | === Plays ===,1035724,C,0,0,1
===,0,38,== Bibliography == | === Essays ===,1035724,N,0,0,0
Essays =,1,38,== Bibliography == | === Essays ===,1035724,N,0,0,0
==,2,38,== Bibliography == | === Essays ===,1035724,N,0,0,0
Choosing the Stick They Beat You With (Penguin 2000),0,39,== Bibliography == | === Essays ===,1035724,C,0,0,1
==,0,40,== References ==,1035724,N,0,0,0
References ==,1,40,== References ==,1035724,N,0,0,0
==,0,41,== External links ==,1035724,N,0,0,0
External links ==,1,41,== External links ==,1035724,N,0,0,0
Official website,0,42,== External links ==,1035724,N,0,0,0
"Something Inside So Strong, Soul Music, BBC Radio 4",0,43,== External links ==,1035724,N,0,0,0
"Arthur Ransome, Great Lives, BBC Radio 4",0,44,== External links ==,1035724,C,1,0,0
