sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Lewis Barry Tabackin (born March 26, 1940) is an American jazz tenor saxophonist and flutist.",0,0,,2612142,C,0,2,1
He is married to pianist Toshiko Akiyoshi with whom he has co-led large ensembles since the 1970s.,1,0,,2612142,C,2,0,1
==,0,1,== Biography ==,2612142,N,0,0,0
Biography ==,1,1,== Biography ==,2612142,N,0,0,0
"Tabackin started learning flute at age 12, followed by tenor saxophone at age 15.",0,2,== Biography ==,2612142,N,0,0,0
"He has cited Al Cohn and Coleman Hawkins as influences on saxophone, while his flute role models include classical players such as William Kincaid, Julius Baker, and Jean-Pierre Rampal.",1,2,== Biography ==,2612142,C,9,0,0
Tabackin studied flute at the Philadelphia Conservatory of Music and also studied music with composer Vincent Persichetti.,2,2,== Biography ==,2612142,C,1,0,0
In 1962 he graduated from the Conservatory and after serving with the U.S. Army worked with Tal Farlow.,3,2,== Biography ==,2612142,Y,2,1,1
"He also worked with Chuck Israels in New York City and a band that included Elvin Jones, Donald Byrd, and Roland Hanna.",4,2,== Biography ==,2612142,C,8,1,0
Later he was a member of The Dick Cavett Show band and The Tonight Show Band with Doc Severinsen.,5,2,== Biography ==,2612142,C,2,0,1
He moved from New York to California with The Tonight Show in 1972.,6,2,== Biography ==,2612142,C,0,2,2
During this time he played with Shelly Manne and Billy Higgins.,7,2,== Biography ==,2612142,C,4,0,0
Tabackin met Toshiko Akiyoshi in 1967 while he was playing in Clark Terry's band and she was invited to sit in for Don Friedman.,8,2,== Biography ==,2612142,C,6,0,1
"They formed a quartet in the late 1960s, married in 1969, and in 1973 co-founded the Toshiko Akiyoshi – Lew Tabackin Big Band in Los Angeles, which later became the Toshiko Akiyoshi Jazz Orchestra featuring Lew Tabackin, playing bebop in Duke Ellington-influenced arrangements and compositions by Akiyoshi.",9,2,== Biography ==,2612142,Y,6,1,3
Tabackin was principal soloist for the band from 1973 through 2003.,10,2,== Biography ==,2612142,C,0,0,2
"Critic Scott Yanow describes Tabackin as ""one of the few jazz musicians who has been able to develop completely different musical personalities on two instruments"", with his forceful hard bop style on sax contrasting with his delicate flute playing.",0,3,== Biography ==,2612142,C,1,0,0
==,0,4,== Jazz Foundation of America ==,2612142,N,0,0,0
Jazz Foundation of America ==,1,4,== Jazz Foundation of America ==,2612142,N,0,0,0
"Tabackin supports the Jazz Foundation of America in its mission to help elderly jazz and blues musicians, including those affected by Hurricane Katrina.",0,5,== Jazz Foundation of America ==,2612142,N,0,0,0
He has sat on the Advisory Committee of the Foundation since 2002.,1,5,== Jazz Foundation of America ==,2612142,C,0,0,1
==,0,6,== Discography ==,2612142,N,0,0,0
Discography ==,1,6,== Discography ==,2612142,N,0,0,0
==,0,7,== Awards and honors ==,2612142,N,0,0,0
Awards and honors ==,1,7,== Awards and honors ==,2612142,N,0,0,0
DownBeat magazine Critic's Poll winner:,0,8,== Awards and honors ==,2612142,N,0,0,0
Jazz Album of the Year: 1978 (Insights),0,9,== Awards and honors ==,2612142,C,0,0,2
"Big Band: 1979, 1980, 1981, 1982, 1983",0,10,== Awards and honors ==,2612142,C,0,0,1
"Flute:  1980,  1981, 2010DownBeat magazine Readers' Poll winner:",0,11,== Awards and honors ==,2612142,C,0,0,1
"Big Band: 1978, 1979, 1980, 1981, 1982",0,12,== Awards and honors ==,2612142,C,0,0,1
"Flute: 1981, 1982Grammy Award nominations:",0,13,== Awards and honors ==,2612142,C,0,0,1
"Best Jazz Instrumental Performance - Big Band: 1976 (Long Yellow Road), 1977 (Road Time), 1978 (Insights), 1979 (Kogun), 1980 (Farewell), 1981 (Tanuki's Night Out), 1984 (Ten Gallon Shuffle), 1985 (March of the Tadpoles),  1992 (Carnegie Hall Concert), 1994 (Desert Lady / Fantasy)Swing Journal awards:",0,14,== Awards and honors ==,2612142,C,0,1,12
"Gold Disk: 1976 (Insights), Silver Disk: 1974 (Kogun), 1979 (Salted Gingko Nuts), 1996 (Four Seasons of Morita Village)",0,15,== Awards and honors ==,2612142,C,1,0,4
==,0,16,== References ==,2612142,N,0,0,0
References ==,1,16,== References ==,2612142,N,0,0,0
==,0,17,== External links ==,2612142,N,0,0,0
External links ==,1,17,== External links ==,2612142,N,0,0,0
Official site,0,18,== External links ==,2612142,N,0,0,0
"""Fireside Chat"" at All About Jazz",0,19,== External links ==,2612142,N,0,0,0
Interview by breakthruradio.com,0,20,== External links ==,2612142,N,0,0,0
