sentences,sentenceIndex,paragraphIndex,section,wikiId
Julia Michelle Serano (; born 1967),0,0,N/A,15739133
"is an American writer, musician, spoken-word performer, trans–bi activist, and biologist.",1,0,N/A,15739133
"She is known for her transfeminist books Whipping Girl (2007), Excluded (2013), and Outspoken (2016).",2,0,N/A,15739133
"She is also a prolific public speaker who has given many talks at universities and conferences, and her writing is frequently featured in queer, feminist, and popular culture magazines.",3,0,N/A,15739133
==,0,1,== Life ==,15739133
Life ==,1,1,== Life ==,15739133
Assigned male at birth,0,2,== Life ==,15739133
", Julia Serano stated on her blog, SwitchHitter.net, that she first consciously recognized in herself a desire to be female during the late 1970s, when she was 11 years old.",1,2,== Life ==,15739133
"A few years later, she began crossdressing.",2,2,== Life ==,15739133
"At first, she crossdressed secretively, but she eventually started identifying herself openly as a ""male crossdresser.""",3,2,== Life ==,15739133
Serano attended her first support group for crossdressers in 1994 while she lived in Kansas.,4,2,== Life ==,15739133
"Soon afterward, Serano moved to the San Francisco Bay Area where she met her wife, Dani, in 1998.",5,2,== Life ==,15739133
"Around then, Serano began identifying as not only crossdressing but also transgender and bigender.",6,2,== Life ==,15739133
"In 2001, she began medically transitioning and identifying as a trans woman.",7,2,== Life ==,15739133
==,0,3,== Career ==,15739133
Career ==,1,3,== Career ==,15739133
Serano earned her PhD in biochemistry and molecular biophysics from Columbia University.,0,4,== Career ==,15739133
"She researched genetics and developmental and evolutionary biology at the University of California, Berkeley for 17 years.",1,4,== Career ==,15739133
Serano is the author of Whipping Girl: A Transsexual Woman on Sexism and the Scapegoating of Femininity.,2,4,== Career ==,15739133
"Her second book, Excluded: Making Feminist and Queer Movements More Inclusive, was published on September 10, 2013, by Seal Press.",3,4,== Career ==,15739133
"Her third book, Outspoken: A Decade of Transgender Activism and Trans Feminism, she published herself under Switch Hitter Press, which she founded along with Switch Hitter Records.",4,4,== Career ==,15739133
Outspoken is a 2017 Lambda Literary Award finalist.,5,4,== Career ==,15739133
