sentences,sentenceIndex,paragraphIndex,section,wikiId
"Thelonious Sphere Monk (, October 10, 1917 – February 17, 1982) was an American jazz pianist and composer.",0,0,N/A,84250
"He had a unique improvisational style and made numerous contributions to the standard jazz repertoire, including ""'Round Midnight"", ""Blue Monk"", ""Straight, No Chaser"", ""Ruby, My Dear"", ""In Walked Bud"", and ""Well, You Needn't"".",1,0,N/A,84250
Monk is the second-most-recorded jazz composer after Duke Ellington.,2,0,N/A,84250
"Monk's compositions and improvisations feature dissonances and angular melodic twists and are consistent with his unorthodox approach to the piano, which combined a highly percussive attack with abrupt, dramatic use of switched key releases, silences, and hesitations.",3,0,N/A,84250
"Monk was renowned for a distinct look which included suits, hats, and sunglasses.",0,1,N/A,84250
"He was also noted for an idiosyncratic habit during performances: while other musicians continued playing, Monk would stop, stand up, and dance for a few moments before returning to the piano.",1,1,N/A,84250
"Monk is one of five jazz musicians to have been featured on the cover of Time magazine (the others being Louis Armstrong, Dave Brubeck, Duke Ellington and Wynton Marsalis).",2,1,N/A,84250
==,0,2,== Biography ==,84250
Biography ==,1,2,== Biography ==,84250
===,0,3,== Biography == | === 1917–1933: Early life ===,84250
1917–1933:,1,3,== Biography == | === 1917–1933: Early life ===,84250
Early life ===,2,3,== Biography == | === 1917–1933: Early life ===,84250
"Thelonious Sphere Monk was born two years after his sister Marion on October 10, 1917, in Rocky Mount, North Carolina, and was the son of Thelonious and Barbara Monk.",0,4,== Biography == | === 1917–1933: Early life ===,84250
"His poorly written birth certificate misspelled his first name as ""Thelious"" or ""Thelius"".",1,4,== Biography == | === 1917–1933: Early life ===,84250
"It also did not list his middle name, taken from his maternal grandfather, Sphere Batts.",2,4,== Biography == | === 1917–1933: Early life ===,84250
"His brother, Thomas, was born in January 1920.",3,4,== Biography == | === 1917–1933: Early life ===,84250
"In 1922, the family moved to the Phipps Houses, 243 West 63rd Street, in Manhattan, New York City; the neighborhood was known as San Juan Hill because of the many African-American veterans of the Spanish–American War who lived there (urban renewal displaced the long-time residents of the community, who saw their neighborhood replaced by the Amsterdam Housing Projects and Lincoln Center for the Performing Arts, though the Phipps Houses remained).",4,4,== Biography == | === 1917–1933: Early life ===,84250
"Monk started playing the piano at the age of six, taking lessons from a neighbor, Alberta Simmons, who taught him stride playing in the style of Fats Waller, James P. Johnson and Eubie Blake.",5,4,== Biography == | === 1917–1933: Early life ===,84250
"Monk's mother also taught him to play some hymns, and he would sometimes accompany her singing at church.",6,4,== Biography == | === 1917–1933: Early life ===,84250
"He attended Stuyvesant High School, a public school for gifted students, but did not graduate.",7,4,== Biography == | === 1917–1933: Early life ===,84250
"For two years, between about the ages 10 to 12, Monk's piano teacher was an Austrian-born Jew named Simon Wolf, a pianist and violinist who studied under Alfred Megerlin, the first violinist and concertmaster of the New York Philharmonic.",8,4,== Biography == | === 1917–1933: Early life ===,84250
"Monk learned to play pieces by composers such as Bach, Beethoven, Liszt, and Mozart, but was particularly drawn to pieces by Chopin and  Rachmaninoff.",9,4,== Biography == | === 1917–1933: Early life ===,84250
The lessons were discontinued when it became clear that Monk's main focus was jazz music.,10,4,== Biography == | === 1917–1933: Early life ===,84250
===,0,5,== Biography == | === 1934–1946: Early performing career ===,84250
1934–1946:,1,5,== Biography == | === 1934–1946: Early performing career ===,84250
Early performing career =,2,5,== Biography == | === 1934–1946: Early performing career ===,84250
==,3,5,== Biography == | === 1934–1946: Early performing career ===,84250
"At 17, Monk toured with an evangelist, playing the church organ, and in his late teens he began to find work playing jazz.",0,6,== Biography == | === 1934–1946: Early performing career ===,84250
"In the early to mid-1940s, he was the house pianist at Minton's Playhouse, a Manhattan nightclub.",1,6,== Biography == | === 1934–1946: Early performing career ===,84250
"Much of Monk's style (in the Harlem stride tradition) was developed while he performed at Minton's where he participated in after-hours cutting contests, which featured many leading jazz soloists of the time.",2,6,== Biography == | === 1934–1946: Early performing career ===,84250
"Monk's musical work at Minton's was crucial in the formulation of bebop, which would be furthered by other musicians, including Dizzy Gillespie, Charlie Christian, Kenny Clarke, Charlie Parker, and, later, Miles Davis.",3,6,== Biography == | === 1934–1946: Early performing career ===,84250
Monk is believed to be the pianist featured on recordings Jerry Newman made around 1941 at the club.,4,6,== Biography == | === 1934–1946: Early performing career ===,84250
"Monk's style at this time was later described as ""hard-swinging,"" with the addition of runs in the style of Art Tatum.",5,6,== Biography == | === 1934–1946: Early performing career ===,84250
"Monk's stated influences included Duke Ellington, James P. Johnson, and other early stride pianists.",6,6,== Biography == | === 1934–1946: Early performing career ===,84250
"According to the documentary Thelonious Monk: Straight, No Chaser, Monk lived in the same neighborhood in New York City as Johnson and knew him as a teenager.",7,6,== Biography == | === 1934–1946: Early performing career ===,84250
"Mary Lou Williams, who mentored Monk and his contemporaries, spoke of Monk's rich inventiveness in this period, and how such invention was vital for musicians, since at the time it was common for fellow musicians to incorporate overheard musical ideas into their own works without giving due credit.",0,7,== Biography == | === 1934–1946: Early performing career ===,84250
"""So, the boppers worked out a music that was hard to steal.",1,7,== Biography == | === 1934–1946: Early performing career ===,84250
"I'll say this for the 'leeches,' though: they tried.",2,7,== Biography == | === 1934–1946: Early performing career ===,84250
I've seen them in Minton's busily writing on their shirt cuffs or scribbling on the tablecloth.,3,7,== Biography == | === 1934–1946: Early performing career ===,84250
"And even our own guys, I'm afraid, did not give Monk the credit he had coming.",4,7,== Biography == | === 1934–1946: Early performing career ===,84250
"Why, they even stole his idea of the beret and bop glasses.",5,7,== Biography == | === 1934–1946: Early performing career ===,84250
"""In 1944, Monk cut his first commercial recordings with the Coleman Hawkins Quartet.",6,7,== Biography == | === 1934–1946: Early performing career ===,84250
"Hawkins was one of the earliest established jazz musicians to promote Monk, and the pianist later returned the favor by inviting Hawkins to join him on a 1957 session with John Coltrane.",7,7,== Biography == | === 1934–1946: Early performing career ===,84250
===,0,8,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
1947–1952: Lorraine Gordon =,1,8,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
==,2,8,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"In 1947, Ike Quebec introduced Monk to Lorraine Gordon and her first husband, Alfred Lion, co-founder of Blue Note Records.",0,9,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"From then on, Gordon preached his genius to the jazz world with unrelenting passion.",1,9,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Shortly after meeting Gordon and Lion, Monk made his first recordings as a leader for Blue Note (later anthologized on Genius of Modern Music, Vol. 1), which showcased his talents as a composer of original melodies for improvisation.",2,9,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
Monk Blue Note Sessions were recorded between 1947 and 1952.,3,9,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Monk married Nellie Smith in 1947, and on December 27, 1949 the couple had a son, T. S. Monk (called Toot), who became a jazz drummer.",0,10,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"A daughter, Barbara (affectionately known as Boo-Boo), was born on September 5, 1953 and died of cancer in 1984.",1,10,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"In her autobiography, Gordon spoke of the utter lack of interest in Monk's recordings, which translated to poor sales.",0,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"""I went to Harlem and those record stores didn't want Monk or me.",1,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"I'll never forget one particular owner, I can still see him and his store on Seventh Avenue and 125th Street. '",2,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"He can't play lady, what are you doing up here?",3,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
The guy has two left hands.',4,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"'You just wait,' I'd say. '",5,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"This man's a genius, you don't know anything.'""For",6,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Alfred Lion, co-owner of Blue Note Records, sales were a secondary consideration.",7,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Michael Cuscuna relates that Alfred Lion told him that there were three people in his life that when he heard them, he just flipped and had to record everything they did.",8,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"The first was Monk, the second was Herbie Nichols, and the third was Andrew Hill, where he didn’t care how much money he made or lost.",9,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
He just had to record this music.,10,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Due to Monk's reticence, Gordon became his mouthpiece to the public.",11,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"In February 1948, she wrote to Ralph Ingersoll, the editor of the newspaper PM, and described Monk as ""a genius living here in the heart of New York, whom nobody knows"".",12,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"As a result, one of PM's best writers visited Monk to do a feature on him, but Monk wouldn't speak to the reporter unless Gordon was in the room with him.",13,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"In September of the same year, Lorraine approached Max Gordon, the owner and founder of the Village Vanguard and secured Monk his first gig there.",14,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Monk was showcased at the club for a week, but not a single person came.",15,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"In August 1951, New York City police searched a parked car occupied by Monk and his friend Bud Powell.",16,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"They found narcotics in the car, presumed to have belonged to Powell.",17,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Monk refused to testify against his friend, so the police confiscated his New York City Cabaret Card.",18,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Without this, Monk was nominally unable to play in any New York venue where liquor was served.",19,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
"Although this severely restricted his ability to perform for several years, a coterie of musicians led by Randy Weston introduced Monk to Black-owned bars and clubs in Brooklyn that flouted the law, enabling the pianist to play little-advertised, one-night engagements throughout the borough with a modicum of regularity.",20,11,== Biography == | === 1947–1952: Lorraine Gordon ===,84250
