sentences,sentenceIndex,paragraphIndex,section,wikiId
"Brittany Haas is an American fiddle player, who also sings and plays the banjo.",0,0,N/A,19178631
"She is a member of the Boston-based alternative bluegrass band Crooked Still, which is currently on hiatus.",1,0,N/A,19178631
She is a regular performer on Live From Here.,2,0,N/A,19178631
"She tours with the Haas Marshall Walsh and Haas Kowert Tice trios, and participates in many international fiddlecamps, including the Ossipee Valley Music Festival.",3,0,N/A,19178631
"As of 2018, she is a member of Hawktail, which includes Kowert and Tice, as well as mandolinist Dominic Leslie.",4,0,N/A,19178631
==,0,1,== Early life ==,19178631
Early life ==,1,1,== Early life ==,19178631
Haas grew up in Menlo Park California.,0,2,== Early life ==,19178631
"At the age of eight, her violin teacher gave her some bluegrass sheet music to practice sight reading.",1,2,== Early life ==,19178631
For the next five years she took both classical violin and bluegrass fiddle lessons.,2,2,== Early life ==,19178631
"When she heard Bruce Molsky she recalls “I was like, ‘That’s what I want to do.’ ” .",3,2,== Early life ==,19178631
"At 13 years of age, she switched to the fiddle as her primary instrument.",4,2,== Early life ==,19178631
==,0,3,== Career timeline ==,19178631
Career timeline ==,1,3,== Career timeline ==,19178631
"In 2001, when Haas was 14, she toured with Darol Anger's Republic of Strings.",0,4,== Career timeline ==,19178631
"In 2004, she released her debut, self-titled solo album (produced by Anger on Ook).",0,5,== Career timeline ==,19178631
"It included guest musicians Bruce Molsky, Darol Anger, Todd Sickafoose, Mike Marshall, and her sister, cellist Natalie Haas.",1,5,== Career timeline ==,19178631
"2005-2009 while at Princeton join the “chamber grass” band Crooked Still, with whom she has made four recordings and toured the world.",0,6,== Career timeline ==,19178631
Haas graduated from Princeton University in 2009 with a degree in Evolutionary Biology and a minor in Music Performance.,0,7,== Career timeline ==,19178631
She was a member of the Princeton University Band.,1,7,== Career timeline ==,19178631
"Haas, Sierra Hull (mandolin), Alison Brown (banjo), Todd Phillips (bass), Andy Hall (Dobro), Matt Wingate (guitar) were members of the Porchlight Band, the house band for the bluegrass documentary Porchlight Sessions (cira 2011).",0,8,== Career timeline ==,19178631
In 2015 she and Lauren Rioux recorded a video together on the Roots Channel and often join other groups.,0,9,== Career timeline ==,19178631
"Haas went on tour as part of the band Dave Rawlings Machine, in support of their album Nashville Obsolete.",0,10,== Career timeline ==,19178631
Haas appeared on multiple tracks as a guest performer.,1,10,== Career timeline ==,19178631
The tour started in November 2015 and continued through April 2016.,2,10,== Career timeline ==,19178631
"From 2003 - current, Haas performs with the Haas Kowert Tice trio, with Paul Kowert on bass and Jordan Tice on guitar.",0,11,== Career timeline ==,19178631
The group was renamed Hawktail with the addition of Dominick Leslie on mandolin.,1,11,== Career timeline ==,19178631
Haas appeared on the David Rawlings' Band Acony Records release Poor David's Almanack.,0,12,== Career timeline ==,19178631
==,0,13,== Discography ==,19178631
Discography ==,1,13,== Discography ==,19178631
===,0,14,== Discography == | === Solo ===,19178631
Solo =,1,14,== Discography == | === Solo ===,19178631
==,2,14,== Discography == | === Solo ===,19178631
Brittany Haas (2004),0,15,== Discography == | === Solo ===,19178631
===,0,16,== Discography == | === With Crooked Still ===,19178631
With Crooked Still =,1,16,== Discography == | === With Crooked Still ===,19178631
==,2,16,== Discography == | === With Crooked Still ===,19178631
Hop High(2004),0,17,== Discography == | === With Crooked Still ===,19178631
Still Crooked (2008),0,18,== Discography == | === With Crooked Still ===,19178631
Crooked Still Lives (2009),0,19,== Discography == | === With Crooked Still ===,19178631
Some Strange Country (2010),0,20,== Discography == | === With Crooked Still ===,19178631
===,0,21,== Discography == | === With The Fundies ===,19178631
With The Fundies ===,1,21,== Discography == | === With The Fundies ===,19178631
The Fundies - EP (2012),0,22,== Discography == | === With The Fundies ===,19178631
===,0,23,== Discography == | === With Hass Kowert Tice Trio ===,19178631
With Hass Kowert Tice Trio ===,1,23,== Discography == | === With Hass Kowert Tice Trio ===,19178631
You Got This (2014),0,24,== Discography == | === With Hass Kowert Tice Trio ===,19178631
===,0,25,== Discography == | === With Dave Rawlings Machine ===,19178631
With Dave Rawlings Machine ===,1,25,== Discography == | === With Dave Rawlings Machine ===,19178631
Nashville Obsolete (2015),0,26,== Discography == | === With Dave Rawlings Machine ===,19178631
===,0,27,== Discography == | === With Hawktail ===,19178631
With Hawktail =,1,27,== Discography == | === With Hawktail ===,19178631
=,2,27,== Discography == | === With Hawktail ===,19178631
=,3,27,== Discography == | === With Hawktail ===,19178631
Unless (2018),0,28,== Discography == | === With Hawktail ===,19178631
Formations (2020),0,29,== Discography == | === With Hawktail ===,19178631
==,0,30,== References ==,19178631
References ==,1,30,== References ==,19178631
==,0,31,== External links ==,19178631
External links ==,1,31,== External links ==,19178631
Official website,0,32,== External links ==,19178631
Porchlight Sessions,0,33,== External links ==,19178631
Nashvillescene.com,0,34,== External links ==,19178631
Mainstreettakoma.org,0,35,== External links ==,19178631
Video by Empty Sea Productions 1:31:10,0,36,== External links ==,19178631
