sentences,sentenceIndex,paragraphIndex,section,wikiId
Preeya Kalidas (born 21 June 1980) is a British singer and actress.,0,0,N/A,11931611
"She played Amira Masood in the soap opera EastEnders, from 2009 to 2012.",1,0,N/A,11931611
"She released the single ""Shimmy"" in July 2010, taken from her proposed debut album (I'm Over It) Constant Craving; however, the album was never released.",2,0,N/A,11931611
==,0,1,== Early life ==,11931611
Early life ==,1,1,== Early life ==,11931611
"Preeya Kalidas was born to Indian Gujarati parents in Isleworth, and was raised in Twickenham, South-West London.",0,2,== Early life ==,11931611
"Her father is an independent financial adviser, and her mother works for British Airways.",1,2,== Early life ==,11931611
"She started ballet classes at the age of three, and tap at five.",2,2,== Early life ==,11931611
She then trained at the Sylvia Young Theatre School in London.,3,2,== Early life ==,11931611
She also trained at Songtime Theatre Arts.,4,2,== Early life ==,11931611
==,0,3,== Career ==,11931611
Career ==,1,3,== Career ==,11931611
===,0,4,== Career == | === 1998–2010 ===,11931611
1998–2010,1,4,== Career == | === 1998–2010 ===,11931611
===,2,4,== Career == | === 1998–2010 ===,11931611
Kalidas first appeared on screen in the drama Googleyes.,0,5,== Career == | === 1998–2010 ===,11931611
"She went on to play Usha in a short film called Jump Boy in 1998, directed by Menhaj Huda and written by Harsha Patel.",1,5,== Career == | === 1998–2010 ===,11931611
"After a number of parts in films and on television, including East is East, Bollywood Queen, My Family and Casualty, in 2002 she appeared as Monica in Gurinder Chadha's film Bend It Like Beckham.",2,5,== Career == | === 1998–2010 ===,11931611
"She then played the female lead Priya in the Andrew Lloyd Webber-produced show Bombay Dreams, written by A.R. Rahman, Meera Syal and Don Black.",3,5,== Career == | === 1998–2010 ===,11931611
She also appeared in the BBC Television series Bodies as Dr. Maya Dutta.,4,5,== Career == | === 1998–2010 ===,11931611
"In 2007, Kalidas landed the female lead in a West End revival of Lloyd Webber and Tim Rice's Joseph and the Amazing Technicolor Dreamcoat.",0,6,== Career == | === 1998–2010 ===,11931611
"Appearing as the narrator, she performed with Lee Mead, who won the title role of Joseph in BBC One's Any Dream Will Do talent search series.",1,6,== Career == | === 1998–2010 ===,11931611
"The same year, she appeared in the multi-award-winning Channel 4 miniseries Britz.",2,6,== Career == | === 1998–2010 ===,11931611
"In 2009, Kalidas appeared in the second series of BBC One's Mistresses, and joined EastEnders in April of that year as Amira Shah, the girlfriend, and later wife of Syed Masood.",3,6,== Career == | === 1998–2010 ===,11931611
"In January 2010, she decided to quit EastEnders to pursue a pop career.",4,6,== Career == | === 1998–2010 ===,11931611
Her final episode was broadcast on 26 April 2010.,5,6,== Career == | === 1998–2010 ===,11931611
"In July 2011, Kalidas revealed that she would be returning to EastEnders in the latter part of 2011.",6,6,== Career == | === 1998–2010 ===,11931611
"Kalidas, then left the show in March 2012.",7,6,== Career == | === 1998–2010 ===,11931611
"In September 2012, it was announced that Kalidas was returning to EastEnders briefly to conclude with the departures of Marc Elliott and John Partridge who play Syed Masood and Christian Clarke respectively.",8,6,== Career == | === 1998–2010 ===,11931611
"Kalidas appeared in Hotel Babylon as Aisha Chaudhri, the daughter of a rich Indian hotel owner.",0,7,== Career == | === 1998–2010 ===,11931611
"She also appeared in the music video ""Love Is Blind"" by Ramzi featuring Ash King.",1,7,== Career == | === 1998–2010 ===,11931611
"In December 2009, she played the part of Leanne in ITV comedy drama Mister Eleven.",2,7,== Career == | === 1998–2010 ===,11931611
"She starred in the 2010 Chris Morris feature film Four Lions playing Sofia, the wife of protagonist Omar (played by Riz Ahmed).",3,7,== Career == | === 1998–2010 ===,11931611
The film was released on 7 May.,4,7,== Career == | === 1998–2010 ===,11931611
"After leaving EastEnders, Kalidas began to pursue a career in music, signing a record deal with Universal Records.",0,8,== Career == | === 1998–2010 ===,11931611
"Her second single, ""Shimmy"", featuring Mumzy Stranger, was released on 26 July 2010.",1,8,== Career == | === 1998–2010 ===,11931611
Kalidas appeared on several programmes including the National Lottery Results and Loose Women in promotion of the single.,2,8,== Career == | === 1998–2010 ===,11931611
The single received mixed reviews.,3,8,== Career == | === 1998–2010 ===,11931611
"Ruth Harrison from FemaleFirst stated that she ""liked the single"" but was not keen on the genre of music.",4,8,== Career == | === 1998–2010 ===,11931611
Kalidas stated in an interview with Digital Spy that her album would consist of a variety of genres.,5,8,== Career == | === 1998–2010 ===,11931611
"She also confirmed that the album would include collaborations with Bashy, Skepta, Schorcer, Ramzi and Mumzy Stranger.",6,8,== Career == | === 1998–2010 ===,11931611
"Kalidas' collaboration with Skepta, ""Cross My Heart"", was released in October 2010 as the lead single from Skepta's second studio album, Doin' It Again, however, at the time of release, Kalidas firmly stated its inclusion on her debut album.",7,8,== Career == | === 1998–2010 ===,11931611
=== 2011–present ===,0,9,== Career == | === 2011–present ===,11931611
