paragraph,paragraphIndex,section
"Ismaël Lô (also Ismaël Lo) is a Senegalese musician and actor.
",0,N/A
"== Life ==
",1,== Life ==
"Lô was born in Dogondoutchi, Niger on 30 August 1956, to a Senegalese father and a Nigerien mother. Shortly after Lo's birth the family returned to Senegal where they settled in the town of Rufisque, near the capital Dakar. He plays guitar and harmonica, and has been called ""the Bob Dylan of Africa"".
",2,== Life ==
"In the 1970s, Lo studied at the School of Art in Dakar. He later joined the popular group Super Diamono, but left in 1984 to start a solo career. Over the next four years Lo recorded five popular solo albums.
",3,== Life ==
"In 1988, he composes the soundtrack for Ousmane Sembene's Camp de Thiaroye and plays in it. He would also star in Moussa Sene Absa's film Tableau Ferraille (Iron Landscape), in 1996, and compose more soundtracks. In 1990, Lo signed a recording deal with Barclay and recorded in France his seventh solo album, Ismael Lo. Thanks to the success of the single ""Tajabone"" the album became a hit in the European charts. The album launched Lo's international career.
",4,== Life ==
"Iso was recorded and released in 1994, and also became a success. The album contains soft guitar melodies and traditional Senegalese mbalax. The following year Lo toured in Africa. The compilation album Jammu Africa was released in 1996. The song ""Without Blame"" is a duet with Marianne Faithfull.
",5,== Life ==
"Lo's song ""Tajabone"" was featured in Pedro Almodóvar's film All About My Mother.
",6,== Life ==
"In 2002, he was made a Knight of the Legion of Honor.
",7,== Life ==
"His 2006 album Sénégal was recorded in Dakar, Paris and London. Lo says of it, ""Giving this album the title Sénégal was my way of paying tribute to my own country, in recognition of all its gifts to me"". The film Shake Hands with the Devil (2007), about the Rwandan genocide, starts with Lo's song ""Jammu Africa"".
",8,== Life ==
"== Discography ==
",9,== Discography ==
"=== Albums ===
",10,== Discography == | === Albums ===
"Gor Sayina (1981)[A] Yaye Boye Balalma / Gor Saay Na / Ale Lo/ Woudje Yaye – [B] Tiedo / N'daxami / Sey / Adou CalpeXalat (1984)[A] Xalat / Tali Be (Talibe) / Lote Lo – [B] Xamul Dara / Mariama / Fa DialloXiif (1986)[A] Alal / Bode Gor / Xiif (Ethiopie Sahel) – [B] Tiedo / Diouma / Marie LoNatt (1986)[A] Ataya / Natt / Djola Kele – [B] Samag La / Mougneul / Tadieu BoneDiawar (1988)[A] Jele Bi/ Sophia / Taar Dousey – [B] Diawar / Jalia / Adou CalpeWadiour (1990)[A] Wadiour / Diabar / Souleymane – [B] Mbarawath / Nene / TarihaIsmael Lo (1990)Tajabone / Raciste / Ale Lo / Jiggeny Ndakaru / Fa Diallo / Souleymane / M'barawath / NeneIso (1994)Dibi Dibi Rek / Nafantav / La Femme sans haine / Rero / Senegambie / Baol Baol / Naboou / Nassarane / Wassalia / Setsinala / Khar / SamayayeJammu Africa (compilation, 1996)Jammu Africa / Nafantav / Sofia / Tajabone / Raciste / Nabou / Without Blame / Dibi Dibi Rek / Lotte Lo / Souleymane / Samba Et Leuk / Takou Deneu / KharDabah (2001)Aiwa / L'amour a tous les droits / Biguisse / Amoul Solo / Dabah / Boulfale / Faut qu'on s'aime / Africa Democratie / Diour Sani / Badara / Ma dame / N'Dally / Xalas / MamSénégal (2 October 2006)""Baykat""
",11,== Discography == | === Albums ===
"""Incha Allah""
",12,== Discography == | === Albums ===
"""Tass Yakar""
",13,== Discography == | === Albums ===
"""Jola""
",14,== Discography == | === Albums ===
"""Taar Dusey""
",15,== Discography == | === Albums ===
"""Manko""
",16,== Discography == | === Albums ===
"""Yaye Boye""
",17,== Discography == | === Albums ===
"""Plus je fais ci, plus je fais ça""
",18,== Discography == | === Albums ===
"""Mbindane""
",19,== Discography == | === Albums ===
"""Wakhal""
",20,== Discography == | === Albums ===
"""Ouvriers""
",21,== Discography == | === Albums ===
"""Jiguen""
",22,== Discography == | === Albums ===
"""Ma fille""
",23,== Discography == | === Albums ===
"""Tajabone""
",24,== Discography == | === Albums ===
"== Singles ==
",25,== Singles ==
"Rero (1994)
",26,== Singles ==
"== Guest singles ==
",27,== Guest singles ==
"Africa Nossa (2006) (with Cesaria Evora)
",28,== Guest singles ==
"=== Music videos ===
",29,== Guest singles == | === Music videos ===
"== References ==
",30,== References ==
"== External links ==
",31,== External links ==
"RFI Musique biography
",32,== External links ==
"Official page French bio
",33,== External links ==
"Allmusic link
",34,== External links ==
Lo discography,35,== External links ==
