paragraph,paragraphIndex,section
"Bernard Oulion (French pronunciation: ​[bɛʁnaʁ uljɔ̃]; born 7 October 1946 in Saint-Étienne), known professionally as Bernard Lavilliers ([bɛʁnaʁ lavilje]), is a French singer-songwriter and actor.
",0,N/A
"== Discography ==
",1,== Discography ==
"=== Albums ===
",2,== Discography == | === Albums ===
"Studio albums
",3,== Discography == | === Albums ===
"Premiers pas... (1968)
",4,== Discography == | === Albums ===
"Les poètes (1972)
",5,== Discography == | === Albums ===
"Le Stéphanois (1974)
",6,== Discography == | === Albums ===
"Les Barbares (1976)
",7,== Discography == | === Albums ===
"15e Round (1977)
",8,== Discography == | === Albums ===
"Pouvoirs (1979)
",9,== Discography == | === Albums ===
"O gringo (1980)
",10,== Discography == | === Albums ===
"Nuit d'Amour (1981)
",11,== Discography == | === Albums ===
"Etat d'Urgence (1983)
",12,== Discography == | === Albums ===
"Tout est permis, rien n'est possible (1984)
",13,== Discography == | === Albums ===
"Voleur de feu (1986)
",14,== Discography == | === Albums ===
"If... (1988)
",15,== Discography == | === Albums ===
"Solo (1991)
",16,== Discography == | === Albums ===
"Champs du possible (1994–95)
",17,== Discography == | === Albums ===
"Duos Taratata (1996)Live albums
",18,== Discography == | === Albums ===
"T'es vivant...? (1978)
",19,== Discography == | === Albums ===
"Live Tour 80 (1980)
",20,== Discography == | === Albums ===
"Olympia ""Live 84"" (1984)
",21,== Discography == | === Albums ===
"Live - On The Road Again 1989 (1990)Compilations
",22,== Discography == | === Albums ===
"Gentilshommes de fortune — Rêves et voyages (1987)
",23,== Discography == | === Albums ===
"=== Singles ===
",24,== Discography == | === Singles ===
"(Selective)
",25,== Discography == | === Singles ===
