paragraph,paragraphIndex,section
"Jayne Cortez (May 10, 1934 – December 28, 2012) was an African-American poet, activist, small press publisher and spoken-word performance artist whose voice is celebrated for its political, surrealistic and dynamic innovations in lyricism and visceral sound. Her writing is part of the canon of the Black Arts Movement. She was married to jazz saxophonist Ornette Coleman (1954–64), and their son is jazz drummer Denardo Coleman. In 1975 Cortez married painter, sculptor, and printmaker Melvin Edwards, and they lived in Dakar, Senegal, and New York City.
",0,N/A
"== Biography ==
",1,== Biography ==
"Jayne Cortez was born Sallie Jayne Richardson on the Army base at Fort Huachuca, Arizona, on May 10, 1934. Her father was a career soldier who would serve in both world wars; her mother was a secretary. She is the second-born of three children with an older sister and a younger brother.At the age of seven, she moved to Los Angeles, where she grew up in the Watts district. Young Jayne Richardson reveled in the jazz and Latin recordings that her parents collected. She studied art, music and drama in high school. Later she attended Compton Community College, but dropped out of her course work due to financial difficulties.[11] She took the surname Cortez, the maiden name of her Filipino maternal grandmother, early in her artistic career.
",2,== Biography ==
"In 1954, Cortez married jazz saxophonist Ornette Coleman when she was 18 years old. Their son Denardo, born in 1956, began drumming with his father while still a child and devoted his adult life to collaborating with both parents in their respective careers. In 1964, Cortez divorced Coleman and founded the Watts Repertory Theater Company, of which she served as artistic director until 1970. Active in the struggle for Civil Rights, she collaborated with famous Civil Rights activist Fannie Lou Hamer and strongly advocated using art as a vehicle to push political causes, with her work being used to register black voters in Mississippi in the early 1960s. Upon reflecting on this time in a 1990 interview with D.H. Melham, Cortez spoke on its influences on her work, saying, ""Being unemployed and without food can make you very sad. But you weren't the problem. The problem existed before you knew there was a problem. The problem is the system, and you can organize, unify, and do something about the system. That's what I learned."" She traveled through Europe and Africa, and moved to New York City in 1967.
",3,== Biography ==
"In 1969 her first collection, Pissstained Stairs and the Monkey Man's Wares, was published and Cortez went on to become the author of 11 other books of poems, and performed her poetry with music on nine recordings. Most of her work was issued under the auspices of Bola Press, a publishing company she founded in 1971. From 1977 to 1983, Cortez was an English teacher for Rutgers University.[3] She presented her work and ideas at universities, museums, and festivals in Africa, Asia, Europe, South America, the Caribbean and the United States. Her poems have been translated into 28 languages and widely published in anthologies, journals and magazines, including Postmodern American Poetry, Daughters of Africa, Poems for the Millennium, Mother Jones, and The Jazz Poetry Anthology.
",4,== Biography ==
"In 1975 she married sculptor and printmaker Melvin Edwards, and they lived in Dakar, Senegal, and New York City. His work appeared in her publications as well as on some of her album covers. Cortez and Edwards maintained two residences, one in New York City and one in Dakar, Senegal, which Cortez said ""really feels like home.""
",5,== Biography ==
"Cortez died of heart failure in Manhattan, New York, on December 28, 2012.
",6,== Biography ==
"== Poetry and performance ==
",7,== Poetry and performance ==
"The musicians with whom Cortez aligned herself reflected the sociopolitical and cultural elements to which she attached the greatest importance. Born in Fort Huachuca, Arizona, in 1934, she grew up near Los Angeles under the spell of her parents' jazz and blues record collection, which also included examples of Latin American dance bands and field recordings of indigenous American music. Raised in a musically artistic household, in ""some of her poems about musicians, Cortez addresses the dark side of a life in music, exploring the addiction and loneliness that many believe are inherently linked to a life in the performing arts.""[3] Early exposure to the recordings of Bessie Smith instilled in Cortez a deeply etched sense of female identity, which, combined with a strong will, shaped her into an uncommonly outspoken individual. She became transformed by the sounds of Duke Ellington, Sarah Vaughan, Charlie Parker, Dizzy Gillespie, and no-nonsense vocalist Dinah Washington, whose visceral approach to self-expression clearly encouraged the poet not to pull any punches.
",8,== Poetry and performance ==
"Cortez, who respected the memory of independent performing artist Josephine Baker, preferred to name inspirations rather than influences, especially when discussing writers. Those with whom she identified included Langston Hughes, Aimé Césaire, Léon Damas, Christopher Okigbo, Henry Dumas, Amiri Baraka, and Richard Wright. Parallels with the ugly/beautiful poetics of Federico García Lorca also suggest themselves. Her words were usually written, chanted, and spoken in rhythmic repetition that resembled the intricate, tactile language of African and Caribbean drumming.
",9,== Poetry and performance ==
"Most of her work from the early 1970s onwards was issued by Bola Press, the publishing company she founded. One of these early works, Festivals and Funerals(1971), while not as well-known as Pissstained stairs and the Monkey Man's Wares, is considered significant from how much it derives from Cortez's personal experiences, as well as featuring ""the voices of ordinary working people confronting social issues and weighing their role in fighting for change.""[3] She cut her first album, Celebrations and Solitudes, at White Plains, New York, in 1974. A set of duets with bassist Richard Davis, it was released on the Strata-East label. The first Bola Press recording, taped in October 1979, was called Unsubmissive Blues and included a piece ""For the Brave Young Students in Soweto."" Cortez delivered her poetry backed by an electro-funk modern jazz group called the Firespitters, built around a core of guitarist Bern Nix, bassist Al McDowell, and drummer Denardo Coleman. For years, the Firespitters and Ornette Coleman's Prime Time coexisted with Denardo as the axis and various players participated in both units.
",10,== Poetry and performance ==
"During the summer of 1982, Cortez delivered There It Is, an earthshaking album containing several pieces that truly define her artistry. These include: ""I See Chano Pozo,"" a joyously evocative salute to Dizzy Gillespie's legendary Cuban percussionist; a searing indictment of patriarchal violence called ""If the Drum Is a Woman""; and, ""US/Nigerian Relations,"" which consists of the sentence ""They want the oil/but they don't want the people"" chanted dervish-like over an escalating, electrified free jazz blowout. Recorded in 1986, her next album, Maintain Control, is especially memorable for Ornette Coleman's profoundly emotive saxophone on ""No Simple Explanations,"" the unsettling ""Deadly Radiation Blues,"" and the harshly gyrating ""Economic Love Song,"" which is another of her tantrum-like repetition rituals, this time built around the words ""Military spending, huge profits and death."" Among several subsequent albums Cheerful & Optimistic (1994) stands out for the use of an African kora player and poignant currents of wistfulness during ""Sacred Trees"" and ""I Wonder Who."" Additionally, this album contains a convincing ode to anti-militarism in ""War Devoted to War"" and the close-to-the-marrow mini-manifestos ""Samba Is Power"" and ""Find Your Own Voice."" In 1996, her album Taking the Blues Back Home was released on Harmolodic/Verve; Borders of Disorderly Time, which appeared in 2002, featured guest artists Bobby Bradford, Ron Carter, and James Blood Ulmer.
",11,== Poetry and performance ==
"She appeared on screen in the films Women in Jazz and Poetry in Motion by Ron Mann.Her impact upon the development of spoken-word performance art during the late 20th century has yet to be intelligently recognized. In some ways her confrontational political outspokenness and dead-serious cathartic performance technique place Cortez in league with Judith Malina and The Living Theater. According to the online African-American Registry, "" her ability to push the acceptable limits of expression to address issues of race, sex and homophobia place her in a category that few other women occupy.""
",12,== Poetry and performance ==
"== Organization of Women Writers of Africa ==
",13,== Organization of Women Writers of Africa ==
