paragraph,paragraphIndex,section
"Joseph Ronald Drew (16 September 1934 – 16 August 2008) was an Irish singer, folk musician and actor who achieved international fame during a fifty-year career recording with The Dubliners.
",0,N/A
"He is most recognised for his lead vocals on the single ""Seven Drunken Nights"" and ""The Irish Rover"" both charting in the UK top 10 and then performed on TOTP. He was recognisable for his long beard and pale blue eyes and his voice, which was once described by Nathan Joseph as being ""like the sound of coke being crushed under a door"".
",1,N/A
"== Early life ==
",2,== Early life ==
"Ronnie Drew was born in Dún Laoghaire, County Dublin in 1934.
",3,== Early life ==
"Although he was so intimately associated with being ""a Dubliner"", he would sometimes say, ""I was born and grew up in Dún Laoghaire, and no true Dubliner would accept that at all!"", a quip that Andy Irvine relayed in his song ""O'Donoghue's"". Drew was educated at CBS Eblana and used to ""mitch"" and cycle up to Leopardstown Racecourse. Despite his aversion to education, he was considered the most intelligent in his class by schoolfriend and future Irish film censor, Sheamus Smith.
",4,== Early life ==
"Drew had also sung as a boy soprano before his voice broke.
",5,== Early life ==
"== Career ==
",6,== Career ==
"In the 1950s, Drew moved to Spain to teach English and learn Spanish and flamenco guitar. His interest in folk music began at the age of 19. When he returned to Ireland, he performed in the Gate Theatre with John Molloy and soon went into the music business full-time, after holding a number of short-term jobs—including one at Dublin's telephone exchange. In 1962, he founded the Ronnie Drew Group with Luke Kelly, Barney McKenna and Ciarán Bourke. They soon changed their name to The Dubliners—with John Sheahan joining shortly afterwards to form the definitive line-up—and quickly became one of the best known Irish folk groups. They played at first in O'Donoghue's Pub in Merrion Row, Dublin 2 where they were often accompanied by Mary Jordan on the spoons and vocalist Ann Mulqueen, a friend of McKenna's. Mary Jordan's mother, Peggy Jordan, introduced them to the Abbey Tavern in Howth, which became a regular Monday night venue for the emerging group. They also played across the road in the Royal Hotel, at all-night parties in Peggy's large house in Kenilworth Square in Rathgar, and in John Molloy's flat at Ely Place.
",7,== Career ==
"Drew left the Dubliners in 1974.  He rejoined in 1979, but then left for good in 1995, though he did reunite with the group in 2002 for a 40th anniversary celebration. He made several television appearances with the group between 2002–05. From 1995 onwards, Drew pursued a solo career. He recorded with many artists, including Christy Moore, The Pogues, Antonio Breschi, Dropkick Murphys, Eleanor Shanley and others. He did a number of ""one-man shows""—he was accompanied by various guitarists—during this period, such as Songs and Stories, Ronnie, I Hardly Knew Ya and Ronnie. These shows consisted of stories about people such as Brendan Behan, Patrick Kavanagh and Seán O'Casey, as well as Drew singing their songs. He fronted a campaign to encourage the use of Dublin's light-rail infrastructure (the DART) and, before that, the ""My Dublin"" ads for radio stations 98FM and FM104. He narrated a retelling of the great Irish Myths and Legends—scripted by Steven Byrne—over a six CD set in 2006. He also narrated the stories of Oscar Wilde in his distinctive voice for a series released on CD by the News of the World newspaper. Both were re-released as CD box sets in 2010.
",8,== Career ==
"On 22 August 2006, Drew was honoured in a ceremony where his hand prints were added to the ""Walk of Fame"" outside Dublin's Gaiety Theatre.
",9,== Career ==
"== Declining health and death ==
",10,== Declining health and death ==
"In September 2006, Drew was reported to be in ill health after being admitted to St. Vincent's Hospital, Dublin, to undergo tests for suspected cancer. The Evening Herald reported that his apparent illness was due to years of heavy drinking. However, according to a fan site dedicated to The Dubliners, it was reported that he was undergoing treatment for throat cancer. Drew had been a teetotaler for a number of years, with an occasional relapse, but he remained a regular smoker.
",11,== Declining health and death ==
"He appeared on Ireland's The Late Late Show on 15 December 2006 along with Phil Coulter, where he discussed his recent health scares.
",12,== Declining health and death ==
"Despite his failing health, he featured on an album entitled Pearls—produced by Niall Austin—with work he did with Jah Wobble. His wife of more than 40 years, Deirdre Drew (née McCartan, daughter of Patrick McCartan) died on 7 June 2007 at St Vincent's Hospital, just one day before he was scheduled to return to performing live at the Legends of Irish Folk concert, which also featured Johnny McEvoy, Ralph McTell and Finbar Furey. On 25 October 2007, Drew—now bald and beardless—appeared on Ryan Confidential on RTÉ 1 to give an interview about his role in The Dubliners, his life since leaving the band and being diagnosed with throat cancer. Later in 2007, he again appeared on The Late Late Show, where he spoke some more about the death of his wife and his ongoing treatment for cancer. Drew died in St. Vincent's Hospital, Dublin on 16 August 2008, following his long illness. He was buried three days later in Redford Cemetery in Greystones.
",13,== Declining health and death ==
"== Tributes ==
",14,== Tributes ==
"=== ""The Ballad of Ronnie Drew"" ===
",15,"== Tributes == | === ""The Ballad of Ronnie Drew"" ==="
"On 19 February 2008, a song was released called ""The Ballad of Ronnie Drew"" performed by a number of famous Irish musicians or musicians living in Ireland. This included members of The Dubliners, U2, Sinéad O'Connor, Christy Dignam of Aslan, Robert Hunter of the Grateful Dead, Kíla, Christy Moore, Andrea Corr, Moya Brennan, Shane MacGowan, Liam Ó Maonlaí, Bob Geldof, Damien Dempsey, Gavin Friday, Iona Green, Jerry Fish, Paul Brady, Paddy Casey, Mick Pyro, Mundy, Chris de Burgh, Ronan Keating, Jack L, Eleanor Shanley, Mary Black, Declan O'Rourke, Mary Coughlan, and Joe Elliott of Def Leppard and The Chieftains.
",16,"== Tributes == | === ""The Ballad of Ronnie Drew"" ==="
