paragraph,paragraphIndex,section
"CooRie is a self-produced Japanese music unit by singer-songwriter Rino that performs songs for anime and games. CooRie used to be a two-person unit when it debuted in 2003, with Rino doing the lyrics and vocals and Naoyuki Osada (長田直之, Osada Naoyuki) doing the music compositions and arrangements. After Osada left by the end of 2003, Rino maintained the name CooRie and composed the music by herself, although she sometimes sings under her own name, especially if the song is for adult games. CooRie's records are released under Lantis and Mellow Head (On the Run).
",0,N/A
"== Discography ==
",1,== Discography ==
"=== Singles ===
",2,== Discography == | === Singles ===
"大切な願い / Taisetsu na Negai (Released February 26, 2003)大切な願い / Taisetsu na Negai – anime television Nanaka 6/17 ending theme
",3,== Discography == | === Singles ===
"君とナキムシ / Kimi to Nakimushi
",4,== Discography == | === Singles ===
"大切な願い / Taisetsu na Negai (off vocal)
",5,== Discography == | === Singles ===
"君とナキムシ / Kimi to Nakimushi (off vocal)流れ星☆ / Nagareboshi☆ (Released April 23, 2003)流れ星☆ / Nagareboshi☆ — anime television Narue no Sekai opening theme
",6,== Discography == | === Singles ===
"ステレオ / Stereo – Radio show Narue no Sekai TV ending theme
",7,== Discography == | === Singles ===
"流れ星☆ / Nagareboshi☆ (off vocal)
",8,== Discography == | === Singles ===
"ステレオ / Stereo (off vocal)サクラサクミライコイユメ／未来へのMelody / Sakura Saku Mirai Koi Yume/Mirai e no Melody (Released July 24, 2003)未来へのMelody / Mirai e no Melody – anime television D.C.: Da Capo 1st ending theme未来へのMelody / Mirai e no Melody (off vocal)あなたと言う時間 / Anata to Iu Jikan (Released March 24, 2004)あなたと言う時間 / Anata to Iu Jikan – anime television Hikari to Mizu no Daphne ending themeあなたと言う時間 / Anata to Iu Jikan (off vocal)センチメンタル / Sentimental (Released April 21, 2004)センチメンタル / Sentimental – anime television Midori no Hibi opening theme
",9,== Discography == | === Singles ===
"戻らない日々 / Modoranai Hibi
",10,== Discography == | === Singles ===
"センチメンタル / Sentimental (Off vocal)
",11,== Discography == | === Singles ===
"戻らない日々 / Modoranai Hibi (Off vocal)光のシルエット / Hikari no Silhouette (Released June 8, 2005)光のシルエット / Hikari no Silhouette – anime television Zettai Shōnen opening theme
",12,== Discography == | === Singles ===
"メロトロン / Mellotron
",13,== Discography == | === Singles ===
"光のシルエット / Hikari no Silhouette (off vocal)
",14,== Discography == | === Singles ===
"メロトロン / Mellotron (off vocal)暁に咲く詩 / Akatsuki ni Saku Uta (Released August 24, 2005)暁に咲く詩 / Akatsuki ni Saku Uta – anime television D.C.S.S.: Da Capo Second Season ending theme
",15,== Discography == | === Singles ===
"かくれんぼ同盟 / Kakurenbo Doumei
",16,== Discography == | === Singles ===
"暁に咲く詩 / Akatsuki ni Saku Uta (Off Vocal)
",17,== Discography == | === Singles ===
"かくれんぼ同盟 / Kakurenbo Doumei (Off Vocal)風～スタートライン～ / Kaze: startline (Released December 21, 2005)風～スタートライン～ / Kaze: startline — PC game Joukyou Kaishi! opening theme
",18,== Discography == | === Singles ===
"月明かりセレナード / Tsukiakari Serenade — PC game Joukyou Kaishi! ending theme
",19,== Discography == | === Singles ===
"風～スタートライン～ / Kaze: startline (off vocal)
",20,== Discography == | === Singles ===
"月明かりセレナード / Tsukiakari Serenade (off vocal)いろは / Iroha (Released February 8, 2006)いろは / Iroha — anime television Binchou-tan opening theme
",21,== Discography == | === Singles ===
"君にヘッドフォン / Kimi ni Headphone
",22,== Discography == | === Singles ===
"いろは / Iroha (off vocal)
",23,== Discography == | === Singles ===
"君にヘッドフォン / Kimi ni Headphone (off vocal)クロス＊ハート / Cross*Heart (Released January 24, 2007)クロス＊ハート / Cross*Heart – anime television Kyoushirou to Towa no Sora opening theme
",24,== Discography == | === Singles ===
"水玉 / Mizutama
",25,== Discography == | === Singles ===
"クロス＊ハート / Cross*Heart <instrumental>
",26,== Discography == | === Singles ===
"水玉 / Mizutama <instrumental>優しさは雨のように / Yasashisa wa Ame no you ni (Released October 24, 2007)優しさは雨のように / Yasashisa wa Ame no you ni – anime television D.C. II: Da Capo II ending theme
",27,== Discography == | === Singles ===
"恋想モジュレーター / Rensou Modulator
",28,== Discography == | === Singles ===
"優しさは雨のように / Yasashisa wa Ame no you ni (off vocal)
",29,== Discography == | === Singles ===
"恋想モジュレーター / Rensou Modulator (off vocal)僕たちの行方 / Bokutachi no Yukue (Released April 23, 2008)僕たちの行方 / Bokutachi no Yukue – anime television D.C. II S.S. ~Da Capo II Second Season~ ending theme
",30,== Discography == | === Singles ===
"シンプルになれ。 / Simple ni Nare.
",31,== Discography == | === Singles ===
"僕たちの行方 / Bokutachi no Yukue (off vocal)
",32,== Discography == | === Singles ===
"シンプルになれ。 / Simple ni Nare. (off vocal)パルトネール / Partenaire (Released November 27, 2008)パルトネール / Partenaire (Partner in French)
",33,== Discography == | === Singles ===
"Thank you for the Music
",34,== Discography == | === Singles ===
"パルトネール / Partenaire (off vocal)
",35,== Discography == | === Singles ===
"Thank you for the Music (off vocal)IF：この世界で / IF: Kono Sekai de (Released April 29, 2009)IF：この世界で / IF: Kono Sekai de — PS2 game D.C.I.F. ~Da Capo~ Innocent Finale opening theme
",36,== Discography == | === Singles ===
"ALIVE
",37,== Discography == | === Singles ===
"IF：この世界で / IF: Kono Sekai de (off vocal)
",38,== Discography == | === Singles ===
"ALIVE (off vocal)星屑のサラウンド / Hoshikuzu no Surround (Released August 26, 2009)星屑のサラウンド / Hoshikuzu no Surround — anime television Sora no Manimani ending theme
",39,== Discography == | === Singles ===
"闇に咲く星のように / Yami ni Saku Hoshi no You ni – anime television Sora no Manimani Ep. 4 ending song
",40,== Discography == | === Singles ===
"星屑のサラウンド / Hoshikuzu no Surround (OFF VOCAL)
",41,== Discography == | === Singles ===
"闇に咲く星のように / Yami ni Saku Hoshi no You ni (OFF VOCAL)愛永久 ～Fortune favors the brave～／めぐり愛逢い / Ai Eikyuu ~Fortune favors the brave~/Meguri Ai Ai (Released January 27, 2010)めぐり愛逢い / Meguri Ai Ai – Online game Ai Sp@ce theme songめぐり愛逢い / Meguri Ai Ai (off vocal)夢想庭園 / Musō Teien (Released July 7, 2010)夢想庭園 / Musō Teien – OVA Book Girl opening theme
",42,== Discography == | === Singles ===
"Like A Music
",43,== Discography == | === Singles ===
"夢想庭園 / Musō Teien (instrumental)
",44,== Discography == | === Singles ===
"Like A Music (instrumental)ダ・カーポIII ～キミにささげる あいのマホウ～ (Released April 27, 2012) All is love for you  All is love for you （Off Vocal） 会いたいよ／メグル／REFLECTION (Released February 13, 2013) メグル  メグル （Off Vocal） 『BON-BON』 (Released May 11, 2016) LACM-14477BON-BON – anime television Tanaka-kun is Always Listless ending theme
",45,== Discography == | === Singles ===
"Melodic Future
",46,== Discography == | === Singles ===
"BON-BON （Off Vocal）
",47,== Discography == | === Singles ===
"Melodic Future （Off Vocal）
",48,== Discography == | === Singles ===
"=== Albums ===
",49,== Discography == | === Albums ===
"1st album: 秋やすみ / Aki Yasumi (Released September 29, 2004) LHCA-5001はじめに / Hajime ni
",50,== Discography == | === Albums ===
"センチメンタル / Sentimental
",51,== Discography == | === Albums ===
"大切な願い / Taisetsu na Negai
",52,== Discography == | === Albums ===
"あなたと言う時間 / Anata to Iu Jikan
",53,== Discography == | === Albums ===
"秋やすみ / Aki Yasumi
",54,== Discography == | === Albums ===
"ステレオ / Stereo
",55,== Discography == | === Albums ===
"流れ星☆ / Nagareboshi☆
",56,== Discography == | === Albums ===
"未来へのMelody / Mirai e no Melody
",57,== Discography == | === Albums ===
"存在 / Sonzai – anime television D.C.: Da Capo 2nd ending theme
",58,== Discography == | === Albums ===
"想い出トランク / Omoide Trunk
",59,== Discography == | === Albums ===
"小さな手紙 / Chiisana Tegami – anime television Midori no Hibi insert song
",60,== Discography == | === Albums ===
"えんぴつ / EnpitsuSelf-cover album: 木漏れ日カレンダー / Komorebi Calendar (Released March 24, 2005) LHCA-5005そよ風のハーモニー / Soyokaze no Harmony – anime television D.C.: Da Capo insert song
",61,== Discography == | === Albums ===
"空のリフレイン / Sora no Refrain – PS2 game SAKURA: setsugetsuka theme song
",62,== Discography == | === Albums ===
"Parade — My-HiME Radio: Fuuka Gakuen Housoubu theme song
",63,== Discography == | === Albums ===
"記憶のゆりかご / Kioku no Yurikago — anime television D.C.: Da Capo Sakura Yoshino song
",64,== Discography == | === Albums ===
"幸せレシピ / Shiawase Recipe — Radio show Da Capo Hatsunejima Housoukyoku 1st opening theme
",65,== Discography == | === Albums ===
"小さな傘 / Chiisana Kasa — from Mai Nakahara's mini album Homework
",66,== Discography == | === Albums ===
"Precious time – PS2 game Tentama 2wins theme song
",67,== Discography == | === Albums ===
"君が望む永遠 / Kimi ga Nozomu Eien – PC game Kimi ga Nozomu Eien ending theme
",68,== Discography == | === Albums ===
"Eternal Love～眩しい季節～ / Eternal Love: mabushii kisetsu — PS2 game D.C.P.S.: Da Capo~ Plus Situation ending theme
",69,== Discography == | === Albums ===
"Dream～The ally of～ — PC game D.C.: Da Capo ending theme2nd album: トレモロ / Tremolo (Released June 21, 2006) LHCA-5040光のシルエット / Hikari no Silhouette
",70,== Discography == | === Albums ===
"暁に咲く詩 / Akatsuki ni Saku Uta
",71,== Discography == | === Albums ===
"いたずらな雨 / Itazura na Ame
",72,== Discography == | === Albums ===
"天空の花 / Tenkuu no Hana – PS2 game Mabino x Style ending theme
",73,== Discography == | === Albums ===
"月明かりセレナード / Tsukiakari Serenade
",74,== Discography == | === Albums ===
"バスタブブルーズ / Bathtub Blues
",75,== Discography == | === Albums ===
"記憶ラブレター / Kioku Love Letter – anime television D.C.S.S.: Da Capo Second Season' episodes 24 & 25 ending theme
",76,== Discography == | === Albums ===
"風～スタートライン～ / Kaze: startline
",77,== Discography == | === Albums ===
"心編み / Kokoroami
",78,== Discography == | === Albums ===
"メロトロン / Mellotron
",79,== Discography == | === Albums ===
"いろは / Iroha
",80,== Discography == | === Albums ===
"トレモロ～夢の続き～ / Tremolo: yume no tsuzuki3rd album: 旋律のフレア / Senritsu no Flare (Released January 23, 2008) LHCA-5075旋律のフレア / Senritsu no Flare
",81,== Discography == | === Albums ===
"クロス＊ハート / Cross*Heart
",82,== Discography == | === Albums ===
"Spring has come – PC game D.C. II: Da Capo II ending theme
",83,== Discography == | === Albums ===
"ウソツキ / Usotsuki — anime television School Days ending theme
",84,== Discography == | === Albums ===
"SWEETEST – PS2 game Strawberry Panic! opening theme
",85,== Discography == | === Albums ===
"君DK / Kimi DK
",86,== Discography == | === Albums ===
"探し物 / Sagashimono
",87,== Discography == | === Albums ===
"桜の羽根～Endless memory～ / Sakura no Hane: Endless memory — PC game D.C. II Spring Celebration grand ending theme
",88,== Discography == | === Albums ===
"水玉 / Mizutama
",89,== Discography == | === Albums ===
"リトル・モア / Little More — PC game Muv-Luv (all-age version) Miki Tamase ending theme
",90,== Discography == | === Albums ===
"優しさは雨のように / Yasashisa wa Ame no you ni
",91,== Discography == | === Albums ===
"想い / Omoi4th album: Imagination Market (Released October 21, 2009) LHCA-5111Listen
",92,== Discography == | === Albums ===
"Imagination Market
",93,== Discography == | === Albums ===
"パルトネール / Partenaire
",94,== Discography == | === Albums ===
"ALIVE
",95,== Discography == | === Albums ===
"僕たちの行方 / Bokutachi no Yukue
",96,== Discography == | === Albums ===
"雨上がりの君のもとへ / Ame Agari no Kimi no Moto e
",97,== Discography == | === Albums ===
"キミナシノセカイ / Kimi Nashi no Sekai
",98,== Discography == | === Albums ===
"Thank you for the Music
",99,== Discography == | === Albums ===
"想い出に変わるまで / Omoide ni Kawaru Made
",100,== Discography == | === Albums ===
