paragraph,paragraphIndex,section
"Marina Inoue (井上 麻里奈, Inoue Marina, born January 20, 1985) is a Japanese voice actress and singer from Tokyo, Japan. She is affiliated with Aoni Production. She was signed into Aniplex until 2007. She was chosen out of 2,000 people from the ""Gonna be a star"" auditions (hosted by Sony Music Entertainment Japan) for the title role in the OVA Le Portrait de Petit Cossette.
",0,N/A
"== Filmography ==
",1,== Filmography ==
"=== Television animation ===
",2,== Filmography == | === Television animation ===
"2004Gakuen Alice (Misaki Harada)
",3,== Filmography == | === Television animation ===
"Tactics (Rosalie)
",4,== Filmography == | === Television animation ===
"Tsukuyomi: Moon Phase (Kōhei Morioka (child version))
",5,== Filmography == | === Television animation ===
"Yakitate!! Japan (Kanmuri Shigeru)2005Ginban Kaleidoscope (Mika Honjō)
",6,== Filmography == | === Television animation ===
"Hell Girl (Kaoruko Kurushima)2006009-1 (Mia Connery (009-7))
",7,== Filmography == | === Television animation ===
"D. Gray-man (Elda)
",8,== Filmography == | === Television animation ===
"Kiba (Rebecca)
",9,== Filmography == | === Television animation ===
"Nerima Daikon Brothers (Karakuri Yukika and others)
",10,== Filmography == | === Television animation ===
"Zegapain (Minato)2007Baccano! (Eve Genoard)
",11,== Filmography == | === Television animation ===
"Bakugan Battle Brawlers (Akira, Ryo, Jewls/Nae, Konba, Rabeeder/Shire)
",12,== Filmography == | === Television animation ===
"El Cazador de la Bruja (Lirio)
",13,== Filmography == | === Television animation ===
"Gakuen Utopia Manabi Straight! (Mutsuki Uehara)
",14,== Filmography == | === Television animation ===
"Getsumen To Heiki Mina (Mina Tsukuda, Mina Tsukishiro)
",15,== Filmography == | === Television animation ===
"Hayate the Combat Butler (Wataru Tachibana, Shion Kuresato)
",16,== Filmography == | === Television animation ===
"Magical Girl Lyrical Nanoha Strikers (Erio Mondial, Wendy, Cinque)
",17,== Filmography == | === Television animation ===
"Minami-ke (Kana Minami)
",18,== Filmography == | === Television animation ===
"Moetan (Shizuku)
",19,== Filmography == | === Television animation ===
"Mushi-Uta (Kasuou)
",20,== Filmography == | === Television animation ===
"Ōkiku Furikabutte (Ruri Mihashi)
",21,== Filmography == | === Television animation ===
"Sayonara Zetsubō Sensei (Chiri Kitsu)
",22,== Filmography == | === Television animation ===
"Shakugan no Shana Second (Pheles)
",23,== Filmography == | === Television animation ===
"Suteki Tantei Labyrinth (Rakuta Koga)
",24,== Filmography == | === Television animation ===
"Gurren Lagann (Yoko Littner)
",25,== Filmography == | === Television animation ===
"Toward the Terra (Seki Leigh Shiroei)2008Akaneiro ni Somaru Saka (Tsukasa Kiryu)
",26,== Filmography == | === Television animation ===
"Amatsuki (Tsuruume)
",27,== Filmography == | === Television animation ===
"Hidamari Sketch x 365 (Tōdō) (ep 8)
",28,== Filmography == | === Television animation ===
"Kyōran Kazoku Nikki (Madara)
",29,== Filmography == | === Television animation ===
"Minami-ke: Okawari (Kana Minami)
",30,== Filmography == | === Television animation ===
"Sekirei (Tsukiumi)
",31,== Filmography == | === Television animation ===
"Skip-Beat! (Kyōko Mogami)
",32,== Filmography == | === Television animation ===
"Someday's Dreamers: Summer Skies (Honomi Asagi)
",33,== Filmography == | === Television animation ===
"Toshokan Sensō (Iku Kasahara)
",34,== Filmography == | === Television animation ===
"Zoku Sayonara Zetsubō Sensei (Chiri Kitsu)2009Hayate the Combat Butler 2nd Season (Wataru Tachibana)
",35,== Filmography == | === Television animation ===
"Kämpfer (Natsuru Senō)
",36,== Filmography == | === Television animation ===
"Maria Holic (Matsurika Shinōji)
",37,== Filmography == | === Television animation ===
"Metal Fight Beyblade (Hikaru Hazama)
",38,== Filmography == | === Television animation ===
"Minami-ke: Okaeri (Kana Minami)
",39,== Filmography == | === Television animation ===
"Umineko no Naku Koro ni (Jessica Ushiromiya)
",40,== Filmography == | === Television animation ===
"Valkyria Chronicles (Alicia Melchiott)
",41,== Filmography == | === Television animation ===
"Zan Sayonara Zetsubō Sensei (Chiri Kitsu)2010Black Butler II (Luka Macken)
",42,== Filmography == | === Television animation ===
"Cobra the Animation (Ellis Lloyd)
",43,== Filmography == | === Television animation ===
"Hidamari Sketch x Hoshimittsu (Tōdō) (ep 11)
",44,== Filmography == | === Television animation ===
"Highschool of the Dead (Rei Miyamoto)
",45,== Filmography == | === Television animation ===
"Major (Sophia Reed)
",46,== Filmography == | === Television animation ===
"Marvel Anime: Iron Man (Aki)
",47,== Filmography == | === Television animation ===
"Metal Fight Beyblade Baku (Hikaru Hazama)
",48,== Filmography == | === Television animation ===
"Sekirei: Pure Engagement (Tsukiumi)
",49,== Filmography == | === Television animation ===
"Uragiri wa Boku no Namae o Shitteiru (Touko Murasame)
",50,== Filmography == | === Television animation ===
"Yumeiro Patissiere (Francoise)2011Haganai (Yozora Mikazuki)
",51,== Filmography == | === Television animation ===
"Digimon Xros Wars: The Young Hunters Who Leapt Through Time (Tagiru Akashi)
",52,== Filmography == | === Television animation ===
"Freezing (Chiffon Fairchild)
",53,== Filmography == | === Television animation ===
"Kyoukai Senjou no Horizon (Nate Mitotsudaira)
",54,== Filmography == | === Television animation ===
"Infinite Stratos (Laura Bodewig)
",55,== Filmography == | === Television animation ===
"Kämpfer für die Liebe (Natsuru Senō)
",56,== Filmography == | === Television animation ===
"Maria Holic Alive (Matsurika Shinōji)
",57,== Filmography == | === Television animation ===
"Metal Fight Beyblade 4D (Hikaru Hazama)
",58,== Filmography == | === Television animation ===
"Oniichan no Koto Nanka Zenzen Suki Janain Dakara ne!! (Iroha Tsuchiura)
",59,== Filmography == | === Television animation ===
"Rio: Rainbow Gate! (Rio Rollins Tachibana)
",60,== Filmography == | === Television animation ===
"Sket Dance (Momoka Kibitsu)
",61,== Filmography == | === Television animation ===
"Softenni (Sumino Kiba)2012Chousoku Henkei Gyrozetter (Kakeru Todoroki)
",62,== Filmography == | === Television animation ===
"Danball Senki W (Ami Kawamura)
",63,== Filmography == | === Television animation ===
"Hagure Yuusha no Estetica (Haruka Nagase)
",64,== Filmography == | === Television animation ===
"Kyoukai Senjou no Horizon II (Nate Mitotsudaira)
",65,== Filmography == | === Television animation ===
"Shakugan no Shana Final (Pheles / Saihyō Firesu)
",66,== Filmography == | === Television animation ===
"Smile PreCure! (Nao Midorikawa/Cure March)2013Attack on Titan (Armin Arlert, Narrator)
",67,== Filmography == | === Television animation ===
"Haganai NEXT (Yozora Mikazuki)
",68,== Filmography == | === Television animation ===
"Date A Live (Tohka Yatogami)
",69,== Filmography == | === Television animation ===
"Inu to Hasami wa Tsukaiyou (Kirihime Natsuno)
",70,== Filmography == | === Television animation ===
"Galilei Donna (Anna Hendrix)
",71,== Filmography == | === Television animation ===
"Infinite Stratos Season 2 (Laura Bodewig)
",72,== Filmography == | === Television animation ===
"Kill la Kill (Maiko Ōgure)
",73,== Filmography == | === Television animation ===
"Log Horizon (Kanami)
",74,== Filmography == | === Television animation ===
"Minami-ke: Tadaima (Kana Minami)
",75,== Filmography == | === Television animation ===
"Yahari Ore no Seishun Love Come wa Machigatteiru (Yumiko Miura)2014Buddy Complex (Anessa Rossetti)
",76,== Filmography == | === Television animation ===
"Buddy Complex Kanketsu-hen: Ano Sora ni Kaeru Mirai de (Anessa Rossetti)
",77,== Filmography == | === Television animation ===
"Date A Live II (Tohka Yatogami)
",78,== Filmography == | === Television animation ===
"Hunter × Hunter (2011) (Amane)
",79,== Filmography == | === Television animation ===
"M3 the dark metal (Suzaki, young Akashi)
",80,== Filmography == | === Television animation ===
"The Seven Deadly Sins (Jericho)
",81,== Filmography == | === Television animation ===
"No-Rin (Kochou Yoshida)
",82,== Filmography == | === Television animation ===
"Oneechan ga Kita (Marina Mochizuki)
",83,== Filmography == | === Television animation ===
"Psycho-Pass 2 (Mizue Shisui)
",84,== Filmography == | === Television animation ===
"The Irregular at Magic High School (Mari Watanabe)
",85,== Filmography == | === Television animation ===
