time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"September 29 , 1920 – October 26 , 2006","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
1890-1967,JJ,YEAR_REGEX_1,TIME,time_reference,0,2
1896-1983,JJ,YEAR_REGEX_1,TIME,time_reference,0,2
two years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,1,2
later years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,2,2
the 1962,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,2
about the 1864,IN DT CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,2,2
1927-2016,JJ,YEAR_REGEX_1,TIME,time_reference,0,3
1900-1954,JJ,YEAR_REGEX_1,TIME,time_reference,0,3
1907-1937,JJ,YEAR_REGEX_1,TIME,time_reference,0,3
of sixty years,IN JJ NNS,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,2,3
"April 3 , 1948","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,1,5
the first night,DT JJ NN,PREFIX_REGEX_1 ORDINAL_REGEX_1 DAY_TIME_REGEX,MODIFIER NUMERAL TIME,time_reference,1,5
1955,CD,YEAR_REGEX_1,TIME,time_reference,2,5
1959,CD,YEAR_REGEX_1,TIME,time_reference,3,5
Springtime,NNP,SEASON_REGEX,TIME,time_reference,3,5
1956,CD,YEAR_REGEX_1,TIME,time_reference,4,5
1960,CD,YEAR_REGEX_1,TIME,time_reference,5,5
"November 5 , 1960","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,6,5
2003,CD,YEAR_REGEX_1,TIME,time_reference,0,6
"July 11 , 1996","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,8
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,0,8
A 1940,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,1,8
2000,CD,YEAR_REGEX_1,TIME,time_reference,1,8
1926-2016,JJ,YEAR_REGEX_1,TIME,time_reference,2,8
pastor,NN,TIMELINE_REGEX,TIME,time_reference,2,8
1960,CD,YEAR_REGEX_1,TIME,time_reference,3,8
1923-2014,JJ,YEAR_REGEX_1,TIME,time_reference,4,8
more than three decades,RBR IN CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,4,8
the fall,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,5,8
of 2006,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,5,8
2019,CD,YEAR_REGEX_1,TIME,time_reference,0,9
