time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
1833–1906,CD,YEAR_REGEX_1,TIME,time_reference,"John James Raven (1833–1906) was an English cleric and head, known as a writer on campanology.",0,0,,48931304
25 June 1833,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Born on 25 June 1833 at Boston, Lincolnshire, he was the eldest son of eight children of John Hardy Raven, rector of Worlington, Suffolk, and his wife Jane Augusta, daughter of John Richman, attorney, of Lymington, Hampshire; a younger brother, the Rev. John Hardy Raven (1842–1911), was head of Beccles school.",0,2,== Life ==,48931304
1842–1911,CD,YEAR_REGEX_1,TIME,time_reference,"Born on 25 June 1833 at Boston, Lincolnshire, he was the eldest son of eight children of John Hardy Raven, rector of Worlington, Suffolk, and his wife Jane Augusta, daughter of John Richman, attorney, of Lymington, Hampshire; a younger brother, the Rev. John Hardy Raven (1842–1911), was head of Beccles school.",0,2,== Life ==,48931304
18 October 1853,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"He entered St Catharine's College, Cambridge, on 18 October 1853, and migrated on 17 December following to Emmanuel College (where he was awarded first an Ash exhibition and subsequently a sizarship).",1,2,== Life ==,48931304
17 December,CD NNP,DIGIT_REGEX_1 MONTH_REGEX,NUMERAL TIME,,"He entered St Catharine's College, Cambridge, on 18 October 1853, and migrated on 17 December following to Emmanuel College (where he was awarded first an Ash exhibition and subsequently a sizarship).",1,2,== Life ==,48931304
of 1857,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"He graduated B.A. as a senior optime in the Mathematical Tripos of 1857, proceeding M.A. in 1860 and D.D. in 1872.",2,2,== Life ==,48931304
1860,CD,YEAR_REGEX_1,TIME,time_reference,"He graduated B.A. as a senior optime in the Mathematical Tripos of 1857, proceeding M.A. in 1860 and D.D. in 1872.",2,2,== Life ==,48931304
1872,CD,YEAR_REGEX_1,TIME,time_reference,"He graduated B.A. as a senior optime in the Mathematical Tripos of 1857, proceeding M.A. in 1860 and D.D. in 1872.",2,2,== Life ==,48931304
1857,CD,YEAR_REGEX_1,TIME,time_reference,"In 1857, Raven was appointed second master of Sevenoaks grammar school and was ordained curate of the parish church there.",3,2,== Life ==,48931304
1859,CD,YEAR_REGEX_1,TIME,time_reference,"In 1859, he became head of Bungay grammar school, a post in the gift of Emmanuel College.",4,2,== Life ==,48931304
1863,CD,YEAR_REGEX_1,TIME,time_reference,"There he raised money for a new building, which was opened in 1863.",5,2,== Life ==,48931304
1866 to 1885,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,From 1866 to 1885 he was head of Yarmouth grammar school.,6,2,== Life ==,48931304
1881 to 1885,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,He served for some time as curate of Yarmouth parish church and was from 1881 to 1885 vicar of St. George's in that town.,7,2,== Life ==,48931304
1885,CD,YEAR_REGEX_1,TIME,time_reference,"In 1885, he was presented by the Master of Emmanuel to the consolidated vicarage of Fressingfield and rectory of Withersdale in Suffolk, and was admitted on 23 March 1895 (under a dispensation) to the vicarage of Metfield in the same county.",8,2,== Life ==,48931304
23 March 1895,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"In 1885, he was presented by the Master of Emmanuel to the consolidated vicarage of Fressingfield and rectory of Withersdale in Suffolk, and was admitted on 23 March 1895 (under a dispensation) to the vicarage of Metfield in the same county.",8,2,== Life ==,48931304
1888,CD,YEAR_REGEX_1,TIME,time_reference,"Raven was chosen honorary canon of Norwich Cathedral in 1888, and rural dean of Hoxne in 1896, and a co-opted member of the County Education Committee on its formation in 1902.",9,2,== Life ==,48931304
1896,CD,YEAR_REGEX_1,TIME,time_reference,"Raven was chosen honorary canon of Norwich Cathedral in 1888, and rural dean of Hoxne in 1896, and a co-opted member of the County Education Committee on its formation in 1902.",9,2,== Life ==,48931304
1902,CD,YEAR_REGEX_1,TIME,time_reference,"Raven was chosen honorary canon of Norwich Cathedral in 1888, and rural dean of Hoxne in 1896, and a co-opted member of the County Education Committee on its formation in 1902.",9,2,== Life ==,48931304
1881,CD,YEAR_REGEX_1,TIME,time_reference,"He served from 1881 till his death on the committee of the Norfolk and Norwich Archæological Society, which he joined in 1871, was a vice-president of the Suffolk Institute of Archæology, and was elected Fellow of the Society of Antiquaries of London on 23 April 1891.",10,2,== Life ==,48931304
1871,CD,YEAR_REGEX_1,TIME,time_reference,"He served from 1881 till his death on the committee of the Norfolk and Norwich Archæological Society, which he joined in 1871, was a vice-president of the Suffolk Institute of Archæology, and was elected Fellow of the Society of Antiquaries of London on 23 April 1891.",10,2,== Life ==,48931304
23 April 1891,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"He served from 1881 till his death on the committee of the Norfolk and Norwich Archæological Society, which he joined in 1871, was a vice-president of the Suffolk Institute of Archæology, and was elected Fellow of the Society of Antiquaries of London on 23 April 1891.",10,2,== Life ==,48931304
20 September 1906,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"He died at Fressingfield vicarage on 20 September 1906, and was buried in the churchyard.",11,2,== Life ==,48931304
now,RB,TIMELINE_REGEX,TIME,time_reference,"His pupils at Yarmouth presented him with his portrait by Alfred Lys Baldry (now belonging to his eldest son at Fressingfield), and a tower at Yarmouth school commemorated his successful headship.",13,2,== Life ==,48931304
November 1906,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,His fine library of county and bell literature was sold at Fressingfield in November 1906.,14,2,== Life ==,48931304
1854,CD,YEAR_REGEX_1,TIME,time_reference,While a youth Raven studied the bells of the churches near his home at Worlington and contributed to an Ecclesiastical History of Suffolk in 1854.,0,4,== Works ==,48931304
1869,CD,YEAR_REGEX_1,TIME,time_reference,"He was president of the Norwich Diocesan Association of Ringers, and published books on The Church Bells of Cambridgeshire (Lowestoft, 1869; 2nd edit.",1,4,== Works ==,48931304
1881,CD,YEAR_REGEX_1,TIME,time_reference,"1881), The Church Bells of Suffolk (1890), and The Bells of England (in the Antiquary's Books series, 1906).",5,4,== Works ==,48931304
1890,CD,YEAR_REGEX_1,TIME,time_reference,"1881), The Church Bells of Suffolk (1890), and The Bells of England (in the Antiquary's Books series, 1906).",5,4,== Works ==,48931304
1906,CD,YEAR_REGEX_1,TIME,time_reference,"1881), The Church Bells of Suffolk (1890), and The Bells of England (in the Antiquary's Books series, 1906).",5,4,== Works ==,48931304
1895,CD,YEAR_REGEX_1,TIME,time_reference,"He published also The History of Suffolk (in the Popular County Histories series, 1895), and Mathematics made easy: Lectures on Geometry and Algebra (1897).",6,4,== Works ==,48931304
1897,CD,YEAR_REGEX_1,TIME,time_reference,"He published also The History of Suffolk (in the Popular County Histories series, 1895), and Mathematics made easy: Lectures on Geometry and Algebra (1897).",6,4,== Works ==,48931304
