time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
20 September 1897,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Rikard Schwarz (20 September 1897, in Zagreb – late 1941, in Jasenovac), Croatian composer, conductor and music writer.",0,0,,51176979
late 1941,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Rikard Schwarz (20 September 1897, in Zagreb – late 1941, in Jasenovac), Croatian composer, conductor and music writer.",0,0,,51176979
1858,CD,YEAR_REGEX_1,TIME,time_reference,"His father Ljudevit, a lawyer and politician (Zagreb, 1858 – Zagreb, 1943) was the first Jewish representative in the Croatian parliament (1887 – 1906 and 1910 – 1913), a representative in the Croatian-Hungarian parliament in Budapest (1892 – 1913) and a city councillor in the Zagreb city assembly (1892 – 1904).",1,2,== Biography ==,51176979
1943,CD,YEAR_REGEX_1,TIME,time_reference,"His father Ljudevit, a lawyer and politician (Zagreb, 1858 – Zagreb, 1943) was the first Jewish representative in the Croatian parliament (1887 – 1906 and 1910 – 1913), a representative in the Croatian-Hungarian parliament in Budapest (1892 – 1913) and a city councillor in the Zagreb city assembly (1892 – 1904).",1,2,== Biography ==,51176979
1887 – 1906 and 1910 – 1913,CD NN CD CC CD NN CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME MODIFIER TIME MODIFIER TIME,time_range,"His father Ljudevit, a lawyer and politician (Zagreb, 1858 – Zagreb, 1943) was the first Jewish representative in the Croatian parliament (1887 – 1906 and 1910 – 1913), a representative in the Croatian-Hungarian parliament in Budapest (1892 – 1913) and a city councillor in the Zagreb city assembly (1892 – 1904).",1,2,== Biography ==,51176979
1892 – 1913,CD IN CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,"His father Ljudevit, a lawyer and politician (Zagreb, 1858 – Zagreb, 1943) was the first Jewish representative in the Croatian parliament (1887 – 1906 and 1910 – 1913), a representative in the Croatian-Hungarian parliament in Budapest (1892 – 1913) and a city councillor in the Zagreb city assembly (1892 – 1904).",1,2,== Biography ==,51176979
1892 – 1904,CD IN CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,"His father Ljudevit, a lawyer and politician (Zagreb, 1858 – Zagreb, 1943) was the first Jewish representative in the Croatian parliament (1887 – 1906 and 1910 – 1913), a representative in the Croatian-Hungarian parliament in Budapest (1892 – 1913) and a city councillor in the Zagreb city assembly (1892 – 1904).",1,2,== Biography ==,51176979
1870,CD,YEAR_REGEX_1,TIME,time_reference,"Rikard's mother Irda (Sida) née Kraus, 1870, died in Zagreb on February 6, 1904, leaving four motherless children: Rikard and his brother Vilim, and daughters Nada and Anamarija.",2,2,== Biography ==,51176979
"February 6 , 1904","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Rikard's mother Irda (Sida) née Kraus, 1870, died in Zagreb on February 6, 1904, leaving four motherless children: Rikard and his brother Vilim, and daughters Nada and Anamarija.",2,2,== Biography ==,51176979
"April 20 , 1916","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Just before matriculation, he started composing, and wrote his first pieces, devoted to the piano: Little Prelude (April 20, 1916) and Andante (August 18, 1916).",2,3,== Biography ==,51176979
"August 18 , 1916","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Just before matriculation, he started composing, and wrote his first pieces, devoted to the piano: Little Prelude (April 20, 1916) and Andante (August 18, 1916).",2,3,== Biography ==,51176979
year,NN,TIME_UNIT_REGEX,TIME,time_reference,"In the same year, inspired by the verses of the Croatian poet Dragutin Domjanić, Rikard Schwarz composed two solo songs entitled In the Mystic Night and Dead Lake.",3,3,== Biography ==,51176979
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"In the same year, inspired by the verses of the Croatian poet Dragutin Domjanić, Rikard Schwarz composed two solo songs entitled In the Mystic Night and Dead Lake.",3,3,== Biography ==,51176979
"June 17 , 1917","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"At that time, Schwarz composed All in Vain (June 17, 1917), another solo song, for soprano and piano, to verses of Vladimir Nazor.",5,3,== Biography ==,51176979
1918,CD,YEAR_REGEX_1,TIME,time_reference,"On his return from the army in 1918, at his father's wish, he started a course of chemistry at the Engineering Faculty in Zagreb (1918/1919), soon transferring to the Technical High School in Vienna.",6,3,== Biography ==,51176979
1918/1919,CD,YEAR_REGEX_1,TIME,time_reference,"On his return from the army in 1918, at his father's wish, he started a course of chemistry at the Engineering Faculty in Zagreb (1918/1919), soon transferring to the Technical High School in Vienna.",6,3,== Biography ==,51176979
1919,CD,YEAR_REGEX_1,TIME,time_reference,"The rich musical life of Vienna and the firm belief that he had a musical vocation headed him in the direction of art, however, and in 1919 he enrolled as a full-time student at the Staatsakademie für Musik und darstellende Kunst in Vienna.",7,3,== Biography ==,51176979
1919,CD,YEAR_REGEX_1,TIME,time_reference,"In the bosom of the then contemporary school of Arnold Schönberg, and tutored by Alban Berg, in his Viennese period, Schwarz composed eight pieces: Sonata for Violin and Piano in C Minor, Variationen und Fugato über ein Menuetto von Mozart für Klavier 2hdg, Fünf Lieder nach Gedichten aus “Arabischen Nächten” von Hans Bethge, String Quartet in B Flat Major, the solo songs Sometimes Happens from a cycle by Rainer Maria Rilke Die frühen Gedichte (1919), Prelude for piano (1921), two choral pieces for Yiddish texts Inser rebenju and Kinder kimt and the orchestral ballad Under the Deck (for baritone and orchestra) after Nazor's miniature cycle of Galley Slaves.",9,3,== Biography ==,51176979
1921,CD,YEAR_REGEX_1,TIME,time_reference,"In the bosom of the then contemporary school of Arnold Schönberg, and tutored by Alban Berg, in his Viennese period, Schwarz composed eight pieces: Sonata for Violin and Piano in C Minor, Variationen und Fugato über ein Menuetto von Mozart für Klavier 2hdg, Fünf Lieder nach Gedichten aus “Arabischen Nächten” von Hans Bethge, String Quartet in B Flat Major, the solo songs Sometimes Happens from a cycle by Rainer Maria Rilke Die frühen Gedichte (1919), Prelude for piano (1921), two choral pieces for Yiddish texts Inser rebenju and Kinder kimt and the orchestral ballad Under the Deck (for baritone and orchestra) after Nazor's miniature cycle of Galley Slaves.",9,3,== Biography ==,51176979
1938,CD,YEAR_REGEX_1,TIME,time_reference,"Also to be found in the Schwarz papers is a fragment of a Lullaby for violin and orchestra, or perhaps piano  and the score of a Romantic Symphony composed in Novi Sad in 1938.",10,3,== Biography ==,51176979
1922,CD,YEAR_REGEX_1,TIME,time_reference,"Completing his studies, in 1922 Rikard went back to Zagreb where, wishing to show his Viennese works, on September 28, 1922, he put on a composer's evening in the Croatian Music Institute.",0,4,== Biography ==,51176979
"September 28 , 1922","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Completing his studies, in 1922 Rikard went back to Zagreb where, wishing to show his Viennese works, on September 28, 1922, he put on a composer's evening in the Croatian Music Institute.",0,4,== Biography ==,51176979
evening,NN,DAY_TIME_REGEX,TIME,time_reference,"Completing his studies, in 1922 Rikard went back to Zagreb where, wishing to show his Viennese works, on September 28, 1922, he put on a composer's evening in the Croatian Music Institute.",0,4,== Biography ==,51176979
now,RB,TIMELINE_REGEX,TIME,time_reference,He found a market for the Violin Sonata in C Minor and the String Quartet in B Flat Major (which is not now in existence) in Vienna and Southampton.,2,4,== Biography ==,51176979
1924,CD,YEAR_REGEX_1,TIME,time_reference,"From 1924 he worked as opera conductor in the National Theatre, as choir master of the Kuhač Singing Association, as teacher in the City Conservatory, and music critic in the papers Die Drau, Kazališni list, Jugoslovenski muzičar and Hrvatski list.",6,4,== Biography ==,51176979
Hrvatski,NNP,TIME_UNIT_REGEX,TIME,time_reference,"From 1924 he worked as opera conductor in the National Theatre, as choir master of the Kuhač Singing Association, as teacher in the City Conservatory, and music critic in the papers Die Drau, Kazališni list, Jugoslovenski muzičar and Hrvatski list.",6,4,== Biography ==,51176979
the end of 1926,DT NN IN CD,PREFIX_REGEX_1 PREFIX_REGEX_2 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER MODIFIER TIME,time_reference,"Financial difficulties in the music department of the Osijek Theatre and the Philharmonic resulted in his looking to Split, where at the end of 1926 he was at work in the Opera.",8,4,== Biography ==,51176979
"April 1 , 1927","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"In Split, on April 1, 1927, in collaboration with the violinist Mary Žeželj and the pianist Jelka Karlovac he founded a private school.",9,4,== Biography ==,51176979
1927,CD,YEAR_REGEX_1,TIME,time_reference,"From 1927 he continued his work in teaching as piano and theory teacher at the Stanković Music School in Belgrade, where from November 12, 1929 to 1937 he was assistant director.",0,5,== Biography ==,51176979
"November 12 , 1929 to 1937","NNP CD , CD TO CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME,time_reference,"From 1927 he continued his work in teaching as piano and theory teacher at the Stanković Music School in Belgrade, where from November 12, 1929 to 1937 he was assistant director.",0,5,== Biography ==,51176979
1929,CD,YEAR_REGEX_1,TIME,time_reference,"In 1929, with the composers Miloje Milojević and Kosta Manojlović, he started off the periodical Muzika.",2,5,== Biography ==,51176979
1934 to 1938,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"It was with lectures in musical history that he worked in the Kolarac People's University from 1934 to 1938, and as conductor of the orchestra of the Stanković School, he prepared an opera class, which he took to the National Theatre, performing Gluck, Pergolesi and Mozart.",5,5,== Biography ==,51176979
1936 to 1940,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"The Isidor Bajić Music School underwent a “period of invaluable revival” when Rikard Schwarz was its director, from 1936 to 1940, undertaking numerous activities and reaping considerable success.",1,6,== Biography ==,51176979
1938,CD,YEAR_REGEX_1,TIME,time_reference,"In Novi Sad in 1938, Rikard Schwarz became a father, to Lujo (Ludvig-Milorad), but his wife Verica, née Jovanović, died after the delivery.",3,6,== Biography ==,51176979
1940,CD,YEAR_REGEX_1,TIME,time_reference,In 1940 he was mobilised and sent to Sarajevo and Macedonia.,0,7,== Biography ==,51176979
the April,DT NNP,PREFIX_REGEX_1 MONTH_REGEX,MODIFIER TIME,time_reference,"After the April War, in 1941 he fled from Novi Sad to Zagreb, where his father, sister and son were.",1,7,== Biography ==,51176979
1941,CD,YEAR_REGEX_1,TIME,time_reference,"After the April War, in 1941 he fled from Novi Sad to Zagreb, where his father, sister and son were.",1,7,== Biography ==,51176979
"June 30 , 1941","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On June 30, 1941, he was arrested and taken to the Zagreb Fair, whence on July 2 or 3 he was sent to Gospić, then to the Slana Camp in Pag, and finally to Krapje (Jasenovac I), where according to the available information he died of starvation and exhaustion before the end of 1941.",2,7,== Biography ==,51176979
