time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
28 December 1938 – 4 August 1997,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,"Alexander Young (28 December 1938 – 4 August 1997), better known as George Alexander, was a Scottish singer, songwriter, saxophonist, bassist, guitarist and session musician.",0,0,,12393770
16 February 1911,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,William Young (born 16 February 1911) and his family lived at 6 Skerryvore Road in the Cranhill district of Glasgow in Scotland.,0,2,== Background ==,12393770
1940,CD,YEAR_REGEX_1,TIME,time_reference,"William joined the Royal Air Force in 1940, serving in the Second World War as a flight engine mechanic.",2,2,== Background ==,12393770
14 July 1913,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,His wife Margaret (born 14 July 1913; her maiden name was also Young) was a housewife.,4,2,== Background ==,12393770
of 1963,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,The 'big freeze' of 1963 was the worst winter on record in Scotland with snow eight feet deep.,5,2,== Background ==,12393770
winter,NN,SEASON_REGEX,TIME,time_reference,The 'big freeze' of 1963 was the worst winter on record in Scotland with snow eight feet deep.,5,2,== Background ==,12393770
late June 1963,JJ NNP CD,PREFIX_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,"15 members of the Young family left Scotland by aeroplane in late June 1963, including fifth child George (6 November 1946 – 22 October 2017) and younger brothers, Malcolm (6 January 1953 – 18 November 2017) and Angus Young (born 31 March 1955).",7,2,== Background ==,12393770
6 November 1946 – 22 October 2017,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,"15 members of the Young family left Scotland by aeroplane in late June 1963, including fifth child George (6 November 1946 – 22 October 2017) and younger brothers, Malcolm (6 January 1953 – 18 November 2017) and Angus Young (born 31 March 1955).",7,2,== Background ==,12393770
6 January 1953 – 18 November 2017,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,"15 members of the Young family left Scotland by aeroplane in late June 1963, including fifth child George (6 November 1946 – 22 October 2017) and younger brothers, Malcolm (6 January 1953 – 18 November 2017) and Angus Young (born 31 March 1955).",7,2,== Background ==,12393770
31 March 1955,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"15 members of the Young family left Scotland by aeroplane in late June 1963, including fifth child George (6 November 1946 – 22 October 2017) and younger brothers, Malcolm (6 January 1953 – 18 November 2017) and Angus Young (born 31 March 1955).",7,2,== Background ==,12393770
