time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"October 16 , 1903 – December 17 , 1982","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
four decades,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,1,0
"October 4 , 1992","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,0
night,NN,DAY_TIME_REGEX,TIME,time_reference,0,1
the early 1920s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,1,3
1930,CD,YEAR_REGEX_1,TIME,time_reference,2,3
1934,CD,YEAR_REGEX_1,TIME,time_reference,3,3
1935,CD,YEAR_REGEX_1,TIME,time_reference,3,3
ten years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,4,3
1935,CD,YEAR_REGEX_1,TIME,time_reference,4,3
1941,CD,YEAR_REGEX_1,TIME,time_reference,4,3
Nighthawk,NNP,DAY_TIME_REGEX,TIME,time_reference,5,3
the early 1930s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,7,3
the 1950s and 1960s,DT CD CC CD,PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME MODIFIER TIME,time_reference,0,5
the late 1960s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,2,5
early 1970s,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,5
1962,CD,YEAR_REGEX_1,TIME,time_reference,9,5
a 1965,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,0,6
'60s,POS,YEAR_REGEX_2,TIME,,12,6
the 1920s and 1930s,DT CD CC CD,PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME MODIFIER TIME,time_reference,6,7
later years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,7,7
"December 17 , 1982","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,9
nightclub,NN,DAY_TIME_REGEX,TIME,time_reference,2,9
"October 9 , 1994","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,9
May,NNP,MONTH_REGEX,TIME,time_reference,5,9
later days,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,6,9
a 1950s,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,7,9
a 1944,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,8,9
1963–1966,CD,YEAR_REGEX_1,TIME,time_reference,10,9
2007,CD,YEAR_REGEX_1,TIME,time_reference,10,9
2003,CD,YEAR_REGEX_1,TIME,time_reference,11,9
1958,CD,YEAR_REGEX_1,TIME,time_reference,0,12
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,13
1961,CD,YEAR_REGEX_1,TIME,time_reference,0,14
1961,CD,YEAR_REGEX_1,TIME,time_reference,0,15
1962,CD,YEAR_REGEX_1,TIME,time_reference,0,16
1963,CD,YEAR_REGEX_1,TIME,time_reference,0,17
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,18
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,19
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,20
1966,CD,YEAR_REGEX_1,TIME,time_reference,0,21
1966,CD,YEAR_REGEX_1,TIME,time_reference,0,22
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,23
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,24
1972,CD,YEAR_REGEX_1,TIME,time_reference,0,25
1972,CD,YEAR_REGEX_1,TIME,time_reference,0,26
1974,CD,YEAR_REGEX_1,TIME,time_reference,0,27
1962,CD,YEAR_REGEX_1,TIME,time_reference,0,29
1962,CD,YEAR_REGEX_1,TIME,time_reference,0,31
1004,CD,YEAR_REGEX_1,TIME,time_reference,0,31
1966,CD,YEAR_REGEX_1,TIME,time_reference,0,32
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,33
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,34
1014,CD,YEAR_REGEX_1,TIME,time_reference,0,34
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,36
1974,CD,YEAR_REGEX_1,TIME,time_reference,1,37
1998,CD,YEAR_REGEX_1,TIME,time_reference,0,38
1990,CD,YEAR_REGEX_1,TIME,time_reference,0,40
1999,CD,YEAR_REGEX_1,TIME,time_reference,0,41
1971,CD,YEAR_REGEX_1,TIME,time_reference,0,41
1999-02-21,JJ,YEAR_REGEX_1,TIME,time_reference,1,46
2007-07-15,JJ,YEAR_REGEX_1,TIME,time_reference,2,46
1980,CD,YEAR_REGEX_1,TIME,time_reference,0,49
