time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
of 2019,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"As of 2019, she has collaborated with Croatian, Russian and American film directors, including Silvije Petranovic, on the most-watched Croatian children's film of the 21st century:The Brave Adventures of a Little Shoemaker based on a 1913 novel The Brave Adventures of Lapitch by Ivana Brlic Mazuranic, Zdenko Basic (animation movie Guliver), Paul Sampson (Last David Carradine’s thriller movie Night of the Templar), Kirk Harris (drama ""The Kid: Chamaco”, starring Martin Sheen), Russian director Taya Zubova (drama ""My Dear Fish""), Andrej Rehak (animated fantasy film ""Bobo""), Romana Rozic (""What a beautiful day"") and others, for whose films she composed and orchestrated music.",0,6,== Career == | === Film music ===,60592741
of the 21st century,IN DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,"As of 2019, she has collaborated with Croatian, Russian and American film directors, including Silvije Petranovic, on the most-watched Croatian children's film of the 21st century:The Brave Adventures of a Little Shoemaker based on a 1913 novel The Brave Adventures of Lapitch by Ivana Brlic Mazuranic, Zdenko Basic (animation movie Guliver), Paul Sampson (Last David Carradine’s thriller movie Night of the Templar), Kirk Harris (drama ""The Kid: Chamaco”, starring Martin Sheen), Russian director Taya Zubova (drama ""My Dear Fish""), Andrej Rehak (animated fantasy film ""Bobo""), Romana Rozic (""What a beautiful day"") and others, for whose films she composed and orchestrated music.",0,6,== Career == | === Film music ===,60592741
a 1913,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,"As of 2019, she has collaborated with Croatian, Russian and American film directors, including Silvije Petranovic, on the most-watched Croatian children's film of the 21st century:The Brave Adventures of a Little Shoemaker based on a 1913 novel The Brave Adventures of Lapitch by Ivana Brlic Mazuranic, Zdenko Basic (animation movie Guliver), Paul Sampson (Last David Carradine’s thriller movie Night of the Templar), Kirk Harris (drama ""The Kid: Chamaco”, starring Martin Sheen), Russian director Taya Zubova (drama ""My Dear Fish""), Andrej Rehak (animated fantasy film ""Bobo""), Romana Rozic (""What a beautiful day"") and others, for whose films she composed and orchestrated music.",0,6,== Career == | === Film music ===,60592741
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"As of 2019, she has collaborated with Croatian, Russian and American film directors, including Silvije Petranovic, on the most-watched Croatian children's film of the 21st century:The Brave Adventures of a Little Shoemaker based on a 1913 novel The Brave Adventures of Lapitch by Ivana Brlic Mazuranic, Zdenko Basic (animation movie Guliver), Paul Sampson (Last David Carradine’s thriller movie Night of the Templar), Kirk Harris (drama ""The Kid: Chamaco”, starring Martin Sheen), Russian director Taya Zubova (drama ""My Dear Fish""), Andrej Rehak (animated fantasy film ""Bobo""), Romana Rozic (""What a beautiful day"") and others, for whose films she composed and orchestrated music.",0,6,== Career == | === Film music ===,60592741
day,NN,TIME_UNIT_REGEX,TIME,time_reference,"As of 2019, she has collaborated with Croatian, Russian and American film directors, including Silvije Petranovic, on the most-watched Croatian children's film of the 21st century:The Brave Adventures of a Little Shoemaker based on a 1913 novel The Brave Adventures of Lapitch by Ivana Brlic Mazuranic, Zdenko Basic (animation movie Guliver), Paul Sampson (Last David Carradine’s thriller movie Night of the Templar), Kirk Harris (drama ""The Kid: Chamaco”, starring Martin Sheen), Russian director Taya Zubova (drama ""My Dear Fish""), Andrej Rehak (animated fantasy film ""Bobo""), Romana Rozic (""What a beautiful day"") and others, for whose films she composed and orchestrated music.",0,6,== Career == | === Film music ===,60592741
December 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Andreis released two soundtracks ""The Brave Adventures of a Little Shoemaker (Original Motion Picture Soundtrack)"" in December 2015 and ""Bobo (Original Motion Picture Soundtrack)"" in March 2019.",2,7,== Career == | === Film music ===,60592741
March 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Andreis released two soundtracks ""The Brave Adventures of a Little Shoemaker (Original Motion Picture Soundtrack)"" in December 2015 and ""Bobo (Original Motion Picture Soundtrack)"" in March 2019.",2,7,== Career == | === Film music ===,60592741
2010,CD,YEAR_REGEX_1,TIME,time_reference,Andreis composed music for a Croatian National Theatre in Zagreb for a ceremonial opening of its 150th season in 2010.,0,9,== Career == | === Ballet and theatre ===,60592741
of the 20th century,IN DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,"Andreis's music was interwoven with tunes by classical composers and poetry by the Croatian poet of the 20th century Dobrisa Cesaric, for a ballet performance named ""The Silence of my Murmur"" by director and choreographer Leo Mujic.",1,9,== Career == | === Ballet and theatre ===,60592741
1915,CD,YEAR_REGEX_1,TIME,time_reference,The 39 steps is a parody adapted from the John Buchan's 1915 novel and the 1935 film by Alfred Hitchcock.,11,10,== Career == | === Ballet and theatre ===,60592741
the 1935,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,The 39 steps is a parody adapted from the John Buchan's 1915 novel and the 1935 film by Alfred Hitchcock.,11,10,== Career == | === Ballet and theatre ===,60592741
of the 1935,IN DT CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,The play's concept of Patrick Barlow calls for the entirety of the 1935 adventure film The 39 Steps to be performed with a cast of only four where some of the actors perform more than 20 different roles.,12,10,== Career == | === Ballet and theatre ===,60592741
